"State","Year","Propulsion","Fraction"
"Geography 2",2028,"PHEV",0.0369363803172861
"Geography 2",2029,"BEV",0.236018162433674
"Geography 2",2029,"PHEV",0.0477478176596069
"Geography 2",2030,"BEV",0.274984195478569
"Geography 2",2030,"PHEV",0.0535875276551706
"Geography 2",2031,"BEV",0.317077688445899
"Geography 2",2031,"PHEV",0.0662974664189993
"Geography 2",2032,"BEV",0.355770402744163
"Geography 2",2032,"PHEV",0.0782047152234856
"Geography 2",2033,"BEV",0.416707160211519
"Geography 2",2033,"PHEV",0.0861239232398301
"Geography 2",2034,"BEV",0.449648413666214
"Geography 2",2034,"PHEV",0.0887309071538417
"Geography 2",2035,"BEV",0.477789683736389
"Geography 2",2035,"PHEV",0.0893289103053558
"Geography 2",2036,"BEV",0.502299998084222
"Geography 2",2036,"PHEV",0.0891909668932252
"Geography 2",2037,"BEV",0.523929183082014
"Geography 2",2037,"PHEV",0.088319611832175
"Geography 2",2038,"BEV",0.54264345490167
"Geography 2",2038,"PHEV",0.0869730056351873
"Geography 2",2039,"BEV",0.558564013949359
"Geography 2",2039,"PHEV",0.0854061586110192
"Geography 2",2040,"BEV",0.571932595972004
"Geography 2",2040,"PHEV",0.0837355266469162
"Geography 2",2041,"BEV",0.58343490185924
"Geography 2",2041,"PHEV",0.0821257811430541
"Geography 2",2042,"BEV",0.593731773950947
"Geography 2",2042,"PHEV",0.0805991957516039
"Geography 2",2043,"BEV",0.602848825939263
"Geography 2",2043,"PHEV",0.0791837228988273
"Geography 2",2044,"BEV",0.610669839145174
"Geography 2",2044,"PHEV",0.0777963215547404
"Geography 2",2045,"BEV",0.618004515540184
"Geography 2",2045,"PHEV",0.0765011769227074
"Geography 2",2046,"BEV",0.630496195018212
"Geography 2",2046,"PHEV",0.0752291321149985
"Geography 2",2047,"BEV",0.637325762095548
"Geography 2",2047,"PHEV",0.0740671742980373
"Geography 2",2048,"BEV",0.643879179479195
"Geography 2",2048,"PHEV",0.0729594021252579
"Geography 2",2049,"BEV",0.650136575053832
"Geography 2",2049,"PHEV",0.0719476458438858
"Geography 2",2050,"BEV",0.655642591077365
"Geography 2",2050,"PHEV",0.0708615372291425
"Manitoba",2021,"BEV",0.0890310370579968
"Manitoba",2021,"PHEV",0.0309544904235531
"Manitoba",2022,"BEV",0.116307993075832
"Manitoba",2022,"PHEV",0.028682619296118
"Manitoba",2023,"BEV",0.134473805653468
"Manitoba",2023,"PHEV",0.0355167208284428
"Manitoba",2024,"BEV",0.165982876468299
"Manitoba",2024,"PHEV",0.0290096963916706
"Manitoba",2025,"BEV",0.0917027586781245
"Manitoba",2025,"PHEV",0.0182534485183124
"Manitoba",2026,"BEV",0.120280067870594
"Manitoba",2026,"PHEV",0.0241582261464459
"Manitoba",2027,"BEV",0.158748044238814
"Manitoba",2027,"PHEV",0.0352151169427675
"Manitoba",2028,"BEV",0.197954977003811
"Manitoba",2028,"PHEV",0.0369363803172861
"Manitoba",2029,"BEV",0.236018162433674
"Manitoba",2029,"PHEV",0.0477478176596069
"Manitoba",2030,"BEV",0.274984195478569
"Manitoba",2030,"PHEV",0.0535875276551706
"Manitoba",2031,"BEV",0.317077688445899
"Manitoba",2031,"PHEV",0.0662974664189993
"Manitoba",2032,"BEV",0.355770402744163
"Manitoba",2032,"PHEV",0.0782047152234856
"Manitoba",2033,"BEV",0.416707160211519
"Manitoba",2033,"PHEV",0.0861239232398301
"Manitoba",2034,"BEV",0.449648413666214
"Manitoba",2034,"PHEV",0.0887309071538417
"Manitoba",2035,"BEV",0.477789683736389
"Manitoba",2035,"PHEV",0.0893289103053558
"Manitoba",2036,"BEV",0.502299998084222
"Manitoba",2036,"PHEV",0.0891909668932252
"Manitoba",2037,"BEV",0.523929183082014
"Manitoba",2037,"PHEV",0.088319611832175
"Manitoba",2038,"BEV",0.54264345490167
"Manitoba",2038,"PHEV",0.0869730056351873
"Manitoba",2039,"BEV",0.558564013949359
"Manitoba",2039,"PHEV",0.0854061586110192
"Manitoba",2040,"BEV",0.571932595972004
"Manitoba",2040,"PHEV",0.0837355266469162
"Manitoba",2041,"BEV",0.58343490185924
"Manitoba",2041,"PHEV",0.0821257811430541
"Manitoba",2042,"BEV",0.593731773950947
"Manitoba",2042,"PHEV",0.0805991957516039
"Manitoba",2043,"BEV",0.602848825939263
"Manitoba",2043,"PHEV",0.0791837228988273
"Manitoba",2044,"BEV",0.610669839145174
"Manitoba",2044,"PHEV",0.0777963215547404
"Manitoba",2045,"BEV",0.618004515540184
"Manitoba",2045,"PHEV",0.0765011769227074
"Manitoba",2046,"BEV",0.630496195018212
"Manitoba",2046,"PHEV",0.0752291321149985
"Manitoba",2047,"BEV",0.637325762095548
"Manitoba",2047,"PHEV",0.0740671742980373
"Manitoba",2048,"BEV",0.643879179479195
"Manitoba",2048,"PHEV",0.0729594021252579
"Manitoba",2049,"BEV",0.650136575053832
"Manitoba",2049,"PHEV",0.0719476458438858
"Manitoba",2050,"BEV",0.655642591077365
"Manitoba",2050,"PHEV",0.0708615372291425
"New Brunswick",2021,"BEV",0.0890310370579968
"New Brunswick",2021,"PHEV",0.0309544904235531
"New Brunswick",2022,"BEV",0.116307993075832
"New Brunswick",2022,"PHEV",0.028682619296118
"New Brunswick",2023,"BEV",0.134473805653468
"New Brunswick",2023,"PHEV",0.0355167208284428
"New Brunswick",2024,"BEV",0.165982876468299
"New Brunswick",2024,"PHEV",0.0290096963916706
"New Brunswick",2025,"BEV",0.0917027586781245
"New Brunswick",2025,"PHEV",0.0182534485183124
"New Brunswick",2026,"BEV",0.120280067870594
"New Brunswick",2026,"PHEV",0.0241582261464459
"New Brunswick",2027,"BEV",0.158748044238814
"New Brunswick",2027,"PHEV",0.0352151169427675
"New Brunswick",2028,"BEV",0.197954977003811
"New Brunswick",2028,"PHEV",0.0369363803172861
"New Brunswick",2029,"BEV",0.236018162433674
"New Brunswick",2029,"PHEV",0.0477478176596069
"New Brunswick",2030,"BEV",0.274984195478569
"New Brunswick",2030,"PHEV",0.0535875276551706
"New Brunswick",2031,"BEV",0.317077688445899
"New Brunswick",2031,"PHEV",0.0662974664189993
"New Brunswick",2032,"BEV",0.355770402744163
"New Brunswick",2032,"PHEV",0.0782047152234856
"New Brunswick",2033,"BEV",0.416707160211519
"New Brunswick",2033,"PHEV",0.0861239232398301
"New Brunswick",2034,"BEV",0.449648413666214
"New Brunswick",2034,"PHEV",0.0887309071538417
"New Brunswick",2035,"BEV",0.477789683736389
"New Brunswick",2035,"PHEV",0.0893289103053558
"New Brunswick",2036,"BEV",0.502299998084222
"New Brunswick",2036,"PHEV",0.0891909668932252
"New Brunswick",2037,"BEV",0.523929183082014
"New Brunswick",2037,"PHEV",0.088319611832175
"New Brunswick",2038,"BEV",0.54264345490167
"New Brunswick",2038,"PHEV",0.0869730056351873
"New Brunswick",2039,"BEV",0.558564013949359
