"State","Year","Propulsion","Fraction"
"Geography 2",2029,"BEV",0.498864183508438
"Geography 2",2029,"PHEV",0.091122818094756
"Geography 2",2030,"BEV",0.57750419845118
"Geography 2",2030,"PHEV",0.102480376518155
"Geography 2",2031,"BEV",0.637320065824968
"Geography 2",2031,"PHEV",0.122661691205412
"Geography 2",2032,"BEV",0.680976264622944
"Geography 2",2032,"PHEV",0.139005139197108
"Geography 2",2033,"BEV",0.729988176751075
"Geography 2",2033,"PHEV",0.149990255564073
"Geography 2",2034,"BEV",0.785960286329472
"Geography 2",2034,"PHEV",0.154013535074328
"Geography 2",2035,"BEV",0.843431627819833
"Geography 2",2035,"PHEV",0.156536290338104
"Geography 2",2036,"BEV",0.850152048536328
"Geography 2",2036,"PHEV",0.14981219036315
"Geography 2",2037,"BEV",0.856651965107472
"Geography 2",2037,"PHEV",0.143309929670462
"Geography 2",2038,"BEV",0.862703992816305
"Geography 2",2038,"PHEV",0.137254349160717
"Geography 2",2039,"BEV",0.868126808431982
"Geography 2",2039,"PHEV",0.13182928109353
"Geography 2",2040,"BEV",0.872944090217096
"Geography 2",2040,"PHEV",0.127008568730487
"Geography 2",2041,"BEV",0.877175766246993
"Geography 2",2041,"PHEV",0.122774755235961
"Geography 2",2042,"BEV",0.880966666966809
"Geography 2",2042,"PHEV",0.118981763054776
"Geography 2",2043,"BEV",0.884343374617646
"Geography 2",2043,"PHEV",0.1156029830039
"Geography 2",2044,"BEV",0.887445826322306
"Geography 2",2044,"PHEV",0.112498502319438
"Geography 2",2045,"BEV",0.89028971374495
"Geography 2",2045,"PHEV",0.109652641338131
"Geography 2",2046,"BEV",0.893786633729952
"Geography 2",2046,"PHEV",0.106155041939955
"Geography 2",2047,"BEV",0.896207598166467
"Geography 2",2047,"PHEV",0.103732269235259
"Geography 2",2048,"BEV",0.898504309267709
"Geography 2",2048,"PHEV",0.101434969409688
"Geography 2",2049,"BEV",0.900652770400135
"Geography 2",2049,"PHEV",0.0992859384143084
"Geography 2",2050,"BEV",0.902740373978654
"Geography 2",2050,"PHEV",0.0971978302829634
