"State","Sale Year","Vehicle","Propulsion","Sales"
"Saskatchewan",2020,"SUV","BEV",23.6242873211031
"Saskatchewan",2020,"SUV","PHEV",16.2987995587567
"Saskatchewan",2021,"Car","BEV",141.477862955228
"Saskatchewan",2021,"Car","PHEV",69.190385818561
"Saskatchewan",2021,"SUV","BEV",66.5099736175394
"Saskatchewan",2021,"SUV","PHEV",52.3910740354536
"Saskatchewan",2022,"Car","BEV",239.013130446562
"Saskatchewan",2022,"Car","PHEV",60.5383091977171
"Saskatchewan",2022,"SUV","BEV",176.700582471667
"Saskatchewan",2022,"SUV","PHEV",75.7817683482214
"Saskatchewan",2023,"Car","BEV",297.135586083157
"Saskatchewan",2023,"Car","PHEV",90.411735904226
"Saskatchewan",2023,"SUV","BEV",347.823421356166
"Saskatchewan",2023,"SUV","PHEV",190.012861359373
"Saskatchewan",2024,"Car","BEV",314.617081403886
"Saskatchewan",2024,"Car","PHEV",108.157813757396
"Saskatchewan",2024,"SUV","BEV",507.097801967934
"Saskatchewan",2024,"SUV","PHEV",371.457447831522
"Yukon",2014,"Car","BEV",1.05842536515853
"Yukon",2014,"Car","PHEV",0.380073026398623
"Yukon",2014,"SUV","BEV",0
"Yukon",2014,"SUV","PHEV",0
"Yukon",2015,"Car","BEV",1.62201638760242
"Yukon",2015,"Car","PHEV",0.404918789608427
"Yukon",2015,"SUV","BEV",0
"Yukon",2015,"SUV","PHEV",0
"Yukon",2016,"Car","BEV",1.84609903811899
"Yukon",2016,"Car","PHEV",0.950182565996559
"Yukon",2016,"SUV","BEV",0
"Yukon",2016,"SUV","PHEV",0
"Yukon",2017,"Car","BEV",3.44353402208764
"Yukon",2017,"Car","PHEV",1.58139925294834
"Yukon",2017,"SUV","BEV",0
"Yukon",2017,"SUV","PHEV",0
"Yukon",2018,"Car","BEV",4.75775253300583
"Yukon",2018,"Car","PHEV",2.66976038219413
"Yukon",2018,"SUV","BEV",0
"Yukon",2018,"SUV","PHEV",0
"Yukon",2019,"Car","BEV",6.82732567764851
"Yukon",2019,"Car","PHEV",2.79987597003168
"Yukon",2019,"SUV","BEV",0
"Yukon",2019,"SUV","PHEV",0.31109733000352
"Yukon",2020,"Car","BEV",7.08728619633092
"Yukon",2020,"Car","PHEV",2.35078839789761
"Yukon",2020,"SUV","BEV",0
"Yukon",2020,"SUV","PHEV",0.783596132632535
"Yukon",2021,"Car","BEV",16.1469300111945
"Yukon",2021,"Car","PHEV",6.83361835245047
"Yukon",2021,"SUV","BEV",1.92225357276126
"Yukon",2021,"SUV","PHEV",8.25728884254432
"Yukon",2022,"Car","BEV",27.5955569603107
"Yukon",2022,"Car","PHEV",6.53291106450184
"Yukon",2022,"SUV","BEV",8.01161331105793
"Yukon",2022,"SUV","PHEV",11.9770036182534
"Yukon",2023,"Car","BEV",34.957127774489
"Yukon",2023,"Car","PHEV",9.48582147191879
"Yukon",2023,"SUV","BEV",29.2765945111346
"Yukon",2023,"SUV","PHEV",26.3824409687741
"Yukon",2024,"Car","BEV",34.3991649200809
"Yukon",2024,"Car","PHEV",11.9824983171459
"Yukon",2024,"SUV","BEV",73.8229269633196
"Yukon",2024,"SUV","PHEV",41.9387441100106
