"State","Sale Year","Vehicle","Propulsion","Sales"
"Manitoba",2022,"Car","PHEV",105.83315924493
"Manitoba",2022,"SUV","BEV",248.360012642796
"Manitoba",2022,"SUV","PHEV",126.302947247036
"Manitoba",2023,"Car","BEV",523.919952520155
"Manitoba",2023,"Car","PHEV",156.812486207658
"Manitoba",2023,"SUV","BEV",552.322618836927
"Manitoba",2023,"SUV","PHEV",296.135489076465
"Manitoba",2024,"Car","BEV",570.098519742914
"Manitoba",2024,"Car","PHEV",191.404644171251
"Manitoba",2024,"SUV","BEV",903.654467226394
"Manitoba",2024,"SUV","PHEV",582.097155090824
"New Brunswick",2014,"Car","BEV",5.29212682579266
"New Brunswick",2014,"Car","PHEV",16.1531036219415
"New Brunswick",2014,"SUV","BEV",0.604814494376304
"New Brunswick",2014,"SUV","PHEV",1.33025559239518
"New Brunswick",2015,"Car","BEV",8.11008193801211
"New Brunswick",2015,"Car","PHEV",17.2090485583582
"New Brunswick",2015,"SUV","BEV",0.926866507201384
"New Brunswick",2015,"SUV","PHEV",1.4172157636295
"New Brunswick",2016,"Car","BEV",9.23049519059494
"New Brunswick",2016,"Car","PHEV",40.3827590548537
"New Brunswick",2016,"SUV","BEV",1.05491373606799
"New Brunswick",2016,"SUV","PHEV",3.32563898098795
"New Brunswick",2017,"Car","BEV",17.2176701104382
"New Brunswick",2017,"Car","PHEV",67.2094682503043
"New Brunswick",2017,"SUV","BEV",1.96773372690722
"New Brunswick",2017,"SUV","PHEV",5.53489738531918
"New Brunswick",2018,"Car","BEV",32.7095486644151
"New Brunswick",2018,"Car","PHEV",99.3150862176217
"New Brunswick",2018,"SUV","BEV",2.37887626650292
"New Brunswick",2018,"SUV","PHEV",13.8827539874095
"New Brunswick",2019,"Car","BEV",51.2049425823638
"New Brunswick",2019,"Car","PHEV",65.6415366307427
"New Brunswick",2019,"SUV","BEV",7.80265791731258
"New Brunswick",2019,"SUV","PHEV",17.4214504801971
"New Brunswick",2020,"Car","BEV",60.7481673971221
"New Brunswick",2020,"Car","PHEV",38.5529297255207
"New Brunswick",2020,"SUV","BEV",19.2369196757553
"New Brunswick",2020,"SUV","PHEV",15.5152034261242
"New Brunswick",2021,"Car","BEV",111.106256505601
"New Brunswick",2021,"Car","PHEV",80.0102815432742
"New Brunswick",2021,"SUV","BEV",67.6633257611962
"New Brunswick",2021,"SUV","PHEV",52.6758081334724
"New Brunswick",2022,"Car","BEV",216.313559398564
"New Brunswick",2022,"Car","PHEV",77.959405369722
"New Brunswick",2022,"SUV","BEV",198.955063891272
"New Brunswick",2022,"SUV","PHEV",81.2258609019729
"New Brunswick",2023,"Car","BEV",325.101288302748
"New Brunswick",2023,"Car","PHEV",120.054928003972
"New Brunswick",2023,"SUV","BEV",444.829450930373
"New Brunswick",2023,"SUV","PHEV",241.295583691934
"New Brunswick",2024,"Car","BEV",362.930515280404
"New Brunswick",2024,"Car","PHEV",155.772478122896
"New Brunswick",2024,"SUV","BEV",754.076075944694
"New Brunswick",2024,"SUV","PHEV",579.574523866161
"Newfoundland and Labrador",2014,"Car","BEV",3.7800905898519
"Newfoundland and Labrador",2014,"Car","PHEV",7.69647878457212
"Newfoundland and Labrador",2014,"SUV","BEV",0.907221741564456
"Newfoundland and Labrador",2014,"SUV","PHEV",0.190036513199312
"Newfoundland and Labrador",2015,"Car","BEV",5.79291567000865
"Newfoundland and Labrador",2015,"Car","PHEV",8.19960548957066
"Newfoundland and Labrador",2015,"SUV","BEV",1.39029976080208
"Newfoundland and Labrador",2015,"SUV","PHEV",0.202459394804214
"Newfoundland and Labrador",2016,"Car","BEV",6.59321085042496
"Newfoundland and Labrador",2016,"Car","PHEV",19.2411969614303
"Newfoundland and Labrador",2016,"SUV","BEV",1.58237060410199
"Newfoundland and Labrador",2016,"SUV","PHEV",0.475091282998279
"Newfoundland and Labrador",2017,"Car","BEV",12.2983357931701
"Newfoundland and Labrador",2017,"Car","PHEV",32.0233348722038
"Newfoundland and Labrador",2017,"SUV","BEV",2.95160059036083
"Newfoundland and Labrador",2017,"SUV","PHEV",0.790699626474168
"Newfoundland and Labrador",2018,"Car","BEV",17.8415719987719
"Newfoundland and Labrador",2018,"Car","PHEV",41.1143098857896
"Newfoundland and Labrador",2018,"SUV","BEV",3.56831439975437
"Newfoundland and Labrador",2018,"SUV","PHEV",2.66976038219413
"Newfoundland and Labrador",2019,"Car","BEV",20.9696431527776
"Newfoundland and Labrador",2019,"Car","PHEV",24.5766890702781
