"Province","Segment","ageID","ageFraction"
"Geography 2","Car",9,0.044971755547827
"Geography 2","Car",10,0.0423200306230946
"Geography 2","Car",11,0.0371514148699414
"Geography 2","Car",12,0.0459506602048986
"Geography 2","Car",13,0.0471076164746703
"Geography 2","Car",14,0.0414955072940522
"Geography 2","Car",15,0.0373843443342616
"Geography 2","Car",16,0.0315622002811396
"Geography 2","Car",17,0.0287399493634131
"Geography 2","Car",18,0.0240679550432331
"Geography 2","Car",19,0.0200172167647296
"Geography 2","Car",20,0.0180308587880783
"Geography 2","Car",21,0.0136188583164787
"Geography 2","Car",22,0.010630679309029
"Geography 2","Car",23,0.00864006131192991
"Geography 2","Car",24,0.00622644693765033
"Geography 2","Car",25,0.00568078972632631
"Geography 2","Car",26,0.00419759471623464
"Geography 2","Car",27,0.00335148703576888
"Geography 2","Car",28,0.00281172971101737
"Geography 2","Car",29,0.00260423469509167
"Geography 2","Car",30,0.0244475470578464
"Geography 2","SUV",0,0.0353883393121763
"Geography 2","SUV",1,0.0732878022875403
"Geography 2","SUV",2,0.0709852649399985
"Geography 2","SUV",3,0.0688271743840638
"Geography 2","SUV",4,0.0629267327103806
"Geography 2","SUV",5,0.0604951604852795
"Geography 2","SUV",6,0.051685687897779
"Geography 2","SUV",7,0.0455612660402467
"Geography 2","SUV",8,0.040373485550071
"Geography 2","SUV",9,0.040179157253915
"Geography 2","SUV",10,0.0303032573056669
"Geography 2","SUV",11,0.0232881484989922
"Geography 2","SUV",12,0.0383570579423809
"Geography 2","SUV",13,0.0392541171464062
"Geography 2","SUV",14,0.0381101545836058
"Geography 2","SUV",15,0.0373585926608049
"Geography 2","SUV",16,0.0367165170272045
"Geography 2","SUV",17,0.0315064648108437
"Geography 2","SUV",18,0.0277242497897665
"Geography 2","SUV",19,0.0237415640465509
"Geography 2","SUV",20,0.0210574359189778
"Geography 2","SUV",21,0.0177214883725271
"Geography 2","SUV",22,0.0133063662833976
"Geography 2","SUV",23,0.0125792961548219
"Geography 2","SUV",24,0.00871184593708024
"Geography 2","SUV",25,0.0084563006143226
"Geography 2","SUV",26,0.00701374464174648
"Geography 2","SUV",27,0.00488130847203016
"Geography 2","SUV",28,0.00370685099246828
"Geography 2","SUV",29,0.00314800574244997
"Geography 2","SUV",30,0.023347162196505
"Manitoba","Car",0,0.0242388433769591
"Manitoba","Car",1,0.0470772953192002
"Manitoba","Car",2,0.0526232556777999
"Manitoba","Car",3,0.0600288582081655
"Manitoba","Car",4,0.0620108340977333
"Manitoba","Car",5,0.0669906035521271
"Manitoba","Car",6,0.0633281456896829
"Manitoba","Car",7,0.0652395562849377
"Manitoba","Car",8,0.0574536693866818
"Manitoba","Car",9,0.044971755547827
"Manitoba","Car",10,0.0423200306230946
"Manitoba","Car",11,0.0371514148699414
"Manitoba","Car",12,0.0459506602048986
"Manitoba","Car",13,0.0471076164746703
"Manitoba","Car",14,0.0414955072940522
"Manitoba","Car",15,0.0373843443342616
"Manitoba","Car",16,0.0315622002811396
"Manitoba","Car",17,0.0287399493634131
"Manitoba","Car",18,0.0240679550432331
"Manitoba","Car",19,0.0200172167647296
"Manitoba","Car",20,0.0180308587880783
"Manitoba","Car",21,0.0136188583164787
"Manitoba","Car",22,0.010630679309029
"Manitoba","Car",23,0.00864006131192991
"Manitoba","Car",24,0.00622644693765033
"Manitoba","Car",25,0.00568078972632631
"Manitoba","Car",26,0.00419759471623464
"Manitoba","Car",27,0.00335148703576888
"Manitoba","Car",28,0.00281172971101737
"Manitoba","Car",29,0.00260423469509167
"Manitoba","Car",30,0.0244475470578464
"Manitoba","SUV",0,0.0353883393121763
"Manitoba","SUV",1,0.0732878022875403
"Manitoba","SUV",2,0.0709852649399985
"Manitoba","SUV",3,0.0688271743840638
"Manitoba","SUV",4,0.0629267327103806
"Manitoba","SUV",5,0.0604951604852795
"Manitoba","SUV",6,0.051685687897779
"Manitoba","SUV",7,0.0455612660402467
"Manitoba","SUV",8,0.040373485550071
"Manitoba","SUV",9,0.040179157253915
"Manitoba","SUV",10,0.0303032573056669
"Manitoba","SUV",11,0.0232881484989922
"Manitoba","SUV",12,0.0383570579423809
"Manitoba","SUV",13,0.0392541171464062
"Manitoba","SUV",14,0.0381101545836058
"Manitoba","SUV",15,0.0373585926608049
"Manitoba","SUV",16,0.0367165170272045
"Manitoba","SUV",17,0.0315064648108437
"Manitoba","SUV",18,0.0277242497897665
