Battery Chem,Pack_kg_kwh,Cell_kg_kwh
NMC 811,5.12820512820513,3.17460317460317
NMC 333,5.61797752808989,3.59712230215827
NMC 532,5.37634408602151,3.38983050847458
NMC 622,5.3475935828877,3.35570469798658
NMC 95,5.05050505050505,3.09597523219814
NCA,5.26315789473684,3.28947368421053
LFP,6.666666667,4.36681222707424
LMO,6.62251655629139,4.40528634361233
LTO,10.989010989011,8.13008130081301
