Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.016440121953886874
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.016440121953886874
2030,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.021369000956624896
2030,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.021369000956624896
2031,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0273157715344072
2031,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0273157715344072
2032,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.035047792001999485
2032,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.035047792001999485
2033,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04146536681878042
2033,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.04146536681878042
2034,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.051332106455603925
2034,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.051332106455603925
2035,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06484508530999245
2035,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.06484508530999245
2036,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08554814502364501
2036,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.08554814502364501
2037,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.09000300863352008
2037,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.11293348954010281
2038,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08783531647443639
2038,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.14585424307835543
2039,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08769659872229803
2039,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.19823098416347842
2040,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08338685501951676
2040,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.23439062916321193
2041,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0782480504214308
2041,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.26761497433785714
2042,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.07279775473710355
2042,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.2969892711736891
2043,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06747570962876397
2043,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.3266258147102161
2044,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06271798104748047
2044,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.3587004945127007
2045,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.05861372200287538
2045,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.39482695036453713
2046,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.05494687227808699
2046,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.4337856633348044
2047,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.05180426648505716
2047,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.4776148420157172
2048,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04900246746263241
2048,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.5214311188249802
2049,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.046471053114598086
2049,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.563538541452235
2050,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04420331627365178
2050,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.6015482831407365
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.007607182005909325
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.007607182005909325
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.009522839240334419
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.009522839240334419
2028,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.013531290736834654
2028,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.013531290736834654
2029,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.018388249744055913
2029,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.018388249744055913
2030,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.024375314976920023
2030,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.024375314976920023
2031,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.03188922256944341
2031,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.03188922256944341
2032,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04175095602728176
2032,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.04175095602728176
2033,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.05010590909432119
2033,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.05010590909432119
2034,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06285459607483862
