Year,Mineral,Total_Minerals_Exported,Scenario
2038,Cobalt,4153.3108282640305,Decreasing Batt Cap - High LFP Chemistry
2038,Copper,21597.26685445179,Decreasing Batt Cap - High LFP Chemistry
2038,Graphite,44294.849792269466,Decreasing Batt Cap - High LFP Chemistry
2038,Lithium,4200.646200425836,Decreasing Batt Cap - High LFP Chemistry
2038,Manganese,1915.9848235325587,Decreasing Batt Cap - High LFP Chemistry
2038,Nickel,21503.32911223493,Decreasing Batt Cap - High LFP Chemistry
2038,Cobalt,7938.499761460208,Increasing Batt Cap - Benchmark Chemistry
2038,Copper,42683.787309318635,Increasing Batt Cap - Benchmark Chemistry
2038,Graphite,87174.51713802727,Increasing Batt Cap - Benchmark Chemistry
2038,Lithium,8237.136615617053,Increasing Batt Cap - Benchmark Chemistry
2038,Manganese,3792.4731575076544,Increasing Batt Cap - Benchmark Chemistry
2038,Nickel,41393.718063736946,Increasing Batt Cap - Benchmark Chemistry
2038,Cobalt,7662.352471298963,Increasing Batt Cap - High LFP Chemistry
2038,Copper,43363.42217041055,Increasing Batt Cap - High LFP Chemistry
2038,Graphite,87791.20058263105,Increasing Batt Cap - High LFP Chemistry
2038,Lithium,8252.015557185758,Increasing Batt Cap - High LFP Chemistry
2038,Manganese,3629.574198611499,Increasing Batt Cap - High LFP Chemistry
2038,Nickel,39929.007634777125,Increasing Batt Cap - High LFP Chemistry
2039,Cobalt,6822.930627374955,Decreasing Batt Cap - Benchmark Chemistry
2039,Copper,34645.85200690864,Decreasing Batt Cap - Benchmark Chemistry
2039,Graphite,71383.56948284968,Decreasing Batt Cap - Benchmark Chemistry
2039,Lithium,6785.94714195968,Decreasing Batt Cap - Benchmark Chemistry
2039,Manganese,3279.82655956845,Decreasing Batt Cap - Benchmark Chemistry
2039,Nickel,35343.67087584283,Decreasing Batt Cap - Benchmark Chemistry
2039,Cobalt,6596.9305458057515,Decreasing Batt Cap - High LFP Chemistry
2039,Copper,35367.51565079175,Decreasing Batt Cap - High LFP Chemistry
2039,Graphite,72170.69786555048,Decreasing Batt Cap - High LFP Chemistry
2039,Lithium,6821.489869823826,Decreasing Batt Cap - High LFP Chemistry
2039,Manganese,3145.2834287587175,Decreasing Batt Cap - High LFP Chemistry
2039,Nickel,34151.593860386085,Decreasing Batt Cap - High LFP Chemistry
2039,Cobalt,11075.78725349774,Increasing Batt Cap - Benchmark Chemistry
2039,Copper,60363.554312694294,Increasing Batt Cap - Benchmark Chemistry
2039,Graphite,123039.3042965212,Increasing Batt Cap - Benchmark Chemistry
2039,Lithium,11608.439521591197,Increasing Batt Cap - Benchmark Chemistry
2039,Manganese,5474.406261255533,Increasing Batt Cap - Benchmark Chemistry
2039,Nickel,57782.047225498136,Increasing Batt Cap - Benchmark Chemistry
2039,Cobalt,10551.331512608072,Increasing Batt Cap - High LFP Chemistry
2039,Copper,61470.728860992225,Increasing Batt Cap - High LFP Chemistry
2039,Graphite,123899.62745655587,Increasing Batt Cap - High LFP Chemistry
2039,Lithium,11610.99650353584,Increasing Batt Cap - High LFP Chemistry
2039,Manganese,5168.524594294006,Increasing Batt Cap - High LFP Chemistry
2039,Nickel,54998.468343720364,Increasing Batt Cap - High LFP Chemistry
2040,Cobalt,9341.350724569667,Decreasing Batt Cap - Benchmark Chemistry
2040,Copper,48188.80026951701,Decreasing Batt Cap - Benchmark Chemistry
2040,Graphite,99035.97825979325,Decreasing Batt Cap - Benchmark Chemistry
2040,Lithium,9397.523270224543,Decreasing Batt Cap - Benchmark Chemistry
2040,Manganese,4653.3087425721715,Decreasing Batt Cap - Benchmark Chemistry
2040,Nickel,48389.09691778851,Decreasing Batt Cap - Benchmark Chemistry
2040,Cobalt,8881.60928653387,Decreasing Batt Cap - High LFP Chemistry
2040,Copper,49369.88970649051,Decreasing Batt Cap - High LFP Chemistry
2040,Graphite,100154.28609901897,Decreasing Batt Cap - High LFP Chemistry
2040,Lithium,9429.936676682239,Decreasing Batt Cap - High LFP Chemistry
2040,Manganese,4385.410741968303,Decreasing Batt Cap - High LFP Chemistry
2040,Nickel,45968.94064226931,Decreasing Batt Cap - High LFP Chemistry
2040,Cobalt,14429.126049864544,Increasing Batt Cap - Benchmark Chemistry
2040,Copper,79434.9252780779,Increasing Batt Cap - Benchmark Chemistry
2040,Graphite,161697.00868894777,Increasing Batt Cap - Benchmark Chemistry
2040,Lithium,15238.025760624576,Increasing Batt Cap - Benchmark Chemistry
2040,Manganese,7386.301476991695,Increasing Batt Cap - Benchmark Chemistry
2040,Nickel,75322.7987940507,Increasing Batt Cap - Benchmark Chemistry
2040,Cobalt,13498.17903494089,Increasing Batt Cap - High LFP Chemistry
2040,Copper,81224.1987850731,Increasing Batt Cap - High LFP Chemistry
2040,Graphite,162927.66664857243,Increasing Batt Cap - High LFP Chemistry
2040,Lithium,15218.071645368602,Increasing Batt Cap - High LFP Chemistry
2040,Manganese,6846.963561725103,Increasing Batt Cap - High LFP Chemistry
2040,Nickel,70384.07746604137,Increasing Batt Cap - High LFP Chemistry
2041,Cobalt,11802.080535909861,Decreasing Batt Cap - Benchmark Chemistry
2041,Copper,61712.007917329844,Decreasing Batt Cap - Benchmark Chemistry
2041,Graphite,126608.70195925023,Decreasing Batt Cap - Benchmark Chemistry
2041,Lithium,11995.045823891911,Decreasing Batt Cap - Benchmark Chemistry
2041,Manganese,6094.897011443751,Decreasing Batt Cap - Benchmark Chemistry
2041,Nickel,61252.99550678164,Decreasing Batt Cap - Benchmark Chemistry
2041,Cobalt,10983.487060092333,Decreasing Batt Cap - High LFP Chemistry
2041,Copper,63567.54115314875,Decreasing Batt Cap - High LFP Chemistry
2041,Graphite,128179.38660784971,Decreasing Batt Cap - High LFP Chemistry
2041,Lithium,12017.977682479428,Decreasing Batt Cap - High LFP Chemistry
2041,Manganese,5622.002380809508,Decreasing Batt Cap - High LFP Chemistry
2041,Nickel,56937.74339660488,Decreasing Batt Cap - High LFP Chemistry
2041,Cobalt,18047.871261430137,Increasing Batt Cap - Benchmark Chemistry
2041,Copper,99916.02651244984,Increasing Batt Cap - Benchmark Chemistry
