"Year","State_Province","Add_LIB_proj_tonnes","Add_LIB_15_tonnes","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid","Recycle_Batt_Proj","Recycle_Batt_15","Cumulative_black_mass_cap","Cumulative_refining_cap"
2025,"AB",8129.24926427131,7686.3986395927,0,0,0,0,21.9542356197785,21.9542356197785,0,0
2025,"AK",1793.25119598213,1723.35825850573,0,0,0,0,5.44705106384826,5.44705106384826,0,0
2025,"AL",13404.3298020158,12860.289892939,133390.893535707,133390.893535707,0,0,17.8073838765155,17.8073838765155,0,0
2025,"AR",7253.11220134003,6964.64249849844,0,0,0,0,10.8871466371202,10.8871466371202,0,0
2025,"AZ",20960.3681680899,20090.5565118297,36379.3346006475,36379.3346006475,0,0,89.0628055884012,89.0628055884012,9100,0
2025,"BC",8264.22730423361,7833.65479872723,0,0,0,0,115.961851810543,115.961851810543,0,0
2025,"CA",222600.300467466,210696.088497759,223239.930824486,223239.930824486,13784.7665846547,13163.1814070818,1457.52300336714,1457.52300336714,45823.36185,45823.36185
2025,"CO",21397.2298385071,20414.4282615608,0,0,2129.46960628033,2033.44717926084,90.5784139614489,90.5784139614489,0,0
2025,"CT",9213.5787048194,8854.6531648649,0,0,0,0,37.5670498627087,37.5670498627087,0,0
2025,"DC",1441.06899374327,1394.0477754196,0,0,0,0,15.4496416048392,15.4496416048392,0,0
2025,"DE",3267.83452147778,3127.44844472022,0,0,0,0,11.8314031604296,11.8314031604296,0,0
2025,"FL",56102.6352584337,53931.1105723059,0,0,4258.93921256066,4066.89435852167,212.035401978471,212.035401978471,15,0
2025,"GA",30017.8660728448,28792.302962436,8084.29657792166,8084.29657792166,27825.069522063,26570.3764756749,153.139176305613,153.139176305613,12000,12000
2025,"HI",3910.85530761839,3753.10865758376,0,0,0,0,48.627297299482,48.627297299482,0,0
2025,"IA",8425.77721074106,8080.18365275569,0,0,0,0,16.1021189891511,16.1021189891511,0,0
2025,"ID",6091.62834593032,5819.86834049475,0,0,0,0,14.8457504145312,14.8457504145312,0,0
2025,"IL",28223.9947054576,27182.1231096612,0,0,143029.457461226,136579.94740473,98.5385940355276,98.5385940355276,24000,0
2025,"IN",17517.9787945101,16815.95735969,22070.1296577261,22070.1296577261,3009.6503768762,2873.93868002198,28.9739374901066,28.9739374901066,0,0
2025,"KS",7748.77519343691,7432.11022420937,0,0,0,0,17.8433817043352,17.8433817043352,0,0
2025,"KY",11511.1221381533,11050.81756424,109138.003801942,109138.003801942,0,0,17.0489039196422,17.0489039196422,270,270
2025,"LA",10324.6094855694,9935.30348088096,0,0,0,0,13.1333395868524,13.1333395868524,0,0
2025,"MA",19836.9251274406,19038.2346019802,44475.757623436,44475.757623436,0,0,71.7239475093378,71.7239475093378,30000,0
2025,"MB",2131.77742462064,2018.39290612342,0,0,0,0,6.27868510496921,6.27868510496921,0,0
2025,"MD",18522.337541167,17758.1248136569,0,0,567.858561674755,542.252581136223,63.8867212383757,63.8867212383757,0,0
2025,"ME",3442.65619329479,3304.41738266951,0,0,0,0,12.8929506989309,12.8929506989309,0,0
2025,"MI",22724.374590441,21861.2213866778,653623.462621544,653623.462621544,52612.095739166,50239.701642271,48.8397765045464,48.8397765045464,22680,0
2025,"MN",14986.2196707281,14379.0212386304,0,0,0,0,37.7371035184045,37.7371035184045,0,0
2025,"MO",15452.4142633729,14838.1911613866,0,0,567.858561674755,542.252581136223,30.082966679011,30.082966679011,0,0
2025,"MS",7626.45944318048,7318.83755874288,0,0,0,0,3.39738629882595,3.39738629882595,0,0
2025,"MT",2928.52268153787,2804.54141288367,0,0,0,0,6.53217420222173,6.53217420222173,0,0
2025,"MX",1567.71946100778,1567.71946100778,0,0,0,0,13.2291371168989,13.2291371168989,0,0
2025,"NB",1441.97489424835,1366.06091662713,0,0,0,0,0.325640010475007,0.325640010475007,0,0
2025,"NC",28388.4934398734,27231.3472632119,148185.156273304,148185.156273304,85178.7842512132,81337.8871704334,58.9116879808441,58.9116879808441,500,500
2025,"ND",2270.27896708949,2172.27459761728,0,0,0,0,0.121364519760008,0.121364519760008,0,0
2025,"NE",5432.1323746075,5205.71241981841,0,0,0,0,11.7717625955015,11.7717625955015,0,0
2025,"NH",3799.22318266765,3640.86576713247,40.4214828896083,40.4214828896083,0,0,16.3554531092637,16.3554531092637,0,0
2025,"NJ",24225.7353804204,23278.4936883213,0,0,0,0,100.188760363922,100.188760363922,500,500
2025,"NL",926.732030007214,876.759263745208,0,0,0,0,0,0,0,0
2025,"NM",5564.6762252872,5336.80611034178,0,0,0,0,16.8908707450241,16.8908707450241,0,0
2025,"NS",1615.69822052858,1532.6964470614,0,0,0,0,2.05491728194336,2.05491728194336,0,0
2025,"NT",60.5001223088702,57.1221247660923,0,0,0,0,0,0,0,0
2025,"NU",5.7653852778579,5.7653852778579,0,0,0,0,0,0,0,0
2025,"NV",8661.77706138971,8312.203380674,105095.855512982,105095.855512982,993.752482930821,948.94201698839,41.303471544355,41.303471544355,86075,86075
2025,"NY",38617.5484195975,37325.7857763156,2021.07414448042,2021.07414448042,1561.61104460558,1491.19459812461,123.916071716775,123.916071716775,120,120
2025,"OH",30038.1804667916,28856.8413882677,198065.266159081,198065.266159081,119250.297951699,113873.042038607,49.9692653539735,49.9692653539735,4500,4500
2025,"OK",10061.950363398,9656.32341614491,0,0,0,0,23.9868781467304,23.9868781467304,20000,0
2025,"ON",23651.315070259,22429.161845871,0,0,2839.29280837377,2711.26290568111,127.081705003581,127.081705003581,20000,2500
2025,"OR",15093.8775204666,14412.1526624479,0,0,0,0,95.3529613854793,95.3529613854793,0,0
2025,"PA",39326.0581999862,37627.1362851392,0,0,198.750496586164,189.788403397678,64.5959810452858,64.5959810452858,15000,0
2025,"PE",265.788392271692,252.104250389237,0,0,0,0,0,0,0,0
2025,"QC",14685.066810878,13941.2548952659,0,0,567.858561674755,542.252581136223,167.175530625409,167.175530625409,0,0
2025,"RI",2623.86385285579,2524.58232684671,0,0,0,0,11.3623848108726,11.3623848108726,0,0
2025,"SC",15074.3164870956,14445.3486621698,24091.2038022066,24091.2038022066,0,0,23.4175391920478,23.4175391920478,21840,20040
2025,"SD",2539.22402804977,2430.37587982466,0,0,0,0,1.22197174173845,1.22197174173845,0,0
2025,"SK",2080.55203759286,1965.94709934098,0,0,0,0,0.19731426425662,0.19731426425662,0,0
2025,"TN",19114.7061989199,18329.6879065434,356517.479086345,356517.479086345,150482.51884381,143696.934001099,35.1475543980489,35.1475543980489,0,0
2025,"TX",80429.1757900936,77140.9232248868,424425.570340887,424425.570340887,28392.9280837377,27112.6290568111,201.395035121014,201.395035121014,10000,10000
