State_Province,Year,Cumulative_black_mass_cap,Delay_Cumulative_black_mass_cap,Cumulative_refining_cap,Delay_Cumulative_refining_cap
GA,2041,32000,32000,129143,129143
GA,2042,32000,32000,129143,129143
GA,2043,32000,32000,129143,129143
GA,2044,32000,32000,129143,129143
GA,2045,32000,32000,129143,129143
GA,2046,32000,32000,129143,129143
GA,2047,32000,32000,129143,129143
GA,2048,32000,32000,129143,129143
GA,2049,32000,32000,129143,129143
GA,2050,32000,32000,129143,129143
IL,2025,24000,24000,0,0
IL,2026,24000,24000,0,0
IL,2027,24000,24000,0,0
IL,2028,24000,24000,0,0
IL,2029,24000,24000,0,0
IL,2030,24000,24000,0,0
IL,2031,24000,24000,0,0
IL,2032,24000,24000,0,0
IL,2033,24000,24000,0,0
IL,2034,24000,24000,0,0
IL,2035,24000,24000,0,0
IL,2036,24000,24000,0,0
IL,2037,24000,24000,0,0
IL,2038,24000,24000,0,0
IL,2039,24000,24000,0,0
IL,2040,24000,24000,0,0
IL,2041,24000,24000,0,0
IL,2042,24000,24000,0,0
IL,2043,24000,24000,0,0
IL,2044,24000,24000,0,0
IL,2045,24000,24000,0,0
IL,2046,24000,24000,0,0
IL,2047,24000,24000,0,0
IL,2048,24000,24000,0,0
IL,2049,24000,24000,0,0
IL,2050,24000,24000,0,0
IN,2025,0,0,0,0
IN,2026,5,0,5,0
IN,2027,5,0,5,0
IN,2028,5,0,5,0
IN,2029,5,0,5,0
IN,2030,5,0,5,0
IN,2031,5,5,5,5
IN,2032,5,5,5,5
IN,2033,5,5,5,5
IN,2034,5,5,5,5
IN,2035,5,5,5,5
IN,2036,5,5,5,5
IN,2037,5,5,5,5
IN,2038,5,5,5,5
IN,2039,5,5,5,5
IN,2040,5,5,5,5
IN,2041,5,5,5,5
IN,2042,5,5,5,5
IN,2043,5,5,5,5
IN,2044,5,5,5,5
IN,2045,5,5,5,5
IN,2046,5,5,5,5
IN,2047,5,5,5,5
IN,2048,5,5,5,5
IN,2049,5,5,5,5
IN,2050,5,5,5,5
KY,2025,270,270,270,270
KY,2026,270,270,270,270
KY,2027,270,270,270,270
KY,2028,270,270,270,270
KY,2029,270,270,270,270
KY,2030,270,270,270,270
KY,2031,270,270,270,270
KY,2032,270,270,270,270
KY,2033,270,270,270,270
KY,2034,270,270,270,270
KY,2035,270,270,270,270
KY,2036,270,270,270,270
KY,2037,270,270,270,270
KY,2038,270,270,270,270
KY,2039,270,270,270,270
KY,2040,270,270,270,270
KY,2041,270,270,270,270
KY,2042,270,270,270,270
KY,2043,270,270,270,270
KY,2044,270,270,270,270
KY,2045,270,270,270,270
KY,2046,270,270,270,270
KY,2047,270,270,270,270
KY,2048,270,270,270,270
KY,2049,270,270,270,270
KY,2050,270,270,270,270
MA,2025,30000,30000,0,0
MA,2026,30000,30000,0,0
MA,2027,30000,30000,0,0
MA,2028,30000,30000,0,0
MA,2029,30000,30000,0,0
MA,2030,30000,30000,0,0
MA,2031,30000,30000,0,0
MA,2032,30000,30000,0,0
MA,2033,30000,30000,0,0
MA,2034,30000,30000,0,0
MA,2035,30000,30000,0,0
MA,2036,30000,30000,0,0
MA,2037,30000,30000,0,0
MA,2038,30000,30000,0,0
MA,2039,30000,30000,0,0
MA,2040,30000,30000,0,0
MA,2041,30000,30000,0,0
MA,2042,30000,30000,0,0
MA,2043,30000,30000,0,0
MA,2044,30000,30000,0,0
MA,2045,30000,30000,0,0
MA,2046,30000,30000,0,0
MA,2047,30000,30000,0,0
MA,2048,30000,30000,0,0
MA,2049,30000,30000,0,0
MA,2050,30000,30000,0,0
MI,2025,22680,22680,0,0
MI,2026,22680,22680,0,0
MI,2027,22680,22680,0,0
MI,2028,22680,22680,0,0
MI,2029,22680,22680,0,0
MI,2030,22680,22680,0,0
MI,2031,22680,22680,0,0
MI,2032,22680,22680,0,0
MI,2033,22680,22680,0,0
MI,2034,22680,22680,0,0
MI,2035,22680,22680,0,0
MI,2036,22680,22680,0,0
MI,2037,22680,22680,0,0
MI,2038,22680,22680,0,0
MI,2039,22680,22680,0,0
MI,2040,22680,22680,0,0
MI,2041,22680,22680,0,0
MI,2042,22680,22680,0,0
MI,2043,22680,22680,0,0
MI,2044,22680,22680,0,0
MI,2045,22680,22680,0,0
MI,2046,22680,22680,0,0
MI,2047,22680,22680,0,0
MI,2048,22680,22680,0,0
MI,2049,22680,22680,0,0
MI,2050,22680,22680,0,0
MO,2025,0,0,0,0
MO,2026,0,0,0,0
MO,2027,0,0,0,0
MO,2028,0,0,0,0
MO,2029,0,0,0,0
MO,2030,0,0,206085.3314,206085.3314
MO,2031,0,0,206085.3314,206085.3314
MO,2032,0,0,206085.3314,206085.3314
MO,2033,0,0,206085.3314,206085.3314
MO,2034,0,0,206085.3314,206085.3314
MO,2035,0,0,206085.3314,206085.3314
MO,2036,0,0,206085.3314,206085.3314
MO,2037,0,0,206085.3314,206085.3314
MO,2038,0,0,206085.3314,206085.3314
MO,2039,0,0,206085.3314,206085.3314
MO,2040,0,0,206085.3314,206085.3314
MO,2041,0,0,206085.3314,206085.3314
MO,2042,0,0,206085.3314,206085.3314
MO,2043,0,0,206085.3314,206085.3314
MO,2044,0,0,206085.3314,206085.3314
MO,2045,0,0,206085.3314,206085.3314
MO,2046,0,0,206085.3314,206085.3314
MO,2047,0,0,206085.3314,206085.3314
MO,2048,0,0,206085.3314,206085.3314
MO,2049,0,0,206085.3314,206085.3314
MO,2050,0,0,206085.3314,206085.3314
NC,2025,500,500,500,500
NC,2026,10500,500,14504.625929,4504.625929
NC,2027,10500,500,14504.625929,4504.625929
NC,2028,12500,500,16504.625929,4504.625929
NC,2029,12500,500,16504.625929,4504.625929
NC,2030,38000,14000,28504.625929,4504.625929
NC,2031,38000,24000,28504.625929,14504.625929
NC,2032,38000,24000,28504.625929,14504.625929
NC,2033,38000,26000,28504.625929,16504.625929
NC,2034,38000,26000,28504.625929,16504.625929
NC,2035,38000,38000,28504.625929,28504.625929
NC,2036,38000,38000,28504.625929,28504.625929
NC,2037,38000,38000,28504.625929,28504.625929
NC,2038,38000,38000,28504.625929,28504.625929
NC,2039,38000,38000,28504.625929,28504.625929
NC,2040,38000,38000,28504.625929,28504.625929
NC,2041,38000,38000,28504.625929,28504.625929
NC,2042,38000,38000,28504.625929,28504.625929
NC,2043,38000,38000,28504.625929,28504.625929
NC,2044,38000,38000,28504.625929,28504.625929
NC,2045,38000,38000,28504.625929,28504.625929
NC,2046,38000,38000,28504.625929,28504.625929
NC,2047,38000,38000,28504.625929,28504.625929
NC,2048,38000,38000,28504.625929,28504.625929
NC,2049,38000,38000,28504.625929,28504.625929
NC,2050,38000,38000,28504.625929,28504.625929
NJ,2025,500,500,500,500
NJ,2026,500,500,500,500
NJ,2027,500,500,500,500
NJ,2028,500,500,500,500
NJ,2029,500,500,500,500
NJ,2030,500,500,500,500
NJ,2031,500,500,500,500
NJ,2032,500,500,500,500
NJ,2033,500,500,500,500
NJ,2034,500,500,500,500
NJ,2035,500,500,500,500
NJ,2036,500,500,500,500
NJ,2037,500,500,500,500
NJ,2038,500,500,500,500
NJ,2039,500,500,500,500
NJ,2040,500,500,500,500
NJ,2041,500,500,500,500
NJ,2042,500,500,500,500
NJ,2043,500,500,500,500
NJ,2044,500,500,500,500
NJ,2045,500,500,500,500
NJ,2046,500,500,500,500
NJ,2047,500,500,500,500
NJ,2048,500,500,500,500
NJ,2049,500,500,500,500
NJ,2050,500,500,500,500
NV,2025,86075,86075,86075,86075
NV,2026,206075,86075,206075,86075
NV,2027,216075,86075,216075,86075
NV,2028,216075,86075,216075,86075
NV,2029,216075,86075,216075,86075
NV,2030,216075,86075,216075,86075
NV,2031,216075,206075,216075,206075
NV,2032,216075,216075,216075,216075
NV,2033,216075,216075,216075,216075
NV,2034,216075,216075,216075,216075
NV,2035,216075,216075,216075,216075
NV,2036,216075,216075,216075,216075
NV,2037,216075,216075,216075,216075
NV,2038,216075,216075,216075,216075
NV,2039,216075,216075,216075,216075
NV,2040,216075,216075,216075,216075
NV,2041,216075,216075,216075,216075
NV,2042,216075,216075,216075,216075
NV,2043,216075,216075,216075,216075
NV,2044,216075,216075,216075,216075
NV,2045,216075,216075,216075,216075
NV,2046,216075,216075,216075,216075
NV,2047,216075,216075,216075,216075
NV,2048,216075,216075,216075,216075
NV,2049,216075,216075,216075,216075
NV,2050,216075,216075,216075,216075
NY,2025,120,120,120,120
NY,2026,120,120,120,120
NY,2027,120,120,120,120
NY,2028,120,120,120,120
NY,2029,10120,10120,120,120
NY,2030,10120,10120,120,120
NY,2031,10120,10120,120,120
NY,2032,10120,10120,120,120
NY,2033,10120,10120,120,120
NY,2034,10120,10120,120,120
NY,2035,10120,10120,120,120
NY,2036,10120,10120,120,120
NY,2037,10120,10120,120,120
NY,2038,10120,10120,120,120
NY,2039,10120,10120,120,120
NY,2040,10120,10120,120,120
NY,2041,10120,10120,120,120
NY,2042,10120,10120,120,120
NY,2043,10120,10120,120,120
NY,2044,10120,10120,120,120
NY,2045,10120,10120,120,120
NY,2046,10120,10120,120,120
NY,2047,10120,10120,120,120
NY,2048,10120,10120,120,120
NY,2049,10120,10120,120,120
NY,2050,10120,10120,120,120
OH,2025,4500,4500,4500,4500
OH,2026,17600,4500,17600,4500
OH,2027,17600,4500,17600,4500
OH,2028,17600,4500,54005.69026,40905.69026
OH,2029,17600,4500,54005.69026,40905.69026
OH,2030,17600,4500,54005.69026,40905.69026
OH,2031,17600,17600,54005.69026,54005.69026
OH,2032,17600,17600,54005.69026,54005.69026
OH,2033,17600,17600,54005.69026,54005.69026
OH,2034,17600,17600,54005.69026,54005.69026
OH,2035,17600,17600,54005.69026,54005.69026
OH,2036,17600,17600,54005.69026,54005.69026
OH,2037,17600,17600,54005.69026,54005.69026
OH,2038,17600,17600,54005.69026,54005.69026
OH,2039,17600,17600,54005.69026,54005.69026
OH,2040,17600,17600,54005.69026,54005.69026
OH,2041,17600,17600,54005.69026,54005.69026
OH,2042,17600,17600,54005.69026,54005.69026
OH,2043,17600,17600,54005.69026,54005.69026
OH,2044,17600,17600,54005.69026,54005.69026
OH,2045,17600,17600,54005.69026,54005.69026
OH,2046,17600,17600,54005.69026,54005.69026
OH,2047,17600,17600,54005.69026,54005.69026
OH,2048,17600,17600,54005.69026,54005.69026
OH,2049,17600,17600,54005.69026,54005.69026
OH,2050,17600,17600,54005.69026,54005.69026
OK,2025,20000,20000,0,0
OK,2026,20000,20000,0,0
OK,2027,20000,20000,0,0
OK,2028,20000,20000,0,0
OK,2029,20000,20000,0,0
OK,2030,45359,45359,0,0
OK,2031,45359,45359,0,0
OK,2032,45359,45359,0,0
