Year,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid
2025,0.08345345276413027,0.08063275996700371
2026,0.08353948869378733,0.07661839729547264
2027,0.1795810187035586,0.1795810187035586
2028,0.17262471767871862,0.17262471767871862
2029,0.2829989659411876,0.2829989659411876
2030,0.2648502282348922,0.2648502282348922
2031,0.24982073342190997,0.24982073342190997
2032,0.2508792130193633,0.23538259824744984
2033,0.2767462837615704,0.22774868291380204
2034,0.28499052818082404,0.22038356741584605
2035,0.29997613340831786,0.22038356741584605
2036,0.30766932897515403,0.22038356741584605
2037,0.3137704097327508,0.22038356741584605
2038,0.3190447783884332,0.2240072275073562
2039,0.3235576452886607,0.2296660922871026
2040,0.32736279742820573,0.23423665756475034
2041,0.3295084300020194,0.23817381548521774
2042,0.33276231569950965,0.24409736048596528
2043,0.3358998512398829,0.24980115003510436
2044,0.33896043208640014,0.25534411598322665
2045,0.34176910147389444,0.26041039373569685
2046,0.3445840775640187,0.26547075697176314
2047,0.3469853194621583,0.26977676057556255
2048,0.3491675766443434,0.2736901407034131
2049,0.3510287609522886,0.27701779396830756
2050,0.35257938208389183,0.2797947059060892
