Year,Scenario,Recycling Step,Tonne,Scenario_Recycling
2046,Decreasing Batt Cap - Benchmark Chemistry,Refining,5.653805017018226,Decreasing Batt Cap - Benchmark Chemistry - Refining
2047,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,12.17055518495982,Decreasing Batt Cap - Benchmark Chemistry - Black Mass
2047,Decreasing Batt Cap - Benchmark Chemistry,Refining,7.46573628273141,Decreasing Batt Cap - Benchmark Chemistry - Refining
2048,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,14.744328493354256,Decreasing Batt Cap - Benchmark Chemistry - Black Mass
2048,Decreasing Batt Cap - Benchmark Chemistry,Refining,9.555016071572847,Decreasing Batt Cap - Benchmark Chemistry - Refining
2049,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,17.584925239369586,Decreasing Batt Cap - Benchmark Chemistry - Black Mass
2049,Decreasing Batt Cap - Benchmark Chemistry,Refining,11.911119298035176,Decreasing Batt Cap - Benchmark Chemistry - Refining
2050,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,20.677386019629587,Decreasing Batt Cap - Benchmark Chemistry - Black Mass
2050,Decreasing Batt Cap - Benchmark Chemistry,Refining,14.519086558742174,Decreasing Batt Cap - Benchmark Chemistry - Refining
2025,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2025,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2026,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2026,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2027,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2027,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2028,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
