State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total
Alabama,Car,PHEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,PHEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,Car,PHEV,2025,0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Alabama,Car,PHEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Alabama,Car,PHEV,2027,0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4
Alabama,Car,PHEV,2028,0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6
Alabama,Car,PHEV,2029,0|0|0|0|0|0|0|0|0|0|0|1|2|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8
Alabama,Car,PHEV,2030,0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10
Alabama,Car,PHEV,2031,0|0|0|0|0|0|0|0|0|0|0|0|1|3|3|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0,12
Alabama,Car,PHEV,2032,0|0|0|0|0|0|0|0|0|0|0|1|1|2|4|3|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0,16
Alabama,Car,PHEV,2033,0|0|0|0|0|0|0|0|1|0|0|0|1|1|2|4|3|2|1|1|0|0|0|0|0|0|0|0|0|0|0,16
Alabama,Car,PHEV,2034,0|0|0|0|0|0|0|0|1|1|0|0|1|2|1|2|4|3|2|1|1|0|0|0|0|0|0|0|0|0|0,19
Alabama,Car,PHEV,2035,0|0|0|0|0|0|0|0|1|2|3|0|1|1|2|1|2|4|2|1|1|1|0|0|0|0|0|0|0|0|0,22
Alabama,Car,PHEV,2036,0|0|0|0|0|0|0|1|1|3|4|7|1|1|1|2|1|2|3|2|1|0|0|0|0|0|0|0|0|0|0,30
Alabama,Car,PHEV,2037,0|0|0|0|0|0|0|1|1|3|6|9|15|1|1|2|2|1|2|2|1|1|0|0|0|0|0|0|0|0|0,48
Alabama,Car,PHEV,2038,0|0|0|0|0|0|0|1|2|3|6|13|19|19|1|1|2|2|1|1|2|1|0|0|0|0|0|0|0|0|0,74
Alabama,Car,PHEV,2039,0|0|0|0|0|0|0|1|2|4|8|14|27|25|23|2|1|1|2|1|1|1|1|0|0|0|0|0|0|0|0,114
Alabama,Car,PHEV,2040,0|0|0|0|0|0|0|1|2|4|9|17|28|35|30|26|2|1|1|1|1|1|1|0|0|0|0|0|0|0|0,160
Alabama,Car,PHEV,2041,0|0|0|0|0|0|0|1|2|5|10|19|36|36|43|33|26|1|1|1|1|0|0|1|0|0|0|0|0|0|0,216
Alabama,Car,PHEV,2042,0|0|0|0|0|0|0|1|3|6|12|22|39|46|44|47|33|23|1|1|1|1|0|0|0|0|0|0|0|0|0,280
Alabama,Car,PHEV,2043,0|0|0|0|0|0|0|1|3|6|13|26|46|51|56|49|47|30|19|1|0|0|0|0|0|0|0|0|0|0|0,348
Alabama,Car,PHEV,2044,0|0|0|0|0|0|1|1|3|6|13|28|53|60|62|62|49|43|25|15|1|0|0|0|0|0|0|0|0|0|0,422
Alabama,Car,PHEV,2045,0|0|0|0|0|0|1|1|3|6|14|29|58|69|72|68|62|44|35|19|11|0|0|0|0|0|0|0|0|0|0,492
Alabama,Car,PHEV,2046,0|0|0|0|0|0|1|1|3|6|14|30|60|75|84|80|68|56|36|27|14|7|0|0|0|0|0|0|0|0|0,562
