"Year","Total_Dereg_NewEV","Total_Dereg_SHEV","Total_Dereg_All","NewEV_vec","SHEV_vec","Total_vec"
2015,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2016,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2017,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2018,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2019,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2020,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2021,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2022,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2023,1,0,1,"0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2024,2,0,2,"0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2025,6,0,6,"0|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2026,16,0,16,"0|0|1|1|1|1|2|2|2|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|1|1|1|1|2|2|2|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2027,38,0,38,"1|1|1|2|2|2|3|4|4|5|6|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|2|2|2|3|4|4|5|6|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2028,85,0,85,"1|2|2|3|4|4|5|7|8|10|11|13|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|2|2|3|4|4|5|7|8|10|11|13|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2029,180,0,180,"3|3|4|5|6|8|10|12|15|17|20|23|26|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3|3|4|5|6|8|10|12|15|17|20|23|26|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2030,363,0,363,"4|5|7|9|11|14|17|20|25|30|35|40|45|49|52|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4|5|7|9|11|14|17|20|25|30|35|40|45|49|52|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2031,712,0,712,"7|9|12|15|19|23|29|35|43|51|59|68|77|84|89|92|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","7|9|12|15|19|23|29|35|43|51|59|68|77|84|89|92|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2032,1386,0,1386,"13|16|20|26|32|40|50|61|73|88|103|118|132|144|154|158|158|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","13|16|20|26|32|40|50|61|73|88|103|118|132|144|154|158|158|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
2033,2739,0,2739,"23|29|36|46|57|71|88|108|131|156|182|210|235|257|273|282|282|273|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","23|29|36|46|57|71|88|108|131|156|182|210|235|257|273|282|282|273|0|0|0|0|0|0|0|0|0|0|0|0|0"
2034,5503,22,5525,"42|53|67|84|105|131|162|199|240|286|335|385|432|472|502|517|517|502|472|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|1|1|1|1|1|1|2|2|2|2|2|2|2|2|0|0|0|0|0|0|0|0|0|0|0|0","42|53|67|84|105|132|163|200|241|287|336|387|434|474|504|519|519|504|474|0|0|0|0|0|0|0|0|0|0|0|0"
2035,11032,118,11150,"77|98|124|156|196|244|302|369|446|532|623|715|803|877|933|962|962|933|877|803|0|0|0|0|0|0|0|0|0|0|0","1|1|1|2|2|3|3|4|5|6|7|8|9|9|10|10|10|10|9|8|0|0|0|0|0|0|0|0|0|0|0","78|99|125|158|198|247|305|373|451|538|630|723|812|886|943|972|972|943|886|811|0|0|0|0|0|0|0|0|0|0|0"
2036,21553,419,21972,"142|180|227|287|359|448|553|677|819|976|1143|1312|1473|1610|1711|1765|1765|1711|1610|1473|1312|0|0|0|0|0|0|0|0|0|0","3|3|4|6|7|9|11|13|16|19|22|26|29|31|33|34|34|33|31|29|26|0|0|0|0|0|0|0|0|0|0","145|183|231|293|366|457|564|690|835|995|1165|1338|1502|1641|1744|1799|1799|1744|1641|1502|1338|0|0|0|0|0|0|0|0|0|0"
2037,40330,1200,41530,"252|320|404|509|639|795|983|1203|1455|1734|2031|2332|2617|2861|3041|3136|3136|3041|2861|2617|2332|2031|0|0|0|0|0|0|0|0|0","8|10|12|15|19|24|29|36|43|52|60|69|78|85|91|93|93|91|85|78|69|60|0|0|0|0|0|0|0|0|0","260|330|416|524|658|819|1012|1239|1498|1786|2091|2401|2695|2946|3132|3229|3229|3132|2946|2695|2401|2091|0|0|0|0|0|0|0|0|0"
2038,71558,2995,74553,"428|544|688|866|1086|1353|1672|2047|2475|2950|3456|3968|4451|4867|5173|5335|5335|5172|4867|4451|3968|3456|2950|0|0|0|0|0|0|0|0","18|23|29|36|45|57|70|86|104|123|145|166|186|204|217|223|223|216|204|186|166|145|123|0|0|0|0|0|0|0|0","446|567|717|902|1131|1410|1742|2133|2579|3073|3601|4134|4637|5071|5390|5558|5558|5388|5071|4637|4134|3601|3073|0|0|0|0|0|0|0|0"
2039,119983,6720,126703,"694|881|1115|1404|1761|2193|2711|3317|4011|4781|5601|6430|7215|7887|8383|8646|8646|8383|7887|7214|6430|5601|4781|4011|0|0|0|0|0|0|0","39|49|62|79|98|123|152|186|225|268|314|360|404|442|469|484|484|469|442|404|360|314|268|225|0|0|0|0|0|0|0","733|930|1177|1483|1859|2316|2863|3503|4236|5049|5915|6790|7619|8329|8852|9130|9130|8852|8329|7618|6790|5915|5049|4236|0|0|0|0|0|0|0"
2040,190564,13733,204297,"1073|1362|1723|2170|2721|3390|4189|5127|6199|7389|8656|9938|11150|12190|12956|13363|13363|12956|12190|11150|9938|8656|7389|6199|5127|0|0|0|0|0|0","77|98|124|156|196|244|302|369|447|532|624|716|804|879|934|963|963|934|879|804|716|624|532|447|369|0|0|0|0|0|0","1150|1460|1847|2326|2917|3634|4491|5496|6646|7921|9280|10654|11954|13069|13890|14326|14326|13890|13069|11954|10654|9280|7921|6646|5496|0|0|0|0|0|0"
