"State","Segment","Year","LIB_recycling","LIB_available","LIB_reuse_EV","LIB_new_add","LIB_repurpose","EV_stock","LIB_recycling_vector","LIB_available_vector","LIB_reuse_vector","LIB_newadd_vector","LIB_repurpose_vector","EV_stock_vector"
"New Mexico","Car",2031,357,173,65,209,173,123175,"0|9|11|16|20|27|27|6|9|12|14|11|22|73|36|27|19|18|0|0|0|0|0|0|0|0|0|0|0|0|0","0|7|11|15|21|27|27|5|7|11|11|10|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|5|13|9|10|2|3|4|5|4|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|14|19|28|37|48|47|8|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|7|11|15|21|27|27|5|7|11|11|10|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","23976|22004|19549|17284|14889|12376|7940|834|989|907|670|394|505|495|171|98|54|42|0|0|0|0|0|0|0|0|0|0|0|0|0"
"New Mexico","Car",2032,488,252,91,320,252,147847,"0|9|12|17|23|32|40|40|8|14|17|20|17|64|85|38|25|14|13|0|0|0|0|0|0|0|0|0|0|0|0","0|9|13|18|24|33|43|42|7|12|17|19|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|3|4|17|11|16|16|4|4|6|6|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|16|22|32|43|58|76|73|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|13|18|24|33|43|42|7|12|17|19|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","25174|23970|21995|19537|17266|14865|12346|7909|829|977|890|646|355|434|400|129|68|34|26|0|0|0|0|0|0|0|0|0|0|0|0"
"New Mexico","Car",2033,649,352,133,465,352,171668,"0|9|15|21|29|38|50|66|65|11|19|26|25|44|73|86|33|19|11|9|0|0|0|0|0|0|0|0|0|0|0","0|9|13|18|27|37|50|63|63|10|17|22|23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|3|5|17|14|19|23|23|5|7|8|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|16|24|35|49|67|91|117|64|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|13|18|27|37|50|63|63|10|17|22|23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","24474|25167|23961|21981|19517|17238|14829|12298|7861|819|956|862|581|304|351|300|89|43|21|15|0|0|0|0|0|0|0|0|0|0|0"
"New Mexico","Car",2034,853,526,194,675,526,194609,"0|9|16|20|31|41|58|78|100|97|15|26|32|74|52|76|78|26|13|7|4|0|0|0|0|0|0|0|0|0|0","0|9|13|22|31|43|59|78|99|97|16|26|33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|4|6|20|16|21|28|35|35|7|10|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|16|25|38|55|77|106|139|176|41|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|13|22|31|43|59|78|99|97|16|26|33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","23797|24468|25157|23945|21959|19486|17196|14771|12224|7783|801|927|776|499|246|265|208|57|25|12|8|0|0|0|0|0|0|0|0|0|0"
"New Mexico","Car",2035,1158,748,275,993,748,216654,"0|10|15|21|34|47|65|90|120|149|144|22|38|98|85|55|69|63|19|9|4|1|0|0|0|0|0|0|0|0|0","0|9|14|23|35|48|67|90|118|148|141|22|33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|5|7|21|18|24|34|42|53|50|9|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|16|24|42|60|86|119|164|215|259|7|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|14|23|35|48|67|90|118|148|141|22|33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","23166|23791|24458|25141|23921|21923|19438|17130|14681|12104|7663|773|834|666|402|185|184|133|34|14|7|4|0|0|0|0|0|0|0|0|0"
"New Mexico","Car",2036,1573,1070,392,1463,1070,237793,"0|10|16|22|35|51|76|103|140|183|223|207|32|107|114|88|49|56|44|11|5|1|0|0|0|0|0|0|0|0|0","0|9|14|23|35|51|74|103|136|177|218|200|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|7|7|22|20|26|37|49|63|78|72|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|14|24|41|63|94|135|186|249|315|341|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|14|23|35|51|74|103|136|177|218|200|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","22607|23160|23782|24443|25116|23883|21869|19364|17027|14534|11920|7480|695|715|538|302|127|119|79|19|7|3|2|0|0|0|0|0|0|0|0"
"New Mexico","Car",2037,2115,1538,573,1655,1538,257546,"0|11|16|23|35|57|82|116|158|213|270|323|288|91|122|118|80|39|38|26|7|2|0|0|0|0|0|0|0|0|0","0|12|16|23|35|54|80|115|156|206|261|311|269|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|11|10|25|21|29|41|56|75|94|112|99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|24|39|61|99|147|208|282|362|410|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|12|16|23|35|54|80|115|156|206|261|311|269|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","22153|22601|23150|23767|24418|25078|23825|21784|19247|16854|14311|11639|6722|596|578|405|209|82|70|44|11|4|2|2|0|0|0|0|0|0|0"
"New Mexico","Car",2038,3241,1868,710,1807,1868,275523,"0|14|21|25|35|56|87|126|178|238|313|388|446|844|106|127|107|64|27|23|14|2|0|0|0|0|0|0|0|0|0","0|12|19|25|36|55|86|125|175|237|305|373|420|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|11|15|33|22|33|46|62|86|111|136|155|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|23|39|61|96|154|228|317|411|450|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|12|19|25|36|55|86|125|175|237|305|373|420|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","21818|22147|22591|23135|23743|24380|25015|23733|21653|19054|16592|13972|10487|5758|480|432|279|132|48|40|23|5|2|0|0|0|0|0|0|0|0"
"New Mexico","Car",2039,4856,2116,823,1950,2116,291375,"0|13|19|29|39|57|85|134|193|269|355|452|536|1312|974|108|115|85|43|17|13|8|0|0|0|0|0|0|0|0|0","0|13|21|30|38|56|87|133|191|264|345|433|505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|12|18|46|26|35|50|70|96|125|158|187|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|23|39|59|94|151|238|346|464|505|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|13|21|30|38|56|87|133|191|264|345|433|505|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","21607|21812|22138|22576|23113|23706|24319|24918|23589|21436|18756|16193|12586|9015|4633|359|299|178|78|27|21|13|3|1|0|0|0|0|0|0|0"
"New Mexico","Car",2040,6821,2349,943,2048,2349,304813,"0|15|19|31|44|58|88|133|207|294|400|510|624|1578|1518|1009|98|91|58|27|8|7|4|0|0|0|0|0|0|0|0","0|13|21|30|44|61|87|133|203|289|390|492|586|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|13|20|61|35|39|53|77|105|142|180|218|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|23|40|58|93|147|231|364|505|553|19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|13|21|30|44|61|87|133|203|289|390|492|586|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","21491|21601|21804|22124|22553|23077|23647|24225|24766|23352|21100|18305|14582|10818|7296|3454|247|189|104|43|14|11|6|1|0|0|0|0|0|0|0"
