"State","Segment","Propulsion","Year","LIB_recycling","LIB_available","LIB_reuse_EV","LIB_new_add","LIB_repurpose","EV_stock","LIB_recycling_vector","LIB_available_vector","LIB_reuse_vector","LIB_newadd_vector","LIB_repurpose_vector","EV_stock_vector","domestic_factor","export_factor"
"Virginia","SUV","PHEV",2038,5645,4342,695,6757,4342,202223,"0|87|124|187|273|378|480|541|568|589|497|460|293|369|398|244|101|47|6|2|1|0|0|0|0|0|0|0|0|0|0","0|85|125|187|272|374|471|529|553|569|474|433|270|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|27|33|119|83|90|83|72|63|50|44|31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|124|194|304|448|641|828|962|1038|1083|915|220|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|85|125|187|272|374|471|529|553|569|474|433|270|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","19912|20190|20322|20242|19931|19183|17174|14367|11813|10319|7794|7170|4167|2550|3166|2216|1024|550|75|29|18|8|3|1|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Washington","Car","BEV",2038,12055,3815,1594,3613,3815,756870,"0|37|53|75|110|159|211|286|377|499|622|725|774|1789|1389|1749|1402|799|393|352|202|29|14|6|3|0|0|0|0|0|0","0|36|52|74|110|160|211|284|374|489|602|695|728|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|22|30|90|77|99|122|157|206|240|271|280|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|54|82|126|184|267|355|490|647|819|565|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|36|52|74|110|160|211|284|374|489|602|695|728|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","84978|82127|78925|75379|71932|66923|57232|51134|43913|37823|31739|25353|17750|11940|6498|6056|3707|1666|736|619|346|48|26|15|5|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Washington","Car","PHEV",2038,1762,768,309,750,768,142269,"0|7|9|13|20|31|42|56|71|99|118|162|157|362|99|84|96|122|66|64|57|19|6|2|0|0|0|0|0|0|0","0|6|11|15|20|30|43|57|71|98|113|156|148|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|5|6|16|11|17|21|28|41|46|61|57|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|15|23|36|54|77|102|125|165|139|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|6|11|15|20|30|43|57|71|98|113|156|148|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","13685|13896|14056|14129|14134|13789|12559|10687|8555|7650|5930|5642|3582|2386|426|270|246|254|120|113|106|37|11|4|2|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Washington","SUV","BEV",2038,28661,20803,3786,30667,20803,994332,"0|436|617|933|1348|1816|2194|2591|2794|2820|2567|2044|1408|1805|2754|1589|620|235|64|15|7|4|0|0|0|0|0|0|0|0|0","0|435|613|923|1331|1782|2138|2516|2697|2707|2444|1920|1297|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|118|144|674|484|505|472|403|337|276|215|158|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|669|991|1491|2108|2893|3551|4370|4890|4987|4634|83|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|435|613|923|1331|1782|2138|2516|2697|2707|2444|1920|1297|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","113098|108826|103987|98629|93446|86354|73388|65177|55576|47417|39310|30640|19404|12117|22304|14501|6350|2699|752|180|96|64|14|3|1|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Washington","SUV","PHEV",2038,6059,4293,842,6132,4293,191316,"0|77|113|180|271|381|488|554|564|585|499|460|291|371|611|377|146|73|12|4|2|0|0|0|0|0|0|0|0|0|0","0|77|112|178|269|372|475|537|543|562|471|430|267|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|23|28|143|107|120|109|92|77|59|50|34|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|113|176|281|415|597|779|914|954|1010|865|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|77|112|178|269|372|475|537|543|562|471|430|267|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","18213|18413|18518|18488|18361|17792|16104|13623|10830|9593|7342|6825|3899|2432|4893|3423|1486|855|126|48|31|14|5|1|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"West Virginia","Car","BEV",2038,800,461,174,467,461,82447,"0|4|7|9|10|16|22|30|44|58|79|92|99|225|24|31|26|12|6|4|2|0|0|0|0|0|0|0|0|0|0","0|5|6|7|12|17|22|30|45|59|76|89|93|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|3|4|9|6|8|11|17|21|28|32|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|5|8|14|20|29|39|55|81|102|111|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|5|6|7|12|17|22|30|45|59|76|89|93|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","8664|8469|8257|8004|7689|7290|6352|5782|5502|4723|4179|3337|2328|1537|117|109|67|25|8|6|2|0|0|0|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"West Virginia","Car","PHEV",2038,176,97,38,100,97,16577,"0|2|2|2|3|3|6|7|8|13|15|23|21|49|4|3|3|6|2|2|2|0|0|0|0|0|0|0|0|0|0","0|0|1|2|2|4|5|6|9|12|16|20|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|1|2|2|2|2|4|5|6|7|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|1|2|2|4|6|9|12|16|22|25|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|1|2|2|4|5|6|9|12|16|20|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1438|1480|1522|1559|1585|1582|1470|1276|1134|1016|827|788|500|331|18|12|12|11|5|4|4|2|1|0|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"West Virginia","SUV","BEV",2038,3549,3124,327,5494,3124,160180,"0|76|110|147|195|254|302|355|419|417|395|310|210|264|51|29|11|4|0|0|0|0|0|0|0|0|0|0|0|0|0","0|76|108|145|195|254|298|351|413|408|382|297|197|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|24|29|59|29|28|28|29|28|28|25|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|113|169|249|350|477|580|704|854|837|797|364|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|76|108|145|195|254|298|351|413|408|382|297|197|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","18802|18312|17656|16786|15699|14403|12080|10555|9741|8019|6806|5218|3290|2030|387|249|103|33|7|1|1|0|0|0|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"West Virginia","SUV","PHEV",2038,813,679,83,1160,679,32228,"0|14|21|29|42|58|72|82|90|92|80|74|47|58|27|17|7|3|0|0|0|0|0|0|0|0|0|0|0|0|0","0|14|20|29|41|56|71|79|87|90|78|72|42|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|6|6|15|8|9|8|7|7|6|6|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|20|32|48|73|104|135|156|177|180|159|76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|14|20|29|41|56|71|79|87|90|78|72|42|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3120|3200|3254|3269|3239|3124|2794|2328|2007|1723|1349|1229|702|432|208|146|63|33|5|2|1|1|0|0|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Wisconsin","Car","BEV",2038,3927,1975,758,1997,1975,373095,"0|18|27|37|52|76|100|137|197|261|327|384|413|937|227|286|212|111|50|41|25|5|3|1|0|0|0|0|0|0|0","0|18|28|37|52|74|99|138|194|256|320|370|389|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|13|18|41|30|39|52|72|95|117|136|145|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|26|40|62|89|130|175|247|351|445|420|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|18|28|37|52|74|99|138|194|256|320|370|389|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","41115|39739|38327|36795|35054|32999|28488|25830|23927|20653|17293|13792|9672|6376|1056|981|549|233|88|73|40|6|5|3|1|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
