Battery Chem,Scrap kg/Gwh
NMC 811,81025.5924170616
NMC 333,97679.5924170616
NMC 532,91547.28909952607
NMC 622,90574.98104265404
NMC 95,82985.1327014218
NCA,88674.03317535545
LFP,120239.83412322275
LMO,121981.81042654028
LMO-LTO,216597.37914691944
