"Year","Metric","Tonnes"
2035,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",9.93958160380158
2035,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",6.93971440079282
2035,"Pack Manufacturing",9.53394171274833
2035,"Decreasing Batt Cap Pack Manufacturing",6.529899450867
2035,"Cell Manufacturing",6.01878071880488
2035,"Decreasing Batt Cap Cell Manufacturing",4.12232779418612
2035,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.604624919928602
2035,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.583457227540522
2035,"Black Mass",0.91838736185
2035,"Refining",1.402880881403
2036,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",10.4637678522999
2036,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",7.28618743480365
2036,"Pack Manufacturing",10.0261845684434
2036,"Decreasing Batt Cap Pack Manufacturing",6.8446227900111
2036,"Cell Manufacturing",6.32953380478877
2036,"Decreasing Batt Cap Cell Manufacturing",4.32101274763675
2036,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",0.824558301665641
2036,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",0.790271077128505
2036,"Black Mass",0.91838736185
2036,"Refining",1.402880881403
2037,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",10.9816611854827
2037,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",7.62599408609455
2037,"Pack Manufacturing",10.5068579504439
2037,"Decreasing Batt Cap Pack Manufacturing",7.14975174559852
2037,"Cell Manufacturing",6.63298307800585
2037,"Decreasing Batt Cap Cell Manufacturing",4.51364076341148
2037,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",1.09731639738201
2037,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",1.04291201832335
2037,"Black Mass",0.91838736185
2037,"Refining",1.402880881403
2038,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",11.5003721446662
2038,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",7.96591603584669
2038,"Pack Manufacturing",10.9868605043504
2038,"Decreasing Batt Cap Pack Manufacturing",7.45401356000075
2038,"Cell Manufacturing",6.93600885721387
2038,"Decreasing Batt Cap Cell Manufacturing",4.70572135265444
2038,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",1.48105640813961
2038,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",1.3932504461553
2038,"Black Mass",0.91838736185
2038,"Refining",1.402880881403
2039,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",12.0429889577476
2039,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",8.31979262381372
2039,"Pack Manufacturing",11.4847394125419
2039,"Decreasing Batt Cap Pack Manufacturing",7.76862279893865
2039,"Cell Manufacturing",7.25031998509872
2039,"Decreasing Batt Cap Cell Manufacturing",4.90433427460521
2039,"EoL Batteries (Increasing Batt Cap - Benchmark Chemistry)",1.89806475419428
2039,"EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry)",1.75694371850301
2039,"Black Mass",0.91838736185
2039,"Refining",1.402880881403
2040,"LIB Demand (Increasing Batt Cap - Benchmark Chemistry)",12.6219402217226
2040,"LIB Demand (Decreasing Batt Cap - Benchmark Chemistry)",8.71565791000959
2040,"Pack Manufacturing",12.022815847584
2040,"Decreasing Batt Cap Pack Manufacturing",8.12396139661696
