"Year","State_Province","Add_LIB_proj_tonnes","Add_LIB_15_tonnes","Add_LIB_proj_LFP_tonnes","Add_LIB_15_LFP_tonnes","Country","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid","Cumulative_black_mass_cap","Cumulative_refining_cap","Recycle_Batt_15","Recycle_Batt_15_LFP","Recycle_Batt_Proj","Recycle_Batt_Proj_LFP"
2050,"AB",321447.559952533,208714.022341619,338277.50088529,217604.193998672,"CA",0,0,0,0,0,0,0,0,0,0,128497.664986888,132800.618724562,185769.79464548,193372.250161712
2050,"AK",22256.9572262151,15453.645906097,23299.8433056815,16017.3780147285,"US",0,0,0,0,0,0,0,0,0,0,10048.2236768403,10311.2677483677,13370.8448944402,13825.8482830906
2050,"AL",167215.660605315,114983.393621243,175218.661509136,119307.700878176,"US",11453.487541135,10130.0452945698,361902.591627173,239441.645022942,0,0,0,0,18000,0,72713.8043982421,74663.1054580418,97361.8470143521,100735.757375678
2050,"AR",91184.4211884099,63017.4926634662,95451.0606488232,65300.3487845756,"US",0,0,0,0,0,0,0,0,0,0,40798.3520822382,41846.5077362782,54364.3938854262,56196.4322409142
2050,"AZ",294830.601622846,201412.238435457,309227.192045287,209229.418102762,"US",6967.53825419043,6162.44422086329,220157.40990653,145660.334055623,20307.1320228263,18602.5755806663,501083.919697693,331526.661601146,14100,0,120518.581067934,123925.719717331,163130.034260039,169004.047493221
2050,"BC",288790.841220925,193285.413880733,303238.736056365,201006.907028364,"CA",0,0,0,0,0,0,0,0,250000,250000,126109.824077719,130114.850093055,177830.034916722,184817.079194608
2050,"CA",1973297.03645415,1274595.4619352,2081785.80561161,1333875.01250681,"US",39298.6653085635,34757.7328007848,1241743.07359038,821560.859510571,1729.66887668108,1584.48253410763,42680.0426339,28237.9288083081,45823.36185,45823.36185,875131.808471253,906878.541154756,1265312.25988648,1319456.34014395
2050,"CO",307536.592532979,200637.635768477,323681.682162424,209253.882867911,"US",0,0,0,0,267.199105563504,244.770731324556,6593.20946970649,4362.19291580455,0,0,131488.22076356,135949.018045484,189558.279580885,197329.954818147
2050,"CT",104578.393686521,72431.968772167,109523.35581836,75112.8735323682,"US",0,0,0,0,0,0,0,0,0,0,49140.6146674685,50469.649062063,65860.8734707914,68156.1905584026
2050,"DC",27270.3621458217,19266.5667343391,28535.6539202482,19968.155016053,"US",0,0,0,0,0,0,0,0,0,0,12237.3604567345,12585.7507587486,16387.0427163439,16973.8637474532
