"Country","Year","Scenario","Mineral","Recycling Scenario","Tonnes","Type","pattern_type"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Current NA Recycling Capacity",0.0033103394353854,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0842397659633903,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","Current NA Recycling Capacity",0.0224930865903244,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.57274545288387,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Current NA Recycling Capacity",0.0452144295731044,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",1.1517049944747,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Current NA Recycling Capacity",0.00417675990190706,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",0.106340443736059,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Current NA Recycling Capacity",0.00209617717417678,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",0.0533236985739473,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Current NA Recycling Capacity",0.0194608942430436,"Recycling","diagonal"
"US",2050,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",0.495374819058135,"Recycling","diagonal"
