"Year","State_Province","Mineral","Demanded Minerals (kg)","Demand Minerals (Tonne)","Scenario","Country"
2026,"CT","Lithium",199104.928353597,199.104928353597,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"CT","Manganese",75608.8068984094,75.6088068984094,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"CT","Nickel",706178.448253968,706.178448253968,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DC","Cobalt",43365.1757338729,43.3651757338729,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DC","Copper",252071.922875684,252.071922875684,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DC","Graphite",531473.505321138,531.473505321138,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DC","Lithium",56020.7512249209,56.0207512249209,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DC","Manganese",22762.6454425454,22.7626454425454,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DC","Nickel",213175.742619119,213.175742619119,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DE","Cobalt",53839.8811182998,53.8398811182998,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DE","Copper",322288.047327557,322.288047327557,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DE","Graphite",676856.751042281,676.856751042281,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DE","Lithium",71136.6144665339,71.1366144665339,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DE","Manganese",28365.1107268841,28.3651107268841,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"DE","Nickel",265449.026276965,265.449026276965,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"FL","Cobalt",871456.225327271,871.456225327271,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"FL","Copper",5678366.4941767,5678.3664941767,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"FL","Graphite",11797535.6943672,11797.5356943672,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"FL","Lithium",1229842.91189213,1229.84291189213,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"FL","Manganese",464279.066637635,464.279066637635,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"FL","Nickel",4335258.31741711,4335.25831741711,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"GA","Cobalt",466670.818585952,466.670818585952,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"GA","Copper",2961806.33587067,2961.80633587067,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"GA","Graphite",6173640.99057305,6173.64099057305,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"GA","Lithium",645173.985582843,645.173985582843,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"GA","Manganese",247742.037716406,247.742037716406,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"GA","Nickel",2314943.56057796,2314.94356057796,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"HI","Cobalt",60364.0142863373,60.3640142863373,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"HI","Copper",386908.999190548,386.908999190548,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"HI","Graphite",805487.262960134,805.487262960134,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"HI","Lithium",84098.5006389827,84.0985006389827,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"HI","Manganese",32087.9469183818,32.0879469183818,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"HI","Nickel",299756.834212229,299.756834212229,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IA","Cobalt",128673.988991957,128.673988991957,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IA","Copper",829236.721203148,829.236721203148,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IA","Graphite",1725186.70377774,1725.18670377774,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IA","Lithium",180029.430479462,180.029430479462,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IA","Manganese",68449.9062921798,68.4499062921798,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IA","Nickel",639347.836159278,639.347836159278,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"ID","Cobalt",98057.7649887955,98.0577649887955,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"ID","Copper",593875.926128694,593.875926128694,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"ID","Graphite",1245323.88950755,1245.32388950755,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"ID","Lithium",130731.3813111,130.7313813111,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"ID","Manganese",51738.0119709399,51.7380119709399,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"ID","Nickel",484036.079983941,484.036079983941,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IL","Cobalt",415080.47570044,415.08047570044,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IL","Copper",2847464.53318208,2847.46453318208,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IL","Graphite",5879620.24884846,5879.62024884846,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IL","Lithium",610036.069045877,610.036069045877,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IL","Manganese",222734.906230113,222.734906230113,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IL","Nickel",2076875.91169295,2076.87591169295,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IN","Cobalt",266050.48799838,266.05048799838,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IN","Copper",1728882.57036812,1728.88257036812,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IN","Graphite",3593169.24148791,3593.16924148791,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IN","Lithium",374667.480036735,374.667480036735,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IN","Manganese",141689.289851341,141.689289851341,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"IN","Nickel",1323136.19522852,1323.13619522852,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KS","Cobalt",118208.289758428,118.208289758428,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KS","Copper",760625.861450106,760.625861450106,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KS","Graphite",1582744.93968594,1582.74493968594,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KS","Lithium",165188.91601865,165.18891601865,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KS","Manganese",62869.518288674,62.869518288674,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KS","Nickel",587248.902902667,587.248902902667,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KY","Cobalt",173637.414386688,173.637414386688,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KY","Copper",1133063.08366039,1133.06308366039,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KY","Graphite",2353664.06674097,2353.66406674097,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KY","Lithium",245326.084273842,245.326084273842,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KY","Manganese",92525.912818684,92.525912818684,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"KY","Nickel",863937.252747203,863.937252747203,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"LA","Cobalt",150780.543655316,150.780543655316,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"LA","Copper",1039126.51968025,1039.12651968025,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"LA","Graphite",2144499.84672749,2144.49984672749,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"LA","Lithium",222408.971086341,222.408971086341,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"LA","Manganese",80963.0932074138,80.9630932074138,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"LA","Nickel",754837.328092762,754.837328092762,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"MA","Cobalt",612605.660428393,612.605660428393,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"MA","Copper",3328465.80087992,3328.46580087992,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"MA","Graphite",7084135.00604329,7084.13500604329,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"MA","Lithium",751908.701926265,751.908701926265,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"MA","Manganese",318963.163930587,318.963163930587,"Decreasing Batt Cap - High LFP Chemistry","US"
2026,"MA","Nickel",2991991.33783342,2991.99133783342,"Decreasing Batt Cap - High LFP Chemistry","US"
