"Year","State_Province","Mineral","Available Recycled Minerals (w Scrap) (Tonne)","Available Recycled Minerals No R Restraint (Tonne)","Minerals Recoverable in Exported Scrap/Batts (Tonne)","Minerals Recoverable in Exported BM (Tonne)","Minerals Lost to Pyrometalurgy (Tonne)","Scrap_min","Batt_min","Battery_Scenario","Chemistry_Scenario","Scenario","Country"
2025,"AZ","Graphite",0,14.2100470689792,0,0,14.2100470689792,0,14.2100470689792,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"AZ","Lithium",0,1.48458664647427,0,0,1.48458664647427,0.00882404562559042,1.47576260084868,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"AZ","Manganese",0,0.989982370199176,0,0,0.989982370199176,0.0131201831018811,0.976862187097295,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"AZ","Nickel",10.336454048853,10.336454048853,0,0,0,0.0581428504646009,10.2783111983884,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"BC","Cobalt",2.81856771508558,2.81856771508558,0,0,0,0.0141576444915308,2.80441007059405,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"BC","Copper",7.77159647551846,8.20335183526948,0,0,0.431755359751025,0.0349744967488428,8.16837733852064,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"BC","Graphite",0,18.2383493158642,0,0,18.2383493158642,0,18.2383493158642,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"BC","Lithium",0,1.86868846677007,0,0,1.86868846677007,0.00882404562559042,1.85986442114448,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"BC","Manganese",0,1.00713547199221,0,0,1.00713547199221,0.0131201831018811,0.994015288890326,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"BC","Nickel",12.5223844405597,12.5223844405597,0,0,0,0.0581428504646009,12.4642415900951,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"CA","Cobalt",42.448323699328,42.448323699328,0,0,0,0.0141576444915308,42.4341660548365,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CA","Copper",96.6269087647675,101.99507036281,0,0,5.36816159804263,0.0349744967488428,101.960095866061,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
