"Year","Scenario","Recycling Step","Tonne","Scenario_Recycling"
2045,"Decreasing Batt Cap - Benchmark Chemistry","Refining",15.7462229369869,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2046,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",25.1456606382122,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2046,"Decreasing Batt Cap - Benchmark Chemistry","Refining",19.9071809880905,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2047,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",30.3020786195917,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2047,"Decreasing Batt Cap - Benchmark Chemistry","Refining",24.5791054499169,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2048,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",35.9547432878259,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2048,"Decreasing Batt Cap - Benchmark Chemistry","Refining",29.7472765985982,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2049,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",42.0744813519723,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2049,"Decreasing Batt Cap - Benchmark Chemistry","Refining",35.3825211431916,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2050,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",48.6260729610172,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2050,"Decreasing Batt Cap - Benchmark Chemistry","Refining",41.4496192326834,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2025,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2025,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2026,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2026,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2027,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2027,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2028,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2028,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2029,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2029,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2030,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2030,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2031,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2031,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2032,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2032,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2033,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2033,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2034,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2034,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2035,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0.090446805948298,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2035,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2036,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0.397884336595797,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2036,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2037,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0.967653723910369,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2037,"Decreasing Batt Cap - High LFP Chemistry","Refining",0.0852758677615719,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2038,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",1.8975867751355,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2038,"Decreasing Batt Cap - High LFP Chemistry","Refining",0.530715399433708,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2039,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",3.20237871432494,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2039,"Decreasing Batt Cap - High LFP Chemistry","Refining",1.35101381907014,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2040,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",4.92556302409708,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2040,"Decreasing Batt Cap - High LFP Chemistry","Refining",2.58970460928928,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2041,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",7.10075330010933,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2041,"Decreasing Batt Cap - High LFP Chemistry","Refining",4.28040136574853,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2042,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",9.75883127622241,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2042,"Decreasing Batt Cap - High LFP Chemistry","Refining",6.45398582230862,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2043,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",12.9244916373139,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2043,"Decreasing Batt Cap - High LFP Chemistry","Refining",9.1351526638471,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2044,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",16.6138188634768,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2044,"Decreasing Batt Cap - High LFP Chemistry","Refining",12.339986370457,"Decreasing Batt Cap - High LFP Chemistry - Refining"
