"Year","Scenario","Mineral","Recycling Scenario","Recycle_v_Demand"
2028,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.00886373102647208
2029,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.01227478610161
2029,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.01227478610161
2030,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0161603684785913
2030,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0161603684785913
2031,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0213923321171337
2031,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0213923321171337
2032,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0283462799770012
2032,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0283462799770012
2033,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0351720755673514
2033,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0351720755673514
2034,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0438602298925222
2034,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0438602298925222
2035,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0554346492959644
2035,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0554346492959644
2036,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0533401191020552
2036,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0749181520860918
2037,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0518017528679598
2037,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.100842038863411
2038,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0505466628276996
2038,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.132904369635605
2039,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0504160673601138
2039,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.181397828335889
2040,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0478526352066972
2040,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.223758006522273
2041,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0449554898371791
2041,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.267669082801367
2042,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0420510891159254
2042,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.310711713007942
2043,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0392389738201538
2043,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.354199987012686
2044,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0367448697939586
2044,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.398753572178009
