"Year","Scenario","Mineral","Recycling Scenario","Tonne"
2026,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",665.57865571565
2026,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",1420.65080405276
2026,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",142.712924634974
2026,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",89.9642871517673
2026,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",837.466076243639
2026,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",837.466076243639
2026,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",200.430116882012
2026,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",200.430116882012
2026,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",630.537651611945
2026,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",665.567521145942
2026,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",1420.64703080944
2026,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",142.713744624709
2026,"Decreasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",89.9685939655575
2026,"Decreasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",837.508172882448
2026,"Decreasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",837.508172882448
2026,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",200.829609847912
2026,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",200.829609847912
2026,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",632.167928357548
2026,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",667.288368821857
2026,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",1423.98422375944
2026,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",143.062396951418
2026,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",90.1830361411777
2026,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",839.386638126109
2026,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",839.386638126109
2026,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",200.838965218482
2026,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",200.838965218482
2026,"Increasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",632.156732868901
2026,"Increasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",667.276551361618
2026,"Increasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",1423.98021910061
2026,"Increasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",143.063267231665
2026,"Increasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",90.1876070947089
2026,"Increasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",839.431316579645
