Year,State_Province,Add_LIB_proj_tonnes,Add_LIB_15_tonnes,Add_LIB_proj_LFP_tonnes,Add_LIB_15_LFP_tonnes,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid,Cumulative_black_mass_cap,Cumulative_refining_cap,Recycle_Batt_15,Recycle_Batt_15_LFP,Recycle_Batt_Proj,Recycle_Batt_Proj_LFP,Country
2050,AB,291079.82873653347,157607.72927840755,307909.76966929104,166497.9009354599,0,0,0,0,0,0,0,0,0,0,90595.37149667816,94652.99533595382,154626.89178080173,161764.73284281295,CA
2050,AK,19514.401914954517,10838.15999829539,20557.28799442093,11401.892106926938,0,0,0,0,0,0,0,0,0,0,6265.727288289036,6513.167539621965,10417.491110057323,10843.842706109936,US
2050,AL,147488.28688333725,81783.9117227826,155491.2877871589,86108.2189797155,11177.557282264277,8849.515044288946,327030.3171332421,180382.70350459992,0,0,0,0,18000,0,45907.199065766705,47741.78053316433,76408.27737896143,79571.35621211704,US
2050,AR,79917.32830697265,44055.93947157736,84183.96776738601,46338.79559268672,0,0,0,0,0,0,0,0,0,0,25245.60700754595,26232.052155834426,42257.55285678089,43974.98502573919,US
2050,AZ,261542.2210834359,145390.7424815388,275938.81150587753,153207.92214884338,6799.680680044101,5383.454985275775,198943.44292272223,109732.8112986316,19951.741599431847,16953.28858445468,452800.3859610958,249754.69700661098,14100,0,77920.55458747773,81124.9384551819,129576.86073993976,135080.8747057654,US
2050,BC,257994.21603481995,141457.32896638243,272442.11087025993,149178.82211401316,0,0,0,0,0,0,0,0,250000,250000,86398.3064466411,90171.8009621716,145706.20424336873,152261.9429390874,CA
2050,CA,1827345.491614864,1013735.0646940805,1936779.882926556,1073532.9214881589,38351.90644119499,30364.037907195096,1122090.9729560968,618920.609728857,1699.398341495467,1444.0037908338154,38567.471470896846,21272.965859071865,45823.36185,45823.36185,660011.606890959,690280.6922338424,1090097.9855002472,1141508.8309025576,US
2050,CO,278710.3453342648,152125.5284012371,294855.43496370973,160741.7755006704,0,0,0,0,262.522915781998,223.06958663756157,5957.899815277577,3286.2460132448814,0,0,95262.02399634957,99482.30634819224,159941.25537915996,167257.05622504136,US
2050,CT,91926.0243464541,51139.11383880964,96870.98647829265,53820.01859901085,0,0,0,0,0,0,0,0,0,0,31171.412928654474,32421.73615041591,51772.056879618656,53923.154142648425,US
2050,DC,23844.67281119844,13501.424721144042,25109.964585624966,14203.013002857968,0,0,0,0,0,0,0,0,0,0,8008.5270014908965,8337.103487448083,13079.219392950707,13630.355010713527,US
2050,DE,37181.29059080816,20597.359944191776,39264.84399450632,21725.84092657117,0,0,0,0,0,0,0,0,0,0,11305.420441955634,11781.419387020886,18867.565968175906,19687.716680851394,US
2050,FL,825731.8070191556,460669.5764677475,870965.5758887272,485334.0648584047,0,0,0,0,525.045831563996,446.13917327512314,11915.799630555153,6572.492026489763,15,0,242173.9390900475,252142.04229178108,402216.29690318985,419291.5403777175,US
2050,GA,366028.4281714953,203462.34852268331,385970.7336872435,214277.77973258033,42860.17404191385,33933.33135376468,1253992.7960426116,691674.7435171232,47954.18594951163,40747.37782579458,1088309.699590704,600287.605086065,32000,129143,109209.78405013293,113623.60792580627,181581.79285222778,189170.73808623548,US
