Year,Scenario,Recycling Step,Tonne,Scenario_Recycling
2049,Decreasing Batt Cap - Benchmark Chemistry,Refining,20.754882549990388,Decreasing Batt Cap - Benchmark Chemistry - Refining
2050,Decreasing Batt Cap - Benchmark Chemistry,Black Mass,31.2221623822448,Decreasing Batt Cap - Benchmark Chemistry - Black Mass
2050,Decreasing Batt Cap - Benchmark Chemistry,Refining,24.635107540228326,Decreasing Batt Cap - Benchmark Chemistry - Refining
2025,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2025,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2026,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2026,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2027,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2027,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2028,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2028,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2029,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2029,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2030,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2030,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2031,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2031,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2032,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2032,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2033,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2033,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2034,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2034,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2035,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2035,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2036,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0.053953119333986777,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2036,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2037,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0.29563973683137645,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2037,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2038,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0.8254888390045219,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2038,Decreasing Batt Cap - High LFP Chemistry,Refining,0.04535558262014529,Decreasing Batt Cap - High LFP Chemistry - Refining
2039,Decreasing Batt Cap - High LFP Chemistry,Black Mass,1.6220146976061809,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2039,Decreasing Batt Cap - High LFP Chemistry,Refining,0.357387921668804,Decreasing Batt Cap - High LFP Chemistry - Refining
2040,Decreasing Batt Cap - High LFP Chemistry,Black Mass,2.7058800264012786,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2040,Decreasing Batt Cap - High LFP Chemistry,Refining,0.9567597309109015,Decreasing Batt Cap - High LFP Chemistry - Refining
2041,Decreasing Batt Cap - High LFP Chemistry,Black Mass,4.09099747514543,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2041,Decreasing Batt Cap - High LFP Chemistry,Refining,1.8573836601020535,Decreasing Batt Cap - High LFP Chemistry - Refining
2042,Decreasing Batt Cap - High LFP Chemistry,Black Mass,5.793105700816268,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2042,Decreasing Batt Cap - High LFP Chemistry,Refining,3.0749983662198908,Decreasing Batt Cap - High LFP Chemistry - Refining
2043,Decreasing Batt Cap - High LFP Chemistry,Black Mass,7.8309716424459745,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2043,Decreasing Batt Cap - High LFP Chemistry,Refining,4.628370788296597,Decreasing Batt Cap - High LFP Chemistry - Refining
2044,Decreasing Batt Cap - High LFP Chemistry,Black Mass,10.221465688181278,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2044,Decreasing Batt Cap - High LFP Chemistry,Refining,6.5343713144789,Decreasing Batt Cap - High LFP Chemistry - Refining
2045,Decreasing Batt Cap - High LFP Chemistry,Black Mass,12.97880190624052,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2045,Decreasing Batt Cap - High LFP Chemistry,Refining,8.807214012985142,Decreasing Batt Cap - High LFP Chemistry - Refining
2046,Decreasing Batt Cap - High LFP Chemistry,Black Mass,16.115488293822423,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2046,Decreasing Batt Cap - High LFP Chemistry,Refining,11.459406881014045,Decreasing Batt Cap - High LFP Chemistry - Refining
2047,Decreasing Batt Cap - High LFP Chemistry,Black Mass,19.631161215065276,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2047,Decreasing Batt Cap - High LFP Chemistry,Refining,14.490586282703903,Decreasing Batt Cap - High LFP Chemistry - Refining
2048,Decreasing Batt Cap - High LFP Chemistry,Black Mass,23.519165166384475,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2048,Decreasing Batt Cap - High LFP Chemistry,Refining,17.8940967144701,Decreasing Batt Cap - High LFP Chemistry - Refining
2049,Decreasing Batt Cap - High LFP Chemistry,Black Mass,27.761291916505925,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2049,Decreasing Batt Cap - High LFP Chemistry,Refining,21.651729945038554,Decreasing Batt Cap - High LFP Chemistry - Refining
2050,Decreasing Batt Cap - High LFP Chemistry,Black Mass,32.33640918089113,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2050,Decreasing Batt Cap - High LFP Chemistry,Refining,25.742353689870757,Decreasing Batt Cap - High LFP Chemistry - Refining
2025,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2025,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2026,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
