Year,Mineral,Total_Minerals_Exported,Scenario
2038,Graphite,78528.13674772935,Decreasing Batt Cap - Benchmark Chemistry
2038,Lithium,7446.833066981373,Decreasing Batt Cap - Benchmark Chemistry
2038,Manganese,3483.058826613486,Decreasing Batt Cap - Benchmark Chemistry
2038,Nickel,38209.35175720313,Decreasing Batt Cap - Benchmark Chemistry
2038,Cobalt,7138.6154580280745,Decreasing Batt Cap - High LFP Chemistry
2038,Copper,38876.57621782797,Decreasing Batt Cap - High LFP Chemistry
2038,Graphite,79145.27687429861,Decreasing Batt Cap - High LFP Chemistry
2038,Lithium,7468.771736928188,Decreasing Batt Cap - High LFP Chemistry
2038,Manganese,3351.5565625074332,Decreasing Batt Cap - High LFP Chemistry
2038,Nickel,37038.97873307472,Decreasing Batt Cap - High LFP Chemistry
2038,Cobalt,10852.590299181717,Increasing Batt Cap - Benchmark Chemistry
2038,Copper,60929.27684460088,Increasing Batt Cap - Benchmark Chemistry
2038,Graphite,123612.82668950914,Increasing Batt Cap - Benchmark Chemistry
2038,Lithium,11627.525543904641,Increasing Batt Cap - Benchmark Chemistry
2038,Manganese,5284.688236337585,Increasing Batt Cap - Benchmark Chemistry
2038,Nickel,56741.95148295341,Increasing Batt Cap - Benchmark Chemistry
2038,Cobalt,10399.533911132181,Increasing Batt Cap - High LFP Chemistry
2038,Copper,61854.09924348785,Increasing Batt Cap - High LFP Chemistry
2038,Graphite,124306.14518300489,Increasing Batt Cap - High LFP Chemistry
2038,Lithium,11625.656014114602,Increasing Batt Cap - High LFP Chemistry
2038,Manganese,5021.033826557808,Increasing Batt Cap - High LFP Chemistry
2038,Nickel,54346.5258682008,Increasing Batt Cap - High LFP Chemistry
2039,Cobalt,10919.25832919555,Decreasing Batt Cap - Benchmark Chemistry
2039,Copper,57425.56601763848,Decreasing Batt Cap - Benchmark Chemistry
2039,Graphite,117619.04984354264,Decreasing Batt Cap - Benchmark Chemistry
2039,Lithium,11138.653335673207,Decreasing Batt Cap - Benchmark Chemistry
2039,Manganese,5342.523277444779,Decreasing Batt Cap - Benchmark Chemistry
