Year,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid
2025,0.0898160042360535,0.08737024196562547
2026,0.10167571388628623,0.0968376487387482
2027,0.1795810187035586,0.1795810187035586
2028,0.19608264580158852,0.17262471767871862
2029,0.2829989659411876,0.2829989659411876
2030,0.2786078358843512,0.2648502282348922
2031,0.2960383633084195,0.24982073342190997
2032,0.3032138769900049,0.23538259824744984
2033,0.31645316131580437,0.23701905104782392
2034,0.3212294503036241,0.2444911683168743
2035,0.33402334529434363,0.25778774841627566
2036,0.3390594404376557,0.26451636166337844
2037,0.3435348990325998,0.2704360626208297
2038,0.3476578313384536,0.2759126232466948
2039,0.3515401876389352,0.2811193536065519
2040,0.3552707939981423,0.28623271315958504
2041,0.35694754496461434,0.2892695105885196
2042,0.3593661187199704,0.2936146513869478
2043,0.3616622259748604,0.29773538524751414
2044,0.36380733337701077,0.301570585580929
2045,0.36568486260641264,0.30491147090468346
2046,0.3673556317734434,0.3078717868094593
2047,0.3687971566399763,0.31041919878231156
2048,0.37009364984058896,0.3127174819953907
2049,0.37112984725870846,0.3145461313536648
2050,0.3720002221214068,0.31609406565715753
