Year,Metric,Tonnes
2035,Cell Manufacturing,5.438837539797281
2035,Decreasing Batt Cap Cell Manufacturing,3.1728280493733076
2035,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.5170375706142579
2035,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.447299167236678
2035,Black Mass,0.91838736185
2035,Refining,1.402880881403
2036,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),9.31497976394646
2036,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),5.3899967332666865
2036,Pack Manufacturing,9.041882628318168
2036,Decreasing Batt Cap Pack Manufacturing,5.454705572342804
2036,Cell Manufacturing,5.708143647684454
2036,Decreasing Batt Cap Cell Manufacturing,3.2939550802510964
2036,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.6980156822089248
2036,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.595929180730752
2036,Black Mass,0.91838736185
2036,Refining,1.402880881403
2037,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),9.756860481601358
2037,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),5.585127539019714
2037,Pack Manufacturing,9.458067353381958
2037,Decreasing Batt Cap Pack Manufacturing,5.454705572342804
2037,Cell Manufacturing,5.97088120935064
2037,Decreasing Batt Cap Cell Manufacturing,3.408433482748467
2037,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),0.9190336191669054
2037,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),0.7737481880294069
2037,Black Mass,0.91838736185
2037,Refining,1.402880881403
2038,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),10.202672101518669
2038,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),5.778685346890076
2038,Pack Manufacturing,9.876875893229242
2038,Decreasing Batt Cap Pack Manufacturing,5.578428071309288
2038,Cell Manufacturing,6.2352751862021085
2038,Decreasing Batt Cap Cell Manufacturing,3.5216635813853294
2038,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),1.257519896459086
2038,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),1.051899863543003
2038,Black Mass,0.91838736185
2038,Refining,1.402880881403
2039,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),10.665166516359037
2039,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),5.977635594978929
2039,Pack Manufacturing,10.306628928153938
2039,Decreasing Batt Cap Pack Manufacturing,5.7603621425270015
2039,Cell Manufacturing,6.506578426602037
2039,Decreasing Batt Cap Cell Manufacturing,3.6365186238149074
2039,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),1.595256062469529
2039,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),1.3073973779684156
2039,Black Mass,0.91838736185
2039,Refining,1.402880881403
2040,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),11.140928687098736
2040,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),6.181511539837332
2040,Pack Manufacturing,10.756355490092002
2040,Decreasing Batt Cap Pack Manufacturing,5.950965649963805
2040,Cell Manufacturing,6.790490961551547
2040,Decreasing Batt Cap Cell Manufacturing,3.7568466843445023
2040,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),1.9786733434193273
2040,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),1.581382739103087
2040,Black Mass,0.91838736185
2040,Refining,1.402880881403
2041,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),11.360568077769061
2041,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),6.303469208793882
2041,Pack Manufacturing,10.971528691157918
2041,Decreasing Batt Cap Pack Manufacturing,6.070253838645099
2041,Cell Manufacturing,6.926329878213619
2041,Decreasing Batt Cap Cell Manufacturing,3.832153359342957
2041,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),2.4086147937408913
2041,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),1.8694455741254095
2041,Black Mass,0.91838736185
2041,Refining,1.402880881403
2042,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),11.690360457034211
2042,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),6.484972953167466
2042,Pack Manufacturing,11.297512967719637
2042,Decreasing Batt Cap Pack Manufacturing,6.2494972125499375
2042,Cell Manufacturing,7.132123865372119
2042,Decreasing Batt Cap Cell Manufacturing,3.945309763623195
2042,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),2.88463224356534
2042,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),2.168420760785403
2042,Black Mass,0.91838736185
2042,Refining,1.402880881403
2043,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),12.022409535104181
2043,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),6.667471755398739
2043,Pack Manufacturing,11.625435745993013
2043,Decreasing Batt Cap Pack Manufacturing,6.429544753394109
2043,Cell Manufacturing,7.339141629335326
