Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.011927020482482554
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.011927020482482554
2030,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.01566331970021094
2030,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.01566331970021094
2031,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.020709542067903267
2031,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.020709542067903267
2032,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.02751140779135163
2032,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.02751140779135163
2033,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.03422197978934957
2033,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.03422197978934957
2034,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04272213909453322
2034,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.04272213909453322
2035,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.054130706424586957
2035,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.054130706424586957
2036,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06301222903221233
2036,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.07328222741483296
2037,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.061866200405362046
2037,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.09877908657835398
2038,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06092594511325745
2038,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.13007535685468125
2039,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.061460552848654
