Year,State_Province,Mineral,Available Recycled Minerals (w Scrap) (Tonne),Available Recycled Minerals No R Restraint (Tonne),Minerals Recoverable in Exported Scrap/Batts (Tonne),Minerals Recoverable in Exported BM (Tonne),Minerals Lost to Pyrometalurgy (Tonne),Scrap_min,Batt_min,Battery_Scenario,Chemistry_Scenario,Scenario
2025,AZ,Graphite,0,13.822502890862056,0,0,13.822502890862056,0,13.822502890862056,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AZ,Lithium,0,1.4435075082029143,0,0,1.4435075082029143,0.009382870257954116,1.43412463794496,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AZ,Manganese,0,0.9475425738852344,0,0,0.9475425738852344,0.013951081060657507,0.9335914928245769,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,AZ,Nickel,10.073004395776184,10.073004395776184,0,0,0,0.06182502283928011,10.011179372936905,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Cobalt,2.7520495662776767,2.7520495662776767,0,0,0,0.015054244624147034,2.7369953216535294,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Copper,7.630510487014211,8.054427736292778,0,0,0.423917249278567,0.03718942299889486,8.017238313293884,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Graphite,0,17.89359152583698,0,0,17.89359152583698,0,17.89359152583698,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Lithium,0,1.832633831258755,0,0,1.832633831258755,0.009382870257954116,1.8232509610008,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Manganese,0,0.9818101931078502,0,0,0.9818101931078502,0.013951081060657507,0.967859112047193,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,BC,Nickel,12.27578181157507,12.27578181157507,0,0,0,0.06182502283928011,12.213956788735793,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Cobalt,40.60828633616524,40.60828633616524,0,0,0,0.015054244624147034,40.59323209154109,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Copper,93.06318259135953,98.23335940199061,0,0,5.170176810631077,0.03718942299889486,98.19616997899172,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Graphite,0,223.05086184345305,0,0,223.05086184345305,0,223.05086184345305,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Lithium,0,23.383585601000437,0,0,23.383585601000437,0.009382870257954116,23.374202730742486,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Manganese,0,18.43763609003868,0,0,18.43763609003868,0.013951081060657507,18.42368500897802,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Nickel,158.53139472777917,158.53139472777917,0,0,0,0.06182502283928011,158.46956970493991,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Cobalt,2.413346848724067,2.413346848724067,0,0,0,0.015054244624147034,2.398292604099919,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Copper,5.880144464891598,6.206819157385575,0,0,0.3266746924939774,0.03718942299889486,6.169629734386679,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Graphite,0,14.06915722724387,0,0,14.06915722724387,0,14.06915722724387,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Lithium,0,1.4704247489231645,0,0,1.4704247489231645,0.009382870257954116,1.4610418786652104,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Manganese,0,0.9775327374291846,0,0,0.9775327374291846,0.013951081060657507,0.963581656368527,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Nickel,10.250233933826808,10.250233933826808,0,0,0,0.06182502283928011,10.188408910987528,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Cobalt,1.0567594548668175,1.0567594548668175,0,0,0,0.015054244624147034,1.0417052102426705,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Copper,2.4628522788152014,2.5996774054160454,0,0,0.136825126600844,0.03718942299889486,2.5624879824171516,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Graphite,0,5.812806724130676,0,0,5.812806724130676,0,5.812806724130676,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Lithium,0,0.6170668531525264,0,0,0.6170668531525264,0.009382870257954116,0.60768398289457215,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Manganese,0,0.500420631023268,0,0,0.500420631023268,0.013951081060657507,0.48646954996261044,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Nickel,4.1711929403916175,4.1711929403916175,0,0,0,0.06182502283928011,4.109367917552338,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Cobalt,0.43441502346705124,0.43441502346705124,0,0,0,0.015054244624147034,0.41936077884290424,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Copper,1.0578395013675645,1.1166083625546515,0,0,0.05876886118708691,0.03718942299889486,1.0794189395557565,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Graphite,0,2.459854145021657,0,0,2.459854145021657,0,2.459854145021657,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Lithium,0,0.2648379480190458,0,0,0.2648379480190458,0.009382870257954116,0.2554550777610917,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Manganese,0,0.1896866982207055,0,0,0.1896866982207055,0.013951081060657507,0.17573561716004799,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Nickel,1.8365284998284934,1.8365284998284934,0,0,0,0.06182502283928011,1.7747034769892134,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DE,Cobalt,0.3430728403590052,0.3430728403590052,0,0,0,0.015054244624147034,0.3280185957348582,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DE,Copper,0.8203683374150181,0.8659443561602969,0,0,0.045576018745278724,0.03718942299889486,0.8287549331614021,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DE,Graphite,0,1.8859395743425031,0,0,1.8859395743425031,0,1.8859395743425031,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
