Year,Scenario,Mineral,Recycling Scenario,Tonne
2026,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,1364.4691056265478
2026,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,137.16005517940658
2026,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,85.37100124370158
2026,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,813.719509814318
2026,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,813.719509814318
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,192.5666755287815
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,192.5666755287815
2026,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,603.9375532191913
2026,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,637.4896395091465
2026,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,1364.4647221192724
2026,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,137.16100778984335
2026,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2026,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,85.37600461824697
2026,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,813.7684149356737
2026,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,813.7684149356737
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,193.1823447083674
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,193.1823447083674
2026,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,611.8225197758597
2026,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,645.8126597634075
2026,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,1379.4836958044416
2026,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
