Year,State_Province,Scenario,Tonnes_Scrap
2025,KY,Decreasing Batt Cap - High LFP Chemistry,0
2025,KY,Increasing Batt Cap - Benchmark Chemistry,0
2025,KY,Increasing Batt Cap - High LFP Chemistry,0
2025,MA,Decreasing Batt Cap - Benchmark Chemistry,0
2025,MA,Decreasing Batt Cap - High LFP Chemistry,0
2025,MA,Increasing Batt Cap - Benchmark Chemistry,0
2025,MA,Increasing Batt Cap - High LFP Chemistry,0
2025,MD,Decreasing Batt Cap - Benchmark Chemistry,79.05097924613692
2025,MD,Decreasing Batt Cap - High LFP Chemistry,79.05097924613692
2025,MD,Increasing Batt Cap - Benchmark Chemistry,81.26385972043683
2025,MD,Increasing Batt Cap - High LFP Chemistry,81.26385972043683
2025,MI,Decreasing Batt Cap - Benchmark Chemistry,7324.073227154584
2025,MI,Decreasing Batt Cap - High LFP Chemistry,7324.073227154584
2025,MI,Increasing Batt Cap - Benchmark Chemistry,7529.096603098471
2025,MI,Increasing Batt Cap - High LFP Chemistry,7529.096603098471
2025,MO,Decreasing Batt Cap - Benchmark Chemistry,79.05097924613692
2025,MO,Decreasing Batt Cap - High LFP Chemistry,79.05097924613692
2025,MO,Increasing Batt Cap - Benchmark Chemistry,81.26385972043683
2025,MO,Increasing Batt Cap - High LFP Chemistry,81.26385972043683
2025,MS,Decreasing Batt Cap - Benchmark Chemistry,0
2025,MS,Decreasing Batt Cap - High LFP Chemistry,0
2025,MS,Increasing Batt Cap - Benchmark Chemistry,0
2025,MS,Increasing Batt Cap - High LFP Chemistry,0
2025,MX,Decreasing Batt Cap - Benchmark Chemistry,0
2025,MX,Decreasing Batt Cap - High LFP Chemistry,0
2025,MX,Increasing Batt Cap - Benchmark Chemistry,0
2025,MX,Increasing Batt Cap - High LFP Chemistry,0
2025,NC,Decreasing Batt Cap - Benchmark Chemistry,11857.646886920535
2025,NC,Decreasing Batt Cap - High LFP Chemistry,11857.646886920535
2025,NC,Increasing Batt Cap - Benchmark Chemistry,12189.578958065522
2025,NC,Increasing Batt Cap - High LFP Chemistry,12189.578958065522
2025,NH,Decreasing Batt Cap - Benchmark Chemistry,0
2025,NH,Decreasing Batt Cap - High LFP Chemistry,0
2025,NH,Increasing Batt Cap - Benchmark Chemistry,0
2025,NH,Increasing Batt Cap - High LFP Chemistry,0
2025,NV,Decreasing Batt Cap - Benchmark Chemistry,138.33921368073956
2025,NV,Decreasing Batt Cap - High LFP Chemistry,138.33921368073956
2025,NV,Increasing Batt Cap - Benchmark Chemistry,142.2117545107644
2025,NV,Increasing Batt Cap - High LFP Chemistry,142.2117545107644
2025,NY,Decreasing Batt Cap - Benchmark Chemistry,217.3901929268765
2025,NY,Decreasing Batt Cap - High LFP Chemistry,217.3901929268765
2025,NY,Increasing Batt Cap - Benchmark Chemistry,223.47561423120126
2025,NY,Increasing Batt Cap - High LFP Chemistry,223.47561423120126
2025,OH,Decreasing Batt Cap - Benchmark Chemistry,16600.70564168875
2025,OH,Decreasing Batt Cap - High LFP Chemistry,16600.70564168875
2025,OH,Increasing Batt Cap - Benchmark Chemistry,17065.41054129173
2025,OH,Increasing Batt Cap - High LFP Chemistry,17065.41054129173
2025,ON,Decreasing Batt Cap - Benchmark Chemistry,395.2548962306845
2025,ON,Decreasing Batt Cap - High LFP Chemistry,395.2548962306845
2025,ON,Increasing Batt Cap - Benchmark Chemistry,406.319298602184
2025,ON,Increasing Batt Cap - High LFP Chemistry,406.319298602184
2025,PA,Decreasing Batt Cap - Benchmark Chemistry,27.667842736147914
2025,PA,Decreasing Batt Cap - High LFP Chemistry,27.667842736147914
2025,PA,Increasing Batt Cap - Benchmark Chemistry,28.44235090215288
2025,PA,Increasing Batt Cap - High LFP Chemistry,28.44235090215288
2025,QC,Decreasing Batt Cap - Benchmark Chemistry,79.05097924613692
2025,QC,Decreasing Batt Cap - High LFP Chemistry,79.05097924613692
2025,QC,Increasing Batt Cap - Benchmark Chemistry,81.26385972043683
2025,QC,Increasing Batt Cap - High LFP Chemistry,81.26385972043683
2025,SC,Decreasing Batt Cap - Benchmark Chemistry,0
2025,SC,Decreasing Batt Cap - High LFP Chemistry,0
2025,SC,Increasing Batt Cap - Benchmark Chemistry,0
2025,SC,Increasing Batt Cap - High LFP Chemistry,0
2025,TN,Decreasing Batt Cap - Benchmark Chemistry,20948.509500226282
2025,TN,Decreasing Batt Cap - High LFP Chemistry,20948.509500226282
2025,TN,Increasing Batt Cap - Benchmark Chemistry,21534.922825915757
2025,TN,Increasing Batt Cap - High LFP Chemistry,21534.922825915757
2025,TX,Decreasing Batt Cap - Benchmark Chemistry,3952.5489623068447
2025,TX,Decreasing Batt Cap - High LFP Chemistry,3952.5489623068447
2025,TX,Increasing Batt Cap - Benchmark Chemistry,4063.1929860218406
2025,TX,Increasing Batt Cap - High LFP Chemistry,4063.1929860218406
2025,VA,Decreasing Batt Cap - Benchmark Chemistry,0
2025,VA,Decreasing Batt Cap - High LFP Chemistry,0
2025,VA,Increasing Batt Cap - Benchmark Chemistry,0
2025,VA,Increasing Batt Cap - High LFP Chemistry,0
2025,WV,Decreasing Batt Cap - Benchmark Chemistry,0
2025,WV,Decreasing Batt Cap - High LFP Chemistry,0
2025,WV,Increasing Batt Cap - Benchmark Chemistry,0
2025,WV,Increasing Batt Cap - High LFP Chemistry,0
2026,AL,Decreasing Batt Cap - Benchmark Chemistry,0
2026,AL,Decreasing Batt Cap - High LFP Chemistry,0
2026,AL,Increasing Batt Cap - Benchmark Chemistry,0
2026,AL,Increasing Batt Cap - High LFP Chemistry,0
2026,AZ,Decreasing Batt Cap - Benchmark Chemistry,0
2026,AZ,Decreasing Batt Cap - High LFP Chemistry,0
2026,AZ,Increasing Batt Cap - Benchmark Chemistry,0
2026,AZ,Increasing Batt Cap - High LFP Chemistry,0
2026,CA,Decreasing Batt Cap - Benchmark Chemistry,1836.7025179935265
2026,CA,Decreasing Batt Cap - High LFP Chemistry,1836.7025179935265
2026,CA,Increasing Batt Cap - Benchmark Chemistry,1928.4652420418251
2026,CA,Increasing Batt Cap - High LFP Chemistry,1928.4652420418251
2026,CO,Decreasing Batt Cap - Benchmark Chemistry,283.7336536550246
2026,CO,Decreasing Batt Cap - High LFP Chemistry,283.7336536550246
2026,CO,Increasing Batt Cap - Benchmark Chemistry,297.9091517057402
2026,CO,Increasing Batt Cap - High LFP Chemistry,297.9091517057402
2026,FL,Decreasing Batt Cap - Benchmark Chemistry,567.4673073100493
2026,FL,Decreasing Batt Cap - High LFP Chemistry,567.4673073100493
2026,FL,Increasing Batt Cap - Benchmark Chemistry,595.8183034114804
2026,FL,Increasing Batt Cap - High LFP Chemistry,595.8183034114804
2026,GA,Decreasing Batt Cap - Benchmark Chemistry,3707.453074425656
2026,GA,Decreasing Batt Cap - High LFP Chemistry,3707.453074425656
2026,GA,Increasing Batt Cap - Benchmark Chemistry,3892.679582288339
2026,GA,Increasing Batt Cap - High LFP Chemistry,3892.679582288339
2026,IL,Decreasing Batt Cap - Benchmark Chemistry,17700.850938696683
2026,IL,Decreasing Batt Cap - High LFP Chemistry,17700.850938696683
2026,IL,Increasing Batt Cap - Benchmark Chemistry,18585.19572735745
2026,IL,Increasing Batt Cap - High LFP Chemistry,18585.19572735745
2026,IN,Decreasing Batt Cap - Benchmark Chemistry,13687.010132601461
2026,IN,Decreasing Batt Cap - High LFP Chemistry,13687.010132601461
2026,IN,Increasing Batt Cap - Benchmark Chemistry,14370.821104459998
