Year,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
2025,0,31,61,85,90,97,238,366,183,285,450,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,36,50,97,132,140,150,369,562,280,423,650,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,55,78,148,208,218,236,567,854,416,613,897,2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,85,123,234,324,338,359,859,1270,600,847,2646,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,131,191,363,503,519,545,1278,1834,829,2491,3065,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,213,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,200,294,562,772,784,810,1844,2533,2444,2887,3177,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,333,264,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,300,448,860,1170,1163,1167,2546,7465,2828,2989,2888,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,519,413,313,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,451,678,1296,1735,1670,1608,7498,8635,2925,2718,2285,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,808,645,488,345,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,668,1012,1915,2497,2299,4730,8665,8928,2656,2149,1573,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599,1253,1001,755,541,361,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,980,1483,2749,3437,6761,5458,8954,8109,2099,1480,954,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2441,1929,1547,1171,844,569,396,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,1419,2114,3781,10106,7798,5635,8129,6407,1444,896,519,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3675,2942,2373,1799,1314,888,618,422,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,2005,2891,11103,11662,8052,5112,6422,4406,874,487,258,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5423,4425,3613,2750,2037,1387,964,661,444,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,2727,8482,12799,12044,7309,4039,4419,2668,474,243,121,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7774,6529,5425,4171,3138,2153,1503,1030,697,482,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,7980,9742,13206,10932,5775,2780,2677,1449,236,113,53,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10700,9369,8005,6255,4789,3321,2325,1601,1086,754,519,382,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,9131,10030,11982,8638,3976,1685,1455,721,110,51,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31448,12898,11486,9218,7213,5076,3573,2479,1695,1176,808,595,389,0,0,0,0,0,0,0,0,0,0,0,0
2040,9380,9089,9467,5948,2412,917,725,336,49,21,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36284,37930,15807,13212,10659,7655,5443,3811,2632,1829,1251,917,603,414,0,0,0,0,0,0,0,0,0,0,0
2041,8488,7176,6520,3607,1312,457,338,149,21,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37475,43758,46491,18172,15302,11317,8184,5802,4054,2831,1934,1403,931,643,437,0,0,0,0,0,0,0,0,0,0
2042,6697,4940,3958,1962,654,213,149,64,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34021,45181,53623,53450,21065,16255,12076,8718,6182,4347,2964,2137,1423,989,675,455,0,0,0,0,0,0,0,0,0
2043,4608,2998,2156,979,306,95,64,27,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26882,40998,55351,61616,61973,22379,17317,12853,9291,6601,4501,3214,2166,1507,1039,702,468,0,0,0,0,0,0,0,0
2044,2794,1632,1078,457,135,41,27,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18504,32374,50212,63570,71472,65826,23811,18411,13686,9886,6762,4783,3261,2287,1584,1078,722,484,0,0,0,0,0,0,0
