sale_year,year,all_active_ev,battery_replaced,ev_retired,all_fail,recycle_from_both_fail,recycle_from_battery_only,reuse_from_ev_fail,repurpose_from_ev_fail,recycle_from_ev_fail
2014,2014,119427.26682288341,17.226827842406628,2.5059877971000093,3.6147708562934186e-4,3.6147708562934186e-4,17.226827842406628,1.2529938985500046,0.6264969492750023,0.6264969492750023
2014,2015,119396.57544490995,41.139988724591646,6.775882353269662,0.0023347380155077746,0.0023347380155077746,41.139988724591646,3.387941176634831,1.6939705883174154,1.6939705883174154
2014,2016,119328.17268653371,92.31689684370964,17.212533974075704,0.013316283049752216,0.013316283049752216,92.31689684370964,8.606266987037852,4.303133493518926,4.303133493518926
2014,2017,119184.72184139444,194.63023764883891,41.07043576572601,0.06706856843666653,0.06706856843666653,194.63023764883891,20.535217882863005,10.267608941431503,10.267608941431503
2014,2018,118922.03701829824,385.505559237482,92.02047748676596,0.29829955083408044,0.29829955083408044,385.505559237482,46.01023874338298,23.00511937169149,23.00511937169149
2014,2019,118441.5681049995,717.0981315503967,193.5150894673133,1.171623070147777,1.171623070147777,717.0981315503967,96.75754473365664,48.37877236682832,48.37877236682832
2014,2020,117616.54149363952,1252.0714854788241,381.7499694575191,4.063804917050474,4.063804917050474,1252.0714854788241,190.87498472875956,95.43749236437978,95.43749236437978
2014,2021,116286.57131783573,2050.3684458754615,706.0331795950423,12.447974715504666,12.447974715504666,2050.3684458754615,353.01658979752114,176.50829489876057,176.50829489876057
2014,2022,114272.80890868693,3145.4987791568233,1223.6590142688096,33.67459610035887,33.67459610035887,3145.4987791568233,611.8295071344048,305.9147535672024,305.9147535672024
2014,2023,111415.0612311752,4514.013519702183,1987.2283899507133,80.45820769866346,80.45820769866346,4514.013519702183,993.6141949753567,496.80709748767833,496.80709748767833
2014,2024,107651.49688149622,6049.519339536481,3025.56120202222,169.80288800010106,169.80288800010106,6049.519339536481,1512.78060101111,756.390300505555,756.390300505555
2014,2025,102986.96832163908,7558.583819551665,4323.873640882549,316.5897656779314,316.5897656779314,7558.583819551665,2161.9368204412744,1080.9684102206372,1080.9684102206372
2014,2026,97556.01435306363,8793.694551620385,5811.447169306608,521.6089766314701,521.6089766314701,8793.694551620385,2905.723584653304,1452.861792326652,1452.861792326652
2014,2027,91579.59168762347,9521.999425364133,7362.642996657036,759.7955616163968,759.7955616163968,9521.999425364133,3681.321498328518,1840.660749164259,1840.660749164259
2014,2028,85354.07477059137,9605.24755621913,8810.217383386555,979.1769458176984,979.1769458176984,9605.24755621913,4405.108691693277,2202.5543458466386,2202.5543458466386
2014,2029,79184.88620493532,9053.596831321905,9971.52242346207,1118.3665054717253,1118.3665054717253,9053.596831321905,4985.761211731035,2492.8806058655173,2492.8806058655173
2014,2030,19378.94116435246,2282.6577811335546,64654.411329125825,6873.735471148114,6873.735471148114,2282.6577811335546,32327.205664562913,16163.602832281456,16163.602832281456
2014,2031,48756.70432506137,5166.388292785379,33.816536207046816,3.801428411657409,3.801428411657409,5166.388292785379,16.908268103523408,8.454134051761704,8.454134051761704
2014,2032,49357.06337318425,4463.957970446638,59.01617608684909,5.354037160800987,5.354037160800987,4463.957970446638,29.508088043424546,14.754044021712273,14.754044021712273
2014,2033,49940.48048403703,3747.0558329351425,101.41624795574877,7.4476712971121675,7.4476712971121675,3747.0558329351425,50.708123977874386,25.354061988937193,25.354061988937193
2014,2034,50348.11114895473,3124.3189906560706,166.90090885176886,9.665275541586809,9.665275541586809,3124.3189906560706,83.45045442588443,41.725227212942215,41.725227212942215
2014,2035,50464.818521734844,2675.825469273072,264.25121720778816,12.543398059045343,12.543398059045343,2675.825469273072,132.12560860389408,66.06280430194704,66.06280430194704
2014,2036,50338.70439974724,2436.9562669140887,407.29756937031243,17.84191329639578,17.84191329639578,2436.9562669140887,203.64878468515622,101.82439234257811,101.82439234257811
2014,2037,49828.919970238574,2381.0195882765493,637.7342000305812,27.17336039330535,27.17336039330535,2381.0195882765493,318.8671000152906,159.4335500076453,159.4335500076453
2014,2038,48939.230085932664,2466.2449048416743,991.678137822666,44.50098308280129,44.50098308280129,2466.2449048416743,495.839068911333,247.9195344556665,247.9195344556665
2014,2039,47658.36828185627,2638.3396682579782,1454.0126669441154,73.91319772909443,73.91319772909443,2638.3396682579782,727.0063334720577,363.50316673602885,363.50316673602885
2014,2040,46006.785602731296,2818.4475196612257,2000.7917750754489,116.27713922781378,116.27713922781378,2818.4475196612257,1000.3958875377244,500.1979437688622,500.1979437688622
2014,2041,43952.93207370284,2961.802448459205,2656.847733794377,172.85474474116543,172.85474474116543,2961.802448459205,1328.4238668971884,664.2119334485942,664.2119334485942
2014,2042,41501.21242880676,3025.3694867477575,3387.524033988601,241.34705793174177,241.34705793174177,3025.3694867477575,1693.7620169943004,846.8810084971502,846.8810084971502
2014,2043,38725.4975748962,2985.3401295677154,4124.817024914189,313.047122977263,313.047122977263,2985.3401295677154,2062.4085124570943,1031.2042562285471,1031.2042562285471
2014,2044,35667.28267287896,2839.705280038441,4784.837872755384,372.21795545996497,372.21795545996497,2839.705280038441,2392.418936377692,1196.209468188846,1196.209468188846
2014,2045,32511.592420571178,2623.057524649959,5282.922562395365,414.9569267003727,414.9569267003727,2623.057524649959,2641.4612811976826,1320.7306405988413,1320.7306405988413
2014,2046,29371.773099053637,2355.690824562903,5513.97268489492,428.46671436258316,428.46671436258316,2355.690824562903,2756.98634244746,1378.49317122373,1378.49317122373
