Sale Year,Global Segment,Cathode Mix,Total Mwh,BEV,PHEV,FCEV
2017,SUV,70 % NMC 111 + 30 % NMC 622,49.2108,0,0.20531019233176187,0
2017,SUV,NMC (unspecified),7.492900000000001,0,0.03126079519379198,0
2017,SUV,NMC 111,82.5207,0,0.3442809462222037,0
2017,SUV,NMC 111 + LMO,1.188,0,0.004956402019274896,0
2017,SUV,NMC 622,99.27759999999999,0,0.41419166423296755,0
2018,Car,LMO+NMC+NCA,62.832,0.004663697819814793,0,0
2018,Car,NCA,12701.31,0.9427532428665619,0,0
2018,Car,NMC (unspecified),38.397,0.0028500128149259707,0,0
2018,Car,NMC 111,46.6832,0.003465055036637031,0,0
2018,Car,NMC 111 + LMO,1.8,1.336047885737622e-4,0,0
2018,Car,NMC 622,621.5487999999999,0.04613438667348644,0,0
2018,Car,NiMH (unspecified),2.72,0,0,0.23743016759776542
2018,Car,tba (unspecified),8.735999999999997,0,0,0.7625698324022345
2018,Car,NMC (unspecified),30.8678,0,0.02647097388482753,0
2018,Car,NMC 111,752.308,0,0.6451488418788132,0
2018,Car,NMC 442,4.3414,0,0.0037230086375961437,0
2018,Car,NMC 532,336.83040000000005,0,0.28885209577669974,0
2018,Car,NMC 622,41.752300000000005,0,0.035805079822063275,0
2018,SUV,NCA,2218.5,0.6150099008693304,0,0
2018,SUV,NCA (unspecified),3.78,0.001047887052191151,0,0
2018,SUV,NMC (unspecified),201.861,0.05595966355617936,0,0
2018,SUV,NMC 111,30.570000000000004,0.00847457862049828,0,0
2018,SUV,NMC 622,1152.548,0.3195079699018008,0,0
2018,SUV,LMP (unspecified),0.0342,0,0,0.7326478149100257
2018,SUV,tba (unspecified),0.01248,0,0,0.26735218508997427
2018,SUV,70 % NMC 111 + 30 % NMC 622,33.7732,0,0.10893027510271118,0
2018,SUV,NMC (unspecified),14.581399999999999,0,0.04703006861602313,0
2018,SUV,NMC 111,26.0666,0,0.08407381915223701,0
2018,SUV,NMC 111 + LMO,49.992,0,0.1612415262081987,0
2018,SUV,NMC 622,185.631,0,0.59872431092083,0
