"Province","Year","BEV","PHEV","Total_EV"
"Alberta",2014,76.6602371621966,79.530280773912,156.190517936109
"Alberta",2015,117.480329787775,84.7292567255634,202.209586513339
"Alberta",2016,133.710316046618,198.82570193478,332.536017981398
"Alberta",2017,249.41024988549,330.907793679439,580.31804356493
"Alberta",2018,517.405587964384,596.958421458608,1114.36400942299
"Alberta",2019,798.797104284876,489.045002765533,1287.84210705041
"Alberta",2020,868.023814141101,311.244383881643,1179.26819802274
"Alberta",2021,1543.18516821274,765.365255474453,2308.55042368719
"Alberta",2022,2931.36029259042,826.631013361633,3757.99130595205
"Alberta",2023,4616.96265081564,1576.7213877855,6193.68403860114
"Alberta",2024,6021.3998908982,2652.86206163548,8674.26195253368
"British Columbia",2014,841.750572548221,301.01783690771,1142.76840945593
"British Columbia",2015,1289.96646139753,320.695681369874,1610.6621427674
"British Columbia",2016,1468.17619217263,752.544592269274,2220.7207844419
"British Columbia",2017,2738.59341442313,1252.46820833508,3991.06162275821
"British Columbia",2018,5646.8575376113,2817.13115529125,8463.98869290255
"British Columbia",2019,9555.32995198892,2877.02810787255,12432.3580598615
"British Columbia",2020,10772.0000387852,2024.18552981636,12796.1855686016
"British Columbia",2021,18486.6970599595,4948.67862356621,23435.3756835258
"British Columbia",2022,30632.40349483,4963.7058268085,35596.1093216385
"British Columbia",2023,42663.8635564723,8381.61256620324,51045.4761226756
"British Columbia",2024,51296.8850452608,11863.3039917806,63160.1890370414
"Manitoba",2014,17.6908239605069,20.143870399127,37.8346943596339
"Manitoba",2015,27.1108453356405,21.4606958492467,48.5715411848871
"Manitoba",2016,30.8562267799888,50.3596759978176,81.2159027778064
"Manitoba",2017,57.5562115120362,83.8141604062618,141.370371918298
"Manitoba",2018,102.886398526251,150.574485555749,253.460884082
"Manitoba",2019,147.275168189275,126.616613311433,273.891781500708
"Manitoba",2020,170.432358530815,81.9641554733632,252.396514004178
"Manitoba",2021,334.856572375011,206.147486965589,541.0040593406
"Manitoba",2022,661.848277419063,232.136106491965,893.984383911029
"Manitoba",2023,1076.24257135708,452.947975284122,1529.1905466412
"Manitoba",2024,1473.75298696931,773.501799262075,2247.25478623138
"New Brunswick",2014,5.89694132016897,17.4833592143367,23.3803005345056
"New Brunswick",2015,9.0369484452135,18.6262643219877,27.6632127672012
"New Brunswick",2016,10.2854089266629,43.7083980358417,53.9938069625046
"New Brunswick",2017,19.1854038373454,72.7443656356235,91.9297694729689
"New Brunswick",2018,35.088424930918,113.197840205031,148.286265135949
"New Brunswick",2019,59.0076004996764,83.0629871109398,142.070587610616
"New Brunswick",2020,79.9850870728775,54.0681331516449,134.053220224522
"New Brunswick",2021,178.769582266797,132.686089676747,311.455671943543
"New Brunswick",2022,415.268623289836,159.185266271695,574.453889561531
"New Brunswick",2023,769.930739233121,361.350511695906,1131.28125092903
"New Brunswick",2024,1117.0065912251,735.347001989058,1852.35359321416
"Newfoundland and Labrador",2014,4.68731233141636,7.88651529777144,12.5738276291878
"Newfoundland and Labrador",2015,7.18321543081073,8.40206488437487,15.5852803151856
"Newfoundland and Labrador",2016,8.17558145452695,19.7162882444286,27.8918696989555
"Newfoundland and Labrador",2017,15.249936383531,32.814034498678,48.0639708822089
"Newfoundland and Labrador",2018,21.4098863985263,43.7840702679838,65.19395666651
"Newfoundland and Labrador",2019,24.3833059916018,29.2431490203309,53.6264550119327
"Newfoundland and Labrador",2020,28.6866346041966,18.4928687301278,47.1795033343244
"Newfoundland and Labrador",2021,59.2054100410467,50.9674035453598,110.172813586406
"Newfoundland and Labrador",2022,163.347893619903,68.5955661772693,231.943459797173
"Newfoundland and Labrador",2023,341.70592399563,155.033894681673,496.739818677303
"Newfoundland and Labrador",2024,475.017681873926,277.804763615935,752.822445489861
"Northwest Territories",2014,0.75601811797038,0.285054769798968,1.04107288776935
"Northwest Territories",2015,1.15858313400173,0.303689092206321,1.46227222620805
"Northwest Territories",2016,1.31864217008499,0.712636924497419,2.03127909458241
"Northwest Territories",2017,2.45966715863403,1.18604943971125,3.64571659834528
"Northwest Territories",2018,0.594719066625729,2.13580830575531,2.73052737238104
"Northwest Territories",2019,1.46299835949611,2.79987597003168,4.26287432952779
"Northwest Territories",2020,2.0249389132374,1.72391149179158,3.74885040502898
