State,Year,add_BEV,add_PHEV,add_ICE,ret_BEV,ret_PHEV,ret_ICE,stock_BEV,stock_PHEV,stock_ICE,stock_Total,import_from_US,Scenario
Mexico,2022,5631,4575,1084522,4.405738168824081,1.4685793896080273,1510917.6003818912,10169.328847268294,6090.442949089432,25276054.221806284,25292313.99360264,78057,Repeal
Mexico,2023,14172,5778,1343764,9.081502589580083,3.0594618586366327,1506475.3732998678,24345.69559935684,11876.17692237192,25207042.848506413,25243264.72102814,93733,Repeal
Mexico,2024,24290,7994,1472038,18.899108621371397,8.61047975751455,1495928.2804339617,48640.22796034742,19877.348676832735,25285958.568072453,25354476.14470963,102865,Repeal
Mexico,2025,172447.90353333403,84122.54247966959,2076817.1139511215,41.17707692629371,18.318620441996533,1481587.2942808596,221064.49608481186,103995.39522902013,25959564.387742717,26284624.27905655,78449,Repeal
Mexico,2026,225923.3201040928,110208.61201093603,1991034.3806868521,83.84140434179793,35.18713214724987,1467428.0317118047,446943.28523361776,214206.66127731637,26561498.73671776,27222648.683228694,78490,Repeal
Mexico,2027,302631.04389120755,147627.7317600665,1871103.5537126844,269.9757407248644,123.21576397088629,1453611.7178025367,749284.259688712,361728.2096524694,27057274.57262791,28168287.04196909,78564,Repeal
Mexico,2028,365858.5069128357,178470.98838968694,1773037.5696696586,603.2722649308123,281.8889029710643,1441532.2195919212,1114381.6446691852,539883.7292568851,27467008.92270565,29121274.29663172,78675,Repeal
Mexico,2029,441779.65838102245,215506.4069632356,1659010.148628223,1183.1081937811,559.4476991660938,1432212.4222424482,1554540.7383267193,754678.3621506814,27771947.649091423,30081166.749568824,78804,Repeal
Mexico,2030,512040.9820685367,249780.88096655815,1556764.3371687755,2132.5816285830124,1015.6252438934102,1426014.3339968375,2063549.3426483981,1003062.6897369325,27980688.65226337,31047300.6846487,78968,Repeal
Mexico,2031,598983.704853315,292192.7789421511,1433378.1267126591,3660.7972118847383,1751.7388937339854,1423001.3306972643,2657142.9266470307,1292686.430132873,28068816.448278755,32018645.805058658,79068,Repeal
Mexico,2032,680831.2372046157,332119.17048420606,1321170.526323655,6068.863134298517,2913.4316890101,1422856.5258555352,3328795.75198525,1620336.9345926312,28044515.448746875,32993648.135324754,79091,Repeal
Mexico,2033,793274.8109329371,386970.74660498014,1166955.314446581,9821.23104046875,4725.122778394899,1425271.1853425368,4107004.4015640253,1999891.7458002944,27863077.577850923,33969973.72521524,79157,Repeal
Mexico,2034,855338.7132764233,417246.40177022124,1091148.1596791602,15570.70165779741,7501.9351899501125,1429713.1975821513,4938314.700483658,2405202.7109027375,27600723.53994793,34944240.95133433,79279,Repeal
Mexico,2035,908826.4237385317,443338.4684367158,1032106.9451112517,24244.928843207555,11691.053775222099,1436148.8382702693,5809724.456682874,2829876.7009413233,27272060.646788914,35911661.80441311,79557,Repeal
Mexico,2036,957927.6490312973,467290.745187335,984316.964065284,36984.70988778916,17842.71956027332,1444358.38686562,6710733.963532653,3268766.049561206,26886397.223988574,36865897.23708244,79898,Repeal
Mexico,2037,1004148.0303212572,489837.70521888795,946175.4341515631,55150.852190263555,26616.16372167645,1454047.1560542306,7630696.482417312,3716590.6629653894,26451734.502085917,37799021.64746862,80380,Repeal
Mexico,2038,1048021.8124227247,511239.9607578255,917264.6058328063,80098.59238519715,38676.630477708604,1464765.0129131535,8558201.792276286,4167670.058808818,25976106.09500556,38701977.94609067,81186,Repeal
Mexico,2039,1090167.4026282737,531799.179685713,896731.7230208191,112790.51182680349,54508.63239237461,1475836.7295692316,9481861.698091574,4616350.068509432,25467364.088457152,39565575.855058156,82297,Repeal
Mexico,2040,1130749.0899031716,551595.5044987855,883503.1818818838,153326.0181422583,74180.46316163722,1486336.2829886433,10391232.37066057,5057343.132884011,24933208.98735039,40381784.49089497,83700,Repeal
Mexico,2041,1170284.509571023,570881.4450774572,874923.0048047907,200710.524199655,97209.79993981181,1495127.2957530597,11278236.76205486,5486619.291094408,24379826.696402125,41144682.74955139,85406,Repeal
Mexico,2042,1208734.8930668612,589638.0895637905,868526.6014473545,253165.91599721005,122701.55895897822,1500960.0959821842,12137066.450743081,5901274.513380937,23812179.20186729,41850520.16599131,87351,Repeal
Mexico,2043,1244969.0896119983,607313.6465037784,863544.7405513172,308859.8480344577,149722.05830759648,1502620.5238911111,12962572.900838383,6298872.736426659,23235675.41852749,42497121.05579253,89390,Repeal
Mexico,2044,1277593.7695062747,623228.4298328861,860130.0563341343,366470.4852255474,177593.58451875442,1499107.9722089383,13749425.343991835,6676937.988709268,22656889.502652705,43083252.83535381,91443,Repeal
Mexico,2045,1307521.8856050645,637827.7909516501,855706.8124952582,425195.62334570015,205915.00705111073,1489781.6762741043,14494103.1529442,7033848.394864655,22080482.63887385,43608434.1866827,93485,Repeal
Mexico,2046,1344989.414730196,656104.9850830818,834420.1026095023,484395.9737469348,234373.89684020975,1474331.8205625094,15204160.356548104,7373387.54603182,21495598.920920834,44073146.82350076,95356,Repeal
Mexico,2047,1369258.3236393542,667943.7043647647,826478.3992035771,543237.0920969228,262572.0598312009,1452676.8556896858,15867678.200220965,7689811.885449755,20921707.464434735,44479197.55010545,97004,Repeal
Mexico,2048,1390165.399171748,678142.4734629318,817010.9783754338,600594.2065744665,289967.1954186708,1425285.905472369,16483985.80785169,7982865.810657933,20362982.537337802,44829834.15584743,98300,Repeal
Mexico,2049,1407610.0618666636,686652.2282846996,806039.6823079024,655209.4197144536,315955.39929732017,1392924.069424945,17053668.90822774,8252896.938553504,19822897.15022075,45129462.997002,99206,Repeal
Mexico,2050,1420500.0944245688,692940.1696814885,795614.4566599753,706095.362010689,340065.41461831727,1356757.589935861,17576993.169490572,8500098.3853848,19305855.016944867,45382946.571820244,99734,Repeal
