State,Segment,Propulsion,Year,LIB_recycling,LIB_available,LIB_reuse_EV,LIB_new_add,LIB_repurpose,EV_stock,LIB_recycling_vector,LIB_available_vector,LIB_reuse_vector,LIB_newadd_vector,LIB_repurpose_vector,EV_stock_vector
Mexico,Car,PHEV,2043,53528,37188,18592,57185,47185,3726029.365979154,0|226|335|493|714|1022|1449|2043|2815|3759|4520|5339|5762|5770|4989|3797|2275|8105|74|30|11|0|0|0|0|0|0|0|0|0|0,0|152|226|331|479|687|975|1377|1900|2543|3069|3644|3961|4005|3502|2700|1639|5912|54|22|9|1|0|0|0|0|0|0|0|0|0,0|76|114|165|239|343|487|689|950|1271|1535|1822|1981|2003|1750|1350|819|2956|26|10|5|1|0|0|0|0|0|0|0|0|0,0|300|444|653|944|1348|1904|2669|3643|4795|5640|6448|6635|6214|4913|3344|1760|5466|44|16|5|0|0|0|0|0|0|0|0|0|0,0|226|335|492|711|1017|1439|2023|2772|3669|4354|5046|5298|5110|4207|3022|1699|5689|49|19|7|1|0|0|0|0|0|0|0|0|0,408240|393065|375195|354302|330360|304298|277533|252561|226076|199393|171177|133222|102826|73546|49795|29891|16364|7350|20608|154|53|19|2|0|0|0|0|0|0|0|0
Mexico,SUV,PHEV,2043,65416,45452,22730,69887,57671,4554035.891752298,0|276|410|602|870|1248|1771|2498|3440|4594|5524|6525|7042|7054|6096|4640|2780|9906|89|36|14|1|0|0|0|0|0|0|0|0|0,0|186|276|405|586|840|1192|1683|2322|3108|3751|4453|4841|4895|4280|3301|2003|7225|66|27|11|1|0|0|0|0|0|0|0|0|0,0|94|138|203|294|420|596|841|1162|1554|1875|2227|2421|2447|2140|1651|1001|3613|34|13|5|1|0|0|0|0|0|0|0|0|0,0|366|544|797|1151|1646|2327|3264|4452|5860|6894|7881|8109|7596|6004|4086|2151|6681|52|19|7|0|0|0|0|0|0|0|0|0|0,0|276|410|601|869|1243|1759|2474|3387|4484|5323|6167|6475|6245|5142|3694|2077|6953|59|23|9|1|0|0|0|0|0|0|0|0|0,498959|480412|458572|433035|403774|371920|339207|308686|276315|243703|209217|162827|125676|89890|60860|36534|20000|8984|25187|188|65|23|2|0|0|0|0|0|0|0|0
Mexico,Car,BEV,2044,122921,85329,42665,132120,108726,8256357.397672546,0|485|727|1079|1578|2276|3242|4623|6387|8603|11115|12754|14107|13953|12518|9515|6296|3274|10226|120|35|7|1|0|0|0|0|0|0|0|0,0|326|489|725|1061|1531|2182|3115|4310|5820|7547|8705|9698|9683|8789|6768|4537|2388|7534|89|26|5|1|0|0|0|0|0|0|0|0,0|162|245|363|531|765|1090|1557|2154|2910|3773|4353|4850|4841|4395|3384|2269|1194|3766|45|14|3|1|0|0|0|0|0|0|0|0,0|644|964|1429|2087|3003|4260|6040|8265|10973|13871|15403|16244|15027|12330|8380|4872|2208|6039|62|16|3|0|0|0|0|0|0|0|0|0,0|485|727|1077|1574|2267|3221|4578|6287|8396|10709|12054|12971|12355|10560|7574|4705|2298|6787|75|21|4|1|0|0|0|0|0|0|0|0,865218|836945|804702|767501|723846|673600|618544|570337|511400|452287|391789|327613|245644|180064|120392|75026|41009|20355|8324|21474|218|58|10|2|0|0|0|0|0|0|0
Mexico,SUV,BEV,2044,150241,104291,52143,161482,132887,10091103.48604422,0|593|890|1319|1929|2782|3962|5651|7805|10514|13585|15589|17242|17053|15301|11630|7696|4002|12498|147|43|9|1|0|0|0|0|0|0|0|0,0|398|598|887|1297|1871|2667|3808|5268|7113|9224|10639|11853|11834|10742|8271|5546|2919|9208|109|32|6|1|0|0|0|0|0|0|0|0,0|198|298|443|649|935|1333|1904|2634|3557|4612|5319|5927|5918|5370|4135|2774|1459|4604|55|16|2|1|0|0|0|0|0|0|0|0,0|788|1180|1747|2550|3671|5206|7381|10100|13411|16953|18827|19854|18365|15071|10243|5954|2699|7380|76|21|5|0|0|0|0|0|0|0|0|0,0|593|889|1317|1923|2771|3936|5595|7684|10262|13089|14733|15854|15099|12907|9257|5750|2809|8294|92|27|5|1|0|0|0|0|0|0|0|0,1057489|1022933|983525|938057|884701|823289|755998|697078|625044|552795|478853|400415|300232|220078|147146|91698|50122|24878|10174|26246|266|71|13|3|0|0|0|0|0|0|0
Mexico,Car,PHEV,2044,59672,41423,20707,64128,52776,4016768.604954194,0|236|355|526|770|1111|1581|2236|3091|4167|5387|6183|6843|6771|6082|4626|3065|1594|4987|41|15|5|0|0|0|0|0|0|0|0|0,0|159|239|354|518|747|1064|1507|2086|2819|3657|4220|4704|4699|4270|3290|2208|1163|3674|30|11|4|0|0|0|0|0|0|0|0|0,0|79|119|178|258|373|532|753|1042|1409|1829|2110|2352|2349|2134|1646|1104|581|1838|14|5|2|0|0|0|0|0|0|0|0|0,0|314|471|696|1019|1465|2078|2921|4000|5315|6722|7468|7880|7293|5991|4073|2371|1076|2944|22|7|2|0|0|0|0|0|0|0|0|0,0|237|355|525|769|1106|1571|2214|3043|4067|5189|5844|6292|5996|5131|3681|2289|1120|3309|26|9|3|0|0|0|0|0|0|0|0|0,422030|408240|392512|374366|353073|328564|301709|275716|247357|218899|189751|158772|119086|87339|58429|36448|19938|9906|4055|10474|73|24|8|1|0|0|0|0|0|0|0
Mexico,SUV,PHEV,2044,72927,50627,25315,78373,64502,4909383.850499569,0|288|433|643|940|1357|1931|2733|3778|5092|6585|7558|8362|8276|7434|5654|3746|1949|6095|49|18|6|0|0|0|0|0|0|0|0|0,0|194|292|432|633|913|1301|1842|2549|3445|4470|5158|5749|5743|5219|4021|2699|1422|4491|36|13|5|0|0|0|0|0|0|0|0|0,0|98|146|216|317|457|651|922|1275|1723|2234|2578|2875|2871|2609|2011|1349|710|2245|18|7|3|0|0|0|0|0|0|0|0|0,0|383|575|852|1244|1789|2538|3569|4888|6495|8217|9128|9630|8914|7322|4979|2898|1315|3600|26|8|2|1|0|0|0|0|0|0|0|0,0|289|434|642|939|1351|1920|2705|3718|4970|6343|7143|7690|7329|6270|4500|2798|1369|4046|31|10|4|1|0|0|0|0|0|0|0|0,515815|498959|479737|457559|431533|401578|368755|336986|302326|267544|231917|194054|145549|106748|71413|44548|24368|12107|4956|12801|89|29|10|1|0|0|0|0|0|0|0
Mexico,Car,BEV,2045,138149,95833,47917,149223,122529,8850928.0057272,0|504|761|1140|1687|2457|3524|5051|6992|9451|12330|15205|16346|16579|14704|11611|7679|4415|2015|5619|60|17|2|0|0|0|0|0|0|0|0,0|339|512|766|1134|1653|2372|3403|4719|6394|8371|10377|11237|11505|10323|8258|5534|3221|1484|4172|45|12|2|0|0|0|0|0|0|0|0,0|169|256|382|566|827|1186|1701|2359|3198|4185|5189|5619|5753|5161|4130|2766|1611|742|2086|23|6|2|0|0|0|0|0|0|0|0,0|669|1009|1511|2232|3242|4630|6597|9047|12054|15386|18363|18823|17854|14483|10226|5943|2978|1190|2950|28|8|0|0|0|0|0|0|0|0|0,0|504|761|1139|1683|2448|3501|5000|6883|9224|11878|14370|15030|14679|12403|9242|5739|3100|1337|3561|36|10|1|0|0|0|0|0|0|0|0,892868|865218|835769|802925|764839|719910|667868|620634|558585|495166|430414|363395|292848|208648|143053|88123|50043|24825|11228|4231|10208|98|25|4|1|0|0|0|0|0|0
Mexico,SUV,BEV,2045,168851,117131,58561,182389,149763,10817800.8958888,0|616|930|1393|2061|3003|4307|6173|8545|11551|15069|18584|19980|20263|17972|14191|9386|5397|2462|6869|74|20|5|0|0|0|0|0|0|0|0,0|414|625|937|1386|2021|2899|4159|5767|7815|10231|12683|13734|14062|12617|10093|6764|3937|1814|5099|55|15|3|1|0|0|0|0|0|0|0,0|206|313|469|694|1011|1449|2079|2883|3907|5115|6341|6866|7030|6309|5047|3382|1969|906|2549|27|7|1|1|0|0|0|0|0|0|0,0|818|1233|1845|2725|3962|5659|8063|11058|14734|18806|22445|23008|21823|17701|12499|7262|3640|1455|3606|35|10|2|0|0|0|0|0|0|0|0,0|616|929|1391|2055|2992|4279|6111|8413|11275|14519|17564|18371|17943|15159|11296|7013|3789|1635|4352|45|13|2|1|0|0|0|0|0|0|0,1091283|1057489|1021495|981352|934803|879890|816283|758552|682716|605203|526062|444150|357926|255015|174842|107706|61163|30341|13724|5171|12477|120|31|5|1|0|0|0|0|0|0
Mexico,Car,PHEV,2045,67024,46498,23252,72385,59445,4304717.658492991,0|245|370|557|822|1199|1718|2441|3381|4575|5972|7368|7924|8042|7136|5641|3733|2149|981|2741|20|7|2|0|0|0|0|0|0|0|0,0|165|250|374|553|806|1157|1645|2282|3094|4054|5029|5448|5581|5010|4012|2690|1568|723|2035|15|5|2|0|0|0|0|0|0|0|0,0|83|126|186|277|402|579|823|1142|1546|2026|2515|2724|2791|2506|2006|1346|784|361|1017|7|3|2|0|0|0|0|0|0|0|0,0|326|491|738|1088|1583|2258|3188|4375|5836|7453|8899|9125|8660|7028|4968|2888|1449|580|1439|10|3|0|0|0|0|0|0|0|0|0,0|246|371|556|821|1195|1708|2416|3329|4465|5753|6964|7287|7120|6019|4490|2789|1509|652|1737|13|4|1|0|0|0|0|0|0|0|0,435517|422030|407666|391645|373068|351153|325768|299857|270035|239505|208314|175999|141924|101150|69387|42768|24311|12069|5464|2061|4979|33|10|3|0|0|0|0|0|0|0
Mexico,SUV,PHEV,2045,81925,56832,28418,88470,72648,5261321.5826025475,0|300|453|679|1006|1465|2101|2985|4133|5591|7298|9007|9686|9829|8722|6895|4564|2627|1199|3350|24|9|2|0|0|0|0|0|0|0|0,0|202|305|457|676|986|1414|2011|2789|3782|4955|6147|6658|6821|6124|4904|3288|1916|884|2487|18|6|2|0|0|0|0|0|0|0|0,0|102|153|229|338|494|706|1005|1395|1890|2477|3073|3330|3411|3062|2452|1644|958|442|1243|10|2|2|0|0|0|0|0|0|0|0,0|397|601|900|1330|1932|2761|3898|5348|7132|9108|10878|11153|10584|8590|6072|3531|1772|708|1759|11|5|0|0|0|0|0|0|0|0|0,0|299|453|679|1003|1459|2087|2954|4068|5457|7032|8512|8905|8702|7357|5488|3409|1844|796|2123|15|5|1|0|0|0|0|0|0|0|0,532299|515815|498258|478677|455972|429187|398161|366491|330043|292729|254605|215110|173463|123628|84807|52272|29714|14751|6679|2519|6085|40|13|4|0|0|0|0|0|0|0
