State,Segment,Propulsion,Year,LIB_recycling,LIB_available,LIB_reuse_EV,LIB_new_add,LIB_repurpose,EV_stock,LIB_recycling_vector,LIB_available_vector,LIB_reuse_vector,LIB_newadd_vector,LIB_repurpose_vector,EV_stock_vector
Mexico,Car,BEV,2045,123543,85414,42704,136695,111056,8687998.702801222,0|488|755|1164|1787|2546|3589|5092|6927|9150|11585|13818|15174|14914|12698|10180|6945|3988|1911|753|60|17|2|0|0|0|0|0|0|0|0,0|328|507|782|1202|1713|2416|3431|4675|6190|7866|9430|10430|10350|8915|7240|5005|2908|1408|559|45|12|2|0|0|0|0|0|0|0|0,0|164|253|390|602|857|1208|1715|2337|3094|3934|4714|5214|5174|4457|3620|2503|1454|704|279|23|6|2|0|0|0|0|0|0|0|0,0|648|1001|1542|2363|3359|4717|6651|8964|11672|14456|16690|17473|16063|12508|8966|5373|2689|1129|395|28|8|0|0|0|0|0|0|0|0|0,0|488|754|1162|1783|2536|3567|5041|6820|8931|11161|13060|13951|13207|10712|8103|5189|2798|1269|477|36|10|1|0|0|0|0|0|0|0|0,831183|821883|809880|795957|780282|763068|692047|635201|563199|490587|416689|341462|266129|193666|128691|76104|43874|22451|10137|4014|1367|98|25|4|1|0|0|0|0|0|0
Mexico,SUV,BEV,2045,150997,104398,52202,167066,135734,10618665.081201496,0|596|922|1421|2185|3113|4387|6222|8466|11183|14160|16889|18544|18228|15521|12443|8488|4873|2336|920|75|20|5|0|0|0|0|0|0|0|0,0|401|620|956|1469|2094|2953|4194|5714|7565|9614|11526|12748|12650|10896|8849|6117|3554|1721|683|55|15|3|1|0|0|0|0|0|0|0,0|201|310|478|735|1046|1477|2098|2858|3783|4806|5762|6374|6326|5448|4425|3059|1778|861|341|27|7|1|1|0|0|0|0|0|0|0,0|791|1223|1883|2889|4107|5765|8127|10954|14264|17671|20398|21355|19631|15287|10958|6567|3286|1379|483|36|10|2|0|0|0|0|0|0|0|0,0|596|922|1420|2179|3101|4359|6161|8334|10914|13643|15962|17052|16141|13091|9903|6342|3420|1550|583|45|13|2|1|0|0|0|0|0|0|0,1015891|1004523|989853|972836|953677|932638|845835|776357|688355|599606|509286|417342|325269|236703|157289|93016|53624|27440|12390|4906|1670|120|31|5|1|0|0|0|0|0|0
Mexico,Car,PHEV,2045,59830,41366,20682,66190,53779,4221667.794145376,0|238|368|567|872|1242|1751|2455|3341|4415|5597|6681|7343|7224|6155|4940|3375|1940|931|366|20|7|2|0|0|0|0|0|0|0|0,0|160|247|381|586|836|1179|1654|2254|2987|3799|4559|5048|5013|4322|3514|2432|1415|686|272|15|5|2|0|0|0|0|0|0|0|0,0|80|123|191|294|418|589|826|1126|1493|1899|2279|2524|2507|2162|1758|1216|707|342|136|7|3|2|0|0|0|0|0|0|0|0,0|316|489|751|1153|1639|2301|3206|4324|5632|6984|8069|8456|7780|6062|4351|2611|1309|551|193|10|3|0|0|0|0|0|0|0|0|0,0|238|368|566|869|1238|1740|2430|3289|4310|5391|6314|6752|6396|5192|3933|2521|1362|619|233|13|4|1|0|0|0|0|0|0|0|0,405463|400926|395071|388279|380632|372235|337590|306019|271444|236571|201080|164931|128665|93727|62334|36894|21297|10910|4931|1955|666|33|10|3|0|0|0|0|0|0|0
Mexico,SUV,PHEV,2045,73125,50558,25282,80895,65727,5159816.192844349,0|291|450|693|1066|1518|2140|2999|4082|5396|6839|8165|8975|8829|7524|6040|4125|2371|1139|448|24|9|2|0|0|0|0|0|0|0|0,0|196|302|466|717|1021|1441|2021|2755|3651|4644|5572|6170|6127|5282|4295|2972|1729|838|333|18|6|2|0|0|0|0|0|0|0|0,0|98|150|234|359|511|721|1011|1377|1825|2322|2786|3086|3063|2642|2147|1486|865|418|167|10|2|2|0|0|0|0|0|0|0|0,0|386|598|918|1409|2003|2812|3917|5284|6884|8535|9861|10334|9510|7410|5320|3192|1598|673|235|11|5|0|0|0|0|0|0|0|0|0,0|291|450|692|1063|1512|2127|2969|4020|5268|6590|7716|8252|7819|6346|4807|3082|1663|755|284|15|5|1|0|0|0|0|0|0|0|0,495566|490021|482865|474563|465217|454954|412611|374023|331765|289142|245765|201582|157257|114555|76185|45092|26029|13334|6027|2389|814|40|13|4|0|0|0|0|0|0|0
Mexico,Car,BEV,2046,143566,99363,49677,157678,128522,9220197.806741104,0|494|766|1183|1819|2783|3943|5624|7700|10252|13113|15848|17710|17832|15718|11778|8215|4871|2453|1050|377|28|8|1|0|0|0|0|0|0|0,0|332|515|795|1223|1873|2654|3790|5196|6935|8903|10816|12174|12374|11035|8377|5921|3553|1807|780|282|21|6|1|0|0|0|0|0|0|0,0|166|257|397|611|937|1326|1894|2598|3467|4451|5408|6086|6186|5517|4189|2961|1777|903|390|142|11|2|1|0|0|0|0|0|0|0,0|656|1016|1567|2405|3672|5181|7347|9964|13076|16364|19140|20395|19205|15481|10373|6356|3285|1449|551|179|12|4|0|0|0|0|0|0|0|0,0|494|766|1181|1814|2773|3917|5569|7580|10005|12633|14978|16285|15789|13258|9375|6139|3419|1628|666|231|16|5|1|0|0|0|0|0|0|0,838861|831183|820727|808091|793196|776038|756574|697967|622113|545321|466862|386491|305228|226048|153859|94198|50762|26559|12385|5152|1908|617|43|11|2|0|0|0|0|0|0
Mexico,SUV,BEV,2046,175469,121441,60719,192716,157080,11269130.652683577,0|604|936|1445|2223|3402|4818|6875|9410|12529|16026|19370|21645|21793|19211|14396|10042|5955|2999|1284|461|34|10|1|0|0|0|0|0|0|0,0|406|629|972|1494|2289|3243|4632|6351|8476|10881|13219|14880|15124|13487|10239|7236|4342|2209|953|345|26|7|1|0|0|0|0|0|0|0,0|202|315|486|746|1145|1621|2316|3175|4238|5441|6609|7440|7562|6743|5119|3618|2170|1105|477|173|14|3|1|0|0|0|0|0|0|0,0|803|1241|1914|2940|4488|6332|8979|12178|15982|20000|23394|24925|23471|18922|12679|7770|4017|1770|674|219|14|4|0|0|0|0|0|0|0|0,0|605|935|1443|2217|3389|4788|6805|9265|12229|15441|18306|19903|19298|16205|11459|7503|4179|1989|813|282|20|5|1|0|0|0|0|0|0|0,1025274|1015891|1003111|987667|969462|948491|924702|853070|760360|666504|570610|472378|373057|276281|188050|115131|62042|32461|15137|6297|2332|755|52|13|2|0|0|0|0|0|0
Mexico,Car,PHEV,2046,69474,48088,24048,76284,62186,4478205.506134252,0|240|373|577|887|1358|1923|2709|3711|4944|6327|7654|8564|8629|7613|5710|3988|2368|1193|511|183|10|2|0|0|0|0|0|0|0|0,0|162|251|388|596|914|1295|1826|2505|3344|4296|5224|5886|5989|5345|4061|2874|1726|879|380|137|7|2|1|0|0|0|0|0|0|0,0|82|125|194|298|458|647|914|1253|1672|2148|2612|2942|2995|2673|2031|1438|862|439|190|69|3|2|1|0|0|0|0|0|0|0,0|319|496|764|1173|1790|2527|3538|4801|6306|7897|9245|9861|9293|7498|5028|3085|1598|705|268|87|5|0|0|0|0|0|0|0|0|0,0|241|374|576|884|1352|1911|2682|3653|4825|6097|7235|7873|7641|6421|4544|2979|1662|792|324|112|6|1|1|0|0|0|0|0|0|0,409208|405463|400362|394198|386932|378563|369068|336151|299714|262828|225130|186508|147429|109287|74462|45626|24608|12892|6018|2506|929|301|14|4|1|0|0|0|0|0|0
Mexico,SUV,PHEV,2046,84923,58774,29386,93244,76007,5473362.285275201,0|295|457|705|1084|1660|2351|3312|4536|6042|7734|9356|10465|10548|9305|6979|4874|2893|1460|625|225|11|5|1|0|0|0|0|0|0|0,0|198|307|474|729|1117|1582|2232|3061|4087|5251|6385|7194|7319|6533|4963|3512|2110|1075|464|168|9|3|1|0|0|0|0|0|0|0,0|98|153|238|365|559|790|1116|1531|2043|2625|3193|3598|3659|3267|2481|1756|1054|537|232|84|5|1|1|0|0|0|0|0|0|0,0|392|606|933|1433|2189|3090|4326|5869|7707|9652|11299|12050|11360|9164|6147|3772|1952|862|328|107|4|2|0|0|0|0|0|0|0|0,0|295|456|703|1081|1653|2336|3279|4465|5897|7452|8842|9622|9339|7848|5555|3642|2031|968|396|137|7|2|1|0|0|0|0|0|0|0,500143|495566|489332|481798|472917|462688|451083|410852|366317|321234|275159|227954|180191|133573|91009|55765|30077|15757|7355|3063|1136|368|18|5|2|0|0|0|0|0|0
Mexico,Car,BEV,2047,165000,114312,57162,179938,147126,9712502.951988485,0|500|776|1200|1849|2832|4310|6181|8505|11394|14692|17937|20313|20812|18791|14578|9505|5763|2997|1348|527|176|12|2|0|0|0|0|0|0|0,0|336|522|807|1243|1905|2901|4164|5740|7709|9975|12242|13963|14443|13193|10369|6850|4203|2208|1001|394|133|9|2|0|0|0|0|0|0|0,0|168|262|403|621|953|1451|2082|2870|3855|4987|6122|6981|7221|6597|5185|3426|2101|1104|501|198|67|5|2|0|0|0|0|0|0|0,0|664|1028|1590|2445|3734|5663|8073|11006|14534|18335|21663|23390|22415|18508|12839|7354|3887|1770|707|250|78|5|0|0|0|0|0|0|0|0,0|500|775|1199|1844|2819|4282|6118|8373|11122|14155|16953|18676|18429|15851|11604|7102|4045|1989|854|322|106|7|1|0|0|0|0|0|0|0,844831|838861|830015|818914|805289|788883|769435|763296|683586|602365|518950|433028|345479|259258|179585|112620|62831|30729|14651|6294|2449|862|269|18|4|1|0|0|0|0|0
Mexico,SUV,BEV,2047,201670,139718,69862,219929,179825,11870836.94131926,0|611|949|1466|2260|3460|5268|7554|10396|13928|17957|21924|24825|25437|22968|17817|11618|7042|3663|1648|644|215|15|5|0|0|0|0|0|0|0,0|411|638|986|1519|2328|3546|5090|7016|9422|12192|14963|17066|17653|16125|12673|8372|5137|2699|1223|481|162|12|3|1|0|0|0|0|0|0,0|205|318|494|759|1164|1774|2546|3508|4710|6096|7481|8534|8827|8063|6337|4186|2569|1349|611|241|82|6|1|1|0|0|0|0|0|0,0|812|1259|1942|2988|4565|6921|9865|13451|17766|22408|26479|28586|27395|22621|15692|8990|4749|2164|866|307|95|6|2|0|0|0|0|0|0|0,0|612|949|1464|2253|3447|5233|7477|10233|13594|17300|20721|22826|22524|19373|14183|8681|4943|2432|1045|394|129|9|2|1|0|0|0|0|0|0,1032572|1025274|1014463|1000895|984242|964190|940420|932917|835494|736224|634272|529257|422252|316871|219493|137647|76793|37557|17906|7693|2993|1053|328|22|5|1|0|0|0|0|0
