Year,State_Province,Batt_Mass_MT,Scenario
2026,DE,24.673004690325868,Decreasing Batt Cap - Benchmark Chemistry
2026,FL,453.37626320461624,Decreasing Batt Cap - Benchmark Chemistry
2026,GA,285.40986701418757,Decreasing Batt Cap - Benchmark Chemistry
2026,HI,78.25377791379975,Decreasing Batt Cap - Benchmark Chemistry
2026,IA,38.635608870980846,Decreasing Batt Cap - Benchmark Chemistry
2026,ID,32.610472916032215,Decreasing Batt Cap - Benchmark Chemistry
2026,IL,218.78995617857143,Decreasing Batt Cap - Benchmark Chemistry
2026,IN,81.83336412068671,Decreasing Batt Cap - Benchmark Chemistry
2026,KS,40.746705040112694,Decreasing Batt Cap - Benchmark Chemistry
2026,KY,49.89577497111963,Decreasing Batt Cap - Benchmark Chemistry
2026,LA,45.17990804605259,Decreasing Batt Cap - Benchmark Chemistry
2026,MA,148.6096471061294,Decreasing Batt Cap - Benchmark Chemistry
2026,MB,12.075456651844469,Decreasing Batt Cap - Benchmark Chemistry
2026,MD,133.03741228260355,Decreasing Batt Cap - Benchmark Chemistry
2026,ME,27.029579559619375,Decreasing Batt Cap - Benchmark Chemistry
2026,MI,126.63653292179417,Decreasing Batt Cap - Benchmark Chemistry
2026,MN,84.37178047442356,Decreasing Batt Cap - Benchmark Chemistry
2026,MO,76.84280657661293,Decreasing Batt Cap - Benchmark Chemistry
2026,MS,25.830795522887176,Decreasing Batt Cap - Benchmark Chemistry
2026,MT,18.168717175529718,Decreasing Batt Cap - Benchmark Chemistry
2026,MX,46.56633374246353,Decreasing Batt Cap - Benchmark Chemistry
2026,NB,4.174061773369541,Decreasing Batt Cap - Benchmark Chemistry
2026,NC,148.4751747278276,Decreasing Batt Cap - Benchmark Chemistry
2026,ND,6.504739492070409,Decreasing Batt Cap - Benchmark Chemistry
2026,NE,29.824301097696914,Decreasing Batt Cap - Benchmark Chemistry
2026,NH,30.15698672596853,Decreasing Batt Cap - Benchmark Chemistry
2026,NJ,205.998942159813,Decreasing Batt Cap - Benchmark Chemistry
2026,NL,1.1524973755718055,Decreasing Batt Cap - Benchmark Chemistry
2026,NM,33.905671807544046,Decreasing Batt Cap - Benchmark Chemistry
2026,NS,8.933883367086697,Decreasing Batt Cap - Benchmark Chemistry
2026,NT,0,Decreasing Batt Cap - Benchmark Chemistry
2026,NU,0,Decreasing Batt Cap - Benchmark Chemistry
2026,NV,77.65552800864299,Decreasing Batt Cap - Benchmark Chemistry
2026,NY,299.22029423256834,Decreasing Batt Cap - Benchmark Chemistry
2026,OH,145.63094874434876,Decreasing Batt Cap - Benchmark Chemistry
2026,OK,57.90690798184965,Decreasing Batt Cap - Benchmark Chemistry
2026,ON,228.05543917636228,Decreasing Batt Cap - Benchmark Chemistry
