Year,State_Province,Scenario,Tonnes_Scrap
2025,ON,Decreasing Batt Cap - High LFP Chemistry,364.77515062955547
2025,ON,Increasing Batt Cap - Benchmark Chemistry,377.5357040370364
2025,ON,Increasing Batt Cap - High LFP Chemistry,377.5357040370364
2025,PA,Decreasing Batt Cap - Benchmark Chemistry,25.534260544068886
2025,PA,Decreasing Batt Cap - High LFP Chemistry,25.534260544068886
2025,PA,Increasing Batt Cap - Benchmark Chemistry,26.42749928259255
2025,PA,Increasing Batt Cap - High LFP Chemistry,26.42749928259255
2025,QC,Decreasing Batt Cap - Benchmark Chemistry,72.95503012591112
2025,QC,Decreasing Batt Cap - High LFP Chemistry,72.95503012591112
2025,QC,Increasing Batt Cap - Benchmark Chemistry,75.5071408074073
2025,QC,Increasing Batt Cap - High LFP Chemistry,75.5071408074073
2025,SC,Decreasing Batt Cap - Benchmark Chemistry,0
2025,SC,Decreasing Batt Cap - High LFP Chemistry,0
2025,SC,Increasing Batt Cap - Benchmark Chemistry,0
2025,SC,Increasing Batt Cap - High LFP Chemistry,0
2025,SLP ,Decreasing Batt Cap - Benchmark Chemistry,0
2025,SLP ,Decreasing Batt Cap - High LFP Chemistry,0
2025,SLP ,Increasing Batt Cap - Benchmark Chemistry,0
2025,SLP ,Increasing Batt Cap - High LFP Chemistry,0
2025,TN,Decreasing Batt Cap - Benchmark Chemistry,19333.082983366447
2025,TN,Decreasing Batt Cap - High LFP Chemistry,19333.082983366447
2025,TN,Increasing Batt Cap - Benchmark Chemistry,20009.392313962933
2025,TN,Increasing Batt Cap - High LFP Chemistry,20009.392313962933
2025,TX,Decreasing Batt Cap - Benchmark Chemistry,3647.751506295555
2025,TX,Decreasing Batt Cap - High LFP Chemistry,3647.751506295555
2025,TX,Increasing Batt Cap - Benchmark Chemistry,3775.3570403703643
2025,TX,Increasing Batt Cap - High LFP Chemistry,3775.3570403703643
2025,VA,Decreasing Batt Cap - Benchmark Chemistry,0
2025,VA,Decreasing Batt Cap - High LFP Chemistry,0
2025,VA,Increasing Batt Cap - Benchmark Chemistry,0
2025,VA,Increasing Batt Cap - High LFP Chemistry,0
2025,WV,Decreasing Batt Cap - Benchmark Chemistry,0
2025,WV,Decreasing Batt Cap - High LFP Chemistry,0
2025,WV,Increasing Batt Cap - Benchmark Chemistry,0
2025,WV,Increasing Batt Cap - High LFP Chemistry,0
2026,AL,Decreasing Batt Cap - Benchmark Chemistry,0
2026,AL,Decreasing Batt Cap - High LFP Chemistry,0
2026,AL,Increasing Batt Cap - Benchmark Chemistry,0
2026,AL,Increasing Batt Cap - High LFP Chemistry,0
2026,AZ,Decreasing Batt Cap - Benchmark Chemistry,0
2026,AZ,Decreasing Batt Cap - High LFP Chemistry,0
2026,AZ,Increasing Batt Cap - Benchmark Chemistry,0
2026,AZ,Increasing Batt Cap - High LFP Chemistry,0
2026,CA,Decreasing Batt Cap - Benchmark Chemistry,1453.2075599736636
2026,CA,Decreasing Batt Cap - High LFP Chemistry,1453.2075599736636
