Country,Scenario,Vehicle,Year,New_Sales,Total_Stock,EV_Retirement,LIB_recycling_vector,LIB_repurpose_vector,LIB_reuse_ev_vector,LIB_available_vector,LIB_evfail_total_vector,LIB_bothfail_vector,LIB_recycling,LIB_repurpose,LIB_reuse_EV
Canada,ACCII,Heavy trucks,2046,45808,347895.47411406395,2031.238748159857,336|506|743|1060|1451|1872|2017|1960|1696|1302|884|627|414|257|150|82|22|5|0|0|0|0|0|0|0|0|0|0|0|0|0,336|504|741|1058|1445|1859|1993|1923|1649|1245|827|569|360|213|117|59|15|4|1|0|0|0|0|0|0|0|0|0|0|0|0,10|14|21|31|44|61|73|81|82|78|70|63|55|42|30|20|6|1|1|0|0|0|0|0|0|0|0|0|0|0|0,18|28|41|61|88|121|145|161|166|158|138|127|109|86|62|40|12|3|1|0|0|0|0|0|0|0|0|0|0|0|0,18|28|41|61|88|121|145|161|166|158|138|127|109|86|62|40|12|3|1|0|0|0|0|0|0|0|0|0|0|0|0,0|1|1|3|7|14|24|36|48|56|56|58|54|45|33|22|7|2|0|0|0|0|0|0|0|0|0|0|0|0|0,15384,14918,783
Canada,ACCII,Heavy trucks,2047,46257,360205.7271470895,2277.213427656717,339|510|749|1072|1466|1893|2265|2229|1959|1535|1073|674|447|277|163|89|45|12|2|0|0|0|0|0|0|0|0|0|0|0|0,339|510|749|1069|1459|1878|2237|2187|1904|1469|1005|611|388|230|127|66|31|7|1|1|0|0|0|0|0|0|0|0|0|0|0,10|14|22|30|44|61|82|91|96|93|83|68|59|47|33|22|14|3|2|0|0|0|0|0|0|0|0|0|0|0|0,18|28|42|62|88|123|162|183|192|187|167|136|117|93|67|44|26|7|2|0|0|0|0|0|0|0|0|0|0|0|0,18|28|42|62|88|123|162|183|192|187|167|136|117|93|67|44|26|7|2|0|0|0|0|0|0|0|0|0|0|0|0,0|1|1|3|7|14|27|41|55|66|68|62|58|48|36|24|14|4|1|0|0|0|0|0|0|0|0|0|0|0|0,16799,16268,874
Canada,ACCII,Heavy trucks,2048,46706,370344.4898887315,2528.0252409387685,342|516|757|1083|1481|1912|2288|2502|2228|1772|1265|817|481|300|177|98|51|24|5|0|0|0|0|0|0|0|0|0|0|0|0,343|514|756|1079|1474|1898|2262|2457|2165|1697|1184|742|419|248|137|71|34|16|4|1|0|0|0|0|0|0|0|0|0|0|0,10|14|22|30|45|62|82|102|109|108|99|83|62|51|37|24|14|7|2|1|0|0|0|0|0|0|0|0|0|0|0,18|28|42|62|89|124|164|206|219|216|197|165|126|101|73|48|28|15|4|1|0|0|0|0|0|0|0|0|0|0|0,18|28|42|62|89|124|164|206|219|216|197|165|126|101|73|48|28|15|4|1|0|0|0|0|0|0|0|0|0|0|0,0|1|1|3|7|15|27|46|63|76|80|75|62|52|39|26|16|8|2|0|0|0|0|0|0|0|0|0|0|0|0,18099,17501,964
Canada,ACCII,Heavy trucks,2049,47155,378650.8459503093,2778.9059868031823,347|520|767|1093|1495|1932|2313|2528|2501|2015|1462|964|583|323|192|106|55|26|12|2|0|0|0|0|0|0|0|0|0|0|0,346|520|764|1091|1489|1916|2285|2481|2430|1928|1369|876|507|267|149|78|38|17|7|1|0|0|0|0|0|0|0|0|0|0|0,9|14|21|31|46|63|82|104|123|123|113|97|77|54|39|26|15|8|4|2|0|0|0|0|0|0|0|0|0|0|0,19|28|43|63|90|125|166|208|245|245|227|195|153|108|79|52|31|16|8|2|0|0|0|0|0|0|0|0|0|0|0,19|28|43|63|90|125|166|208|245|245|227|195|153|108|79|52|31|16|8|2|0|0|0|0|0|0|0|0|0|0|0,0|1|2|3|7|15|27|46|70|86|93|89|75|56|43|29|17|9|4|1|0|0|0|0|0|0|0|0|0|0|0,19236,18559,1051
Canada,ACCII,Heavy trucks,2050,47604,385510.8220293014,3022.8367745874657,350|526|774|1104|1511|1951|2336|2553|2527|2262|1663|1113|688|393|205|115|59|28|13|5|0|0|0|0|0|0|0|0|0|0|0,350|524|772|1101|1504|1937|2308|2507|2456|2166|1556|1011|598|324|160|83|41|19|8|4|1|0|0|0|0|0|0|0|0|0|0,9|15|21|31|45|62|83|106|124|137|129|113|90|65|43|28|17|10|5|2|1|0|0|0|0|0|0|0|0|0|0,19|29|43|63|91|126|167|210|248|275|259|225|180|131|85|56|33|18|9|4|1|0|0|0|0|0|0|0|0|0|0,19|29|43|63|91|126|167|210|248|275|259|225|180|131|85|56|33|18|9|4|1|0|0|0|0|0|0|0|0|0|0,0|1|2|3|7|15|28|47|71|97|106|103|89|68|46|31|19|10|5|2|0|0|0|0|0|0|0|0|0|0|0,20176,19430,1136
Canada,Repeal,Heavy trucks,2022,129,129,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0
Canada,Repeal,Heavy trucks,2023,73,200.0602996300201,0.05223047032406014,1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,0
Canada,Repeal,Heavy trucks,2024,238,434.0225635369145,0.11046603752912967,0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2,2,0
Canada,Repeal,Heavy trucks,2025,265,689.412394371528,0.2664077142195967,2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5,4,0
Canada,Repeal,Heavy trucks,2026,296,967.2330587501946,0.5152582573062192,2|2|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2|3|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,9,0
Canada,Repeal,Heavy trucks,2027,332,1268.4152464784215,0.9020666976745053,2|3|4|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2|3|4|1|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,15,14,0
Canada,Repeal,Heavy trucks,2028,369,1588.8105071012408,1.4869085105712538,2|4|4|6|2|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3|3|5|5|3|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,24,0
Canada,Repeal,Heavy trucks,2029,415,1931.5372565086905,2.3416385042189534,2|4|5|6|8|3|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3|3|5|7|8|3|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,34,36,0
Canada,Repeal,Heavy trucks,2030,466,2295.474299723026,3.547371968011346,3|4|6|7|8|10|4|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3|4|5|7|9|10|3|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,49,48,3
Canada,Repeal,Heavy trucks,2031,518,2676.0253727896825,5.178932574822948,4|4|6|8|10|11|12|4|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3|5|6|8|9|11|12|4|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,66,65,4
Canada,Repeal,Heavy trucks,2032,580,3078.7810356003843,7.289115193125372,4|5|7|8|11|12|14|14|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4|5|7|9|11|13|13|13|4|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,85,86,6
Canada,Repeal,Heavy trucks,2033,647,3505.6599728946667,9.899271414824577,4|6|8|10|12|14|15|15|13|4|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4|5|7|10|12|14|15|15|13|3|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,106,103,7
Canada,Repeal,Heavy trucks,2034,721,3961.7420858888486,12.987510758608837,4|6|8|11|14|16|17|16|14|13|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5|7|9|11|13|15|17|17|15|11|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|2|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|2|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|2|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,126,126,10
