Year,Scenario,Mineral,Recycling Scenario,Tonne,Capacity key,Chemistry key,Value,Policy scenario
2025,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,476.7299053439002,Increasing Batt Cap,Benchmark Chemistry,0.4767299053439002,Policy Baseline
2025,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,476.7299053439002,Increasing Batt Cap,Benchmark Chemistry,0.4767299053439002,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,117.37341636339885,Increasing Batt Cap,High LFP Chemistry,0.11737341636339885,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,117.37341636339885,Increasing Batt Cap,High LFP Chemistry,0.11737341636339885,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,281.3939777606664,Increasing Batt Cap,High LFP Chemistry,0.28139397776066644,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,297.0269765251478,Increasing Batt Cap,High LFP Chemistry,0.2970269765251478,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0.0,Increasing Batt Cap,High LFP Chemistry,0.0,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,667.6056105660709,Increasing Batt Cap,High LFP Chemistry,0.6676056105660709,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0.0,Increasing Batt Cap,High LFP Chemistry,0.0,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,70.10761120903882,Increasing Batt Cap,High LFP Chemistry,0.07010761120903883,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0.0,Increasing Batt Cap,High LFP Chemistry,0.0,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,51.72026630033233,Increasing Batt Cap,High LFP Chemistry,0.05172026630033233,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,476.7299053439002,Increasing Batt Cap,High LFP Chemistry,0.4767299053439002,Policy Baseline
2025,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,476.7299053439002,Increasing Batt Cap,High LFP Chemistry,0.4767299053439002,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,192.5564351221243,Decreasing Batt Cap,Benchmark Chemistry,0.1925564351221243,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,192.5564351221243,Decreasing Batt Cap,Benchmark Chemistry,0.1925564351221243,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,603.9498078226435,Decreasing Batt Cap,Benchmark Chemistry,0.6039498078226435,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,637.502574923901,Decreasing Batt Cap,Benchmark Chemistry,0.6375025749239009,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0.0,Decreasing Batt Cap,Benchmark Chemistry,0.0,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,1364.4691056265478,Decreasing Batt Cap,Benchmark Chemistry,1.3644691056265479,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0.0,Decreasing Batt Cap,Benchmark Chemistry,0.0,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,137.16005517940658,Decreasing Batt Cap,Benchmark Chemistry,0.13716005517940658,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0.0,Decreasing Batt Cap,Benchmark Chemistry,0.0,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,85.37100124370158,Decreasing Batt Cap,Benchmark Chemistry,0.08537100124370159,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,813.719509814318,Decreasing Batt Cap,Benchmark Chemistry,0.8137195098143181,Policy Baseline
2026,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,813.719509814318,Decreasing Batt Cap,Benchmark Chemistry,0.8137195098143181,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,192.5666755287815,Decreasing Batt Cap,High LFP Chemistry,0.1925666755287815,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,192.5666755287815,Decreasing Batt Cap,High LFP Chemistry,0.1925666755287815,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,603.9375532191913,Decreasing Batt Cap,High LFP Chemistry,0.6039375532191913,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,637.4896395091465,Decreasing Batt Cap,High LFP Chemistry,0.6374896395091465,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0.0,Decreasing Batt Cap,High LFP Chemistry,0.0,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,1364.4647221192724,Decreasing Batt Cap,High LFP Chemistry,1.3644647221192725,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0.0,Decreasing Batt Cap,High LFP Chemistry,0.0,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,137.16100778984335,Decreasing Batt Cap,High LFP Chemistry,0.13716100778984336,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0.0,Decreasing Batt Cap,High LFP Chemistry,0.0,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,85.37600461824697,Decreasing Batt Cap,High LFP Chemistry,0.08537600461824697,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,813.7684149356737,Decreasing Batt Cap,High LFP Chemistry,0.8137684149356738,Policy Baseline
2026,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,813.7684149356737,Decreasing Batt Cap,High LFP Chemistry,0.8137684149356738,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,193.1823447083674,Increasing Batt Cap,Benchmark Chemistry,0.1931823447083674,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,193.1823447083674,Increasing Batt Cap,Benchmark Chemistry,0.1931823447083674,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,611.8225197758597,Increasing Batt Cap,Benchmark Chemistry,0.6118225197758598,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,645.8126597634075,Increasing Batt Cap,Benchmark Chemistry,0.6458126597634075,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0.0,Increasing Batt Cap,Benchmark Chemistry,0.0,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,1379.4836958044416,Increasing Batt Cap,Benchmark Chemistry,1.3794836958044416,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0.0,Increasing Batt Cap,Benchmark Chemistry,0.0,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,138.509329936696,Increasing Batt Cap,Benchmark Chemistry,0.13850932993669599,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0.0,Increasing Batt Cap,Benchmark Chemistry,0.0,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,85.76689483828947,Increasing Batt Cap,Benchmark Chemistry,0.08576689483828948,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,817.1500350645475,Increasing Batt Cap,Benchmark Chemistry,0.8171500350645475,Policy Baseline
2026,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,817.1500350645475,Increasing Batt Cap,Benchmark Chemistry,0.8171500350645475,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,193.19321155936404,Increasing Batt Cap,High LFP Chemistry,0.19319321155936403,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,193.19321155936404,Increasing Batt Cap,High LFP Chemistry,0.19319321155936403,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,611.8095155120462,Increasing Batt Cap,High LFP Chemistry,0.6118095155120462,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,645.7989330404931,Increasing Batt Cap,High LFP Chemistry,0.6457989330404931,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0.0,Increasing Batt Cap,High LFP Chemistry,0.0,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,1379.4790441414757,Increasing Batt Cap,High LFP Chemistry,1.3794790441414757,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0.0,Increasing Batt Cap,High LFP Chemistry,0.0,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,138.5103408219099,Increasing Batt Cap,High LFP Chemistry,0.13851034082190988,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0.0,Increasing Batt Cap,High LFP Chemistry,0.0,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,85.77220428814677,Increasing Batt Cap,High LFP Chemistry,0.08577220428814676,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,817.2019318968249,Increasing Batt Cap,High LFP Chemistry,0.8172019318968249,Policy Baseline
2026,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,817.2019318968249,Increasing Batt Cap,High LFP Chemistry,0.8172019318968249,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,341.61497024902997,Decreasing Batt Cap,Benchmark Chemistry,0.34161497024903,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,341.61497024902997,Decreasing Batt Cap,Benchmark Chemistry,0.34161497024903,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1236.194325532421,Decreasing Batt Cap,Benchmark Chemistry,1.236194325532421,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,1304.871788062001,Decreasing Batt Cap,Benchmark Chemistry,1.304871788062001,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0.0,Decreasing Batt Cap,Benchmark Chemistry,0.0,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,2708.423982531845,Decreasing Batt Cap,Benchmark Chemistry,2.708423982531845,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0.0,Decreasing Batt Cap,Benchmark Chemistry,0.0,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,266.86633714744727,Decreasing Batt Cap,Benchmark Chemistry,0.2668663371474473,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0.0,Decreasing Batt Cap,Benchmark Chemistry,0.0,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,162.0793197352998,Decreasing Batt Cap,Benchmark Chemistry,0.1620793197352998,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,1419.2303585154496,Decreasing Batt Cap,Benchmark Chemistry,1.4192303585154495,Policy Baseline
2027,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,1419.2303585154496,Decreasing Batt Cap,Benchmark Chemistry,1.4192303585154495,Policy Baseline
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,341.113859229382,Decreasing Batt Cap,High LFP Chemistry,0.341113859229382,Policy Baseline
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,341.113859229382,Decreasing Batt Cap,High LFP Chemistry,0.341113859229382,Policy Baseline
2027,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1236.800685751325,Decreasing Batt Cap,High LFP Chemistry,1.2368006857513252,Policy Baseline
2027,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,1305.5118349597324,Decreasing Batt Cap,High LFP Chemistry,1.3055118349597323,Policy Baseline
