State,Year,Powertrain,Value,Scenario,Country,Value_thousands,code,Group
Alabama,2042,ICE,170566.126063754,ACCII,US,170.56612606375398,AL,ICE.ACCII
Alabama,2043,BEV,37569,ACCII,US,37.569,AL,BEV.ACCII
Alabama,2043,PHEV,8328,ACCII,US,8.328,AL,PHEV.ACCII
Alabama,2043,ICE,166877.425370945,ACCII,US,166.87742537094502,AL,ICE.ACCII
Alabama,2044,BEV,44365,ACCII,US,44.365,AL,BEV.ACCII
Alabama,2044,PHEV,9847,ACCII,US,9.847,AL,PHEV.ACCII
Alabama,2044,ICE,162671.64368397,ACCII,US,162.67164368397,AL,ICE.ACCII
Alabama,2045,BEV,51474,ACCII,US,51.474,AL,BEV.ACCII
Alabama,2045,PHEV,11386,ACCII,US,11.386,AL,PHEV.ACCII
Alabama,2045,ICE,157957.440013966,ACCII,US,157.957440013966,AL,ICE.ACCII
Alabama,2046,BEV,58546,ACCII,US,58.546,AL,BEV.ACCII
Alabama,2046,PHEV,12855,ACCII,US,12.855,AL,PHEV.ACCII
Alabama,2046,ICE,152781.547021403,ACCII,US,152.78154702140301,AL,ICE.ACCII
Alabama,2047,BEV,65524,ACCII,US,65.524,AL,BEV.ACCII
Alabama,2047,PHEV,14169,ACCII,US,14.169,AL,PHEV.ACCII
Alabama,2047,ICE,147209.660614163,ACCII,US,147.209660614163,AL,ICE.ACCII
Alabama,2048,BEV,72267,ACCII,US,72.267,AL,BEV.ACCII
Alabama,2048,PHEV,15268,ACCII,US,15.268,AL,PHEV.ACCII
Alabama,2048,ICE,141352.399326715,ACCII,US,141.35239932671502,AL,ICE.ACCII
Alabama,2049,BEV,78662,ACCII,US,78.662,AL,BEV.ACCII
Alabama,2049,PHEV,16122,ACCII,US,16.122,AL,PHEV.ACCII
Alabama,2049,ICE,135321.14346368,ACCII,US,135.32114346368,AL,ICE.ACCII
Alabama,2050,BEV,84633,ACCII,US,84.633,AL,BEV.ACCII
Alabama,2050,PHEV,16709,ACCII,US,16.709,AL,PHEV.ACCII
Alabama,2050,ICE,129243.044562843,ACCII,US,129.243044562843,AL,ICE.ACCII
Alaska,2020,BEV,0,ACCII,US,0,AK,BEV.ACCII
Alaska,2020,PHEV,0,ACCII,US,0,AK,PHEV.ACCII
Alaska,2020,ICE,24983.8727077909,ACCII,US,24.983872707790898,AK,ICE.ACCII
Alaska,2021,BEV,0,ACCII,US,0,AK,BEV.ACCII
Alaska,2021,PHEV,0,ACCII,US,0,AK,PHEV.ACCII
Alaska,2021,ICE,24886.4691752786,ACCII,US,24.8864691752786,AK,ICE.ACCII
Alaska,2022,BEV,0,ACCII,US,0,AK,BEV.ACCII
Alaska,2022,PHEV,0,ACCII,US,0,AK,PHEV.ACCII
Alaska,2022,ICE,24808.0730955216,ACCII,US,24.8080730955216,AK,ICE.ACCII
Alaska,2023,BEV,0,ACCII,US,0,AK,BEV.ACCII
Alaska,2023,PHEV,0,ACCII,US,0,AK,PHEV.ACCII
Alaska,2023,ICE,24736.7154429401,ACCII,US,24.736715442940103,AK,ICE.ACCII
Alaska,2024,BEV,1,ACCII,US,0.001,AK,BEV.ACCII
Alaska,2024,PHEV,0,ACCII,US,0,AK,PHEV.ACCII
Alaska,2024,ICE,24678.7034926409,ACCII,US,24.6787034926409,AK,ICE.ACCII
Alaska,2025,BEV,3,ACCII,US,0.003,AK,BEV.ACCII
Alaska,2025,PHEV,1,ACCII,US,0.001,AK,PHEV.ACCII
Alaska,2025,ICE,24627.7689903493,ACCII,US,24.627768990349303,AK,ICE.ACCII
Alaska,2026,BEV,10,ACCII,US,0.01,AK,BEV.ACCII
Alaska,2026,PHEV,5,ACCII,US,0.005,AK,PHEV.ACCII
Alaska,2026,ICE,24595.8989206109,ACCII,US,24.5958989206109,AK,ICE.ACCII
Alaska,2027,BEV,23,ACCII,US,0.023,AK,BEV.ACCII
Alaska,2027,PHEV,10,ACCII,US,0.01,AK,PHEV.ACCII
Alaska,2027,ICE,24567.8560206959,ACCII,US,24.567856020695903,AK,ICE.ACCII
Alaska,2028,BEV,40,ACCII,US,0.04,AK,BEV.ACCII
Alaska,2028,PHEV,17,ACCII,US,0.017,AK,PHEV.ACCII
Alaska,2028,ICE,24537.8096005194,ACCII,US,24.5378096005194,AK,ICE.ACCII
