Year,Tonnes,Display metric,Capacity scenario,Policy scenario
2029,0.8453471827429999,Materials recovery (refining),Installed,Policy Rollback
2030,3.2276765727640804,LIB demand,Increase LIB Capacity,Policy Rollback
2030,2.36341435536712,LIB demand,Decrease LIB Capacity,Policy Rollback
2030,5.454705572342804,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2030,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2030,2.58985919425016,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2030,2.58985919425016,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2030,0.0789108952803083,EoL batteries,Increase LIB Capacity,Policy Rollback
2030,0.0738062548529267,EoL batteries,Decrease LIB Capacity,Policy Rollback
2030,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2030,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2031,3.8841712747967514,LIB demand,Increase LIB Capacity,Policy Rollback
2031,2.716062883904863,LIB demand,Decrease LIB Capacity,Policy Rollback
2031,5.454705572342804,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2031,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2031,2.6048886890631415,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2031,2.6048886890631415,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2031,0.1204593419346941,EoL batteries,Increase LIB Capacity,Policy Rollback
2031,0.1113911320077478,EoL batteries,Decrease LIB Capacity,Policy Rollback
2031,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2031,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2032,4.5899959404911455,LIB demand,Increase LIB Capacity,Policy Rollback
2032,3.065908295863664,LIB demand,Decrease LIB Capacity,Policy Rollback
2032,5.454705572342804,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2032,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2032,2.8039256700365462,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2032,2.619326824237602,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2032,0.174286894039772,EoL batteries,Increase LIB Capacity,Policy Rollback
2032,0.1590738961560312,EoL batteries,Decrease LIB Capacity,Policy Rollback
2032,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2032,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2033,5.454762968655211,LIB demand,Increase LIB Capacity,Policy Rollback
2033,3.4761077351484295,LIB demand,Decrease LIB Capacity,Policy Rollback
2033,5.454705572342804,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2033,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2033,3.3470390309727005,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2033,2.6269607395712495,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2033,0.2427893195463904,EoL batteries,Increase LIB Capacity,Policy Rollback
2033,0.218290594784227,EoL batteries,Decrease LIB Capacity,Policy Rollback
2033,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2033,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2034,6.058155209728583,LIB demand,Increase LIB Capacity,Policy Rollback
2034,3.689692712423453,LIB demand,Decrease LIB Capacity,Policy Rollback
2034,5.903511797306224,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2034,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2034,3.726889050659104,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2034,2.6343258550692057,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2034,0.3334736612621501,EoL batteries,Increase LIB Capacity,Policy Rollback
2034,0.2955353653669405,EoL batteries,Decrease LIB Capacity,Policy Rollback
2034,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2034,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2035,6.6949008072397245,LIB demand,Increase LIB Capacity,Policy Rollback
2035,3.903282230786212,LIB demand,Decrease LIB Capacity,Policy Rollback
2035,6.531873669555792,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2035,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2035,4.123574119130918,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2035,2.6343258550692057,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2035,0.4527213109388475,EoL batteries,Increase LIB Capacity,Policy Rollback
2035,0.3963173014230556,EoL batteries,Decrease LIB Capacity,Policy Rollback
2035,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2035,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2036,7.07697557233826,LIB demand,Increase LIB Capacity,Policy Rollback
2036,4.077689082364879,LIB demand,Decrease LIB Capacity,Policy Rollback
2036,6.9094229554690765,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2036,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2036,4.361921114625436,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2036,2.6343258550692057,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2036,0.6041747913381367,EoL batteries,Increase LIB Capacity,Policy Rollback
2036,0.5229524356582044,EoL batteries,Decrease LIB Capacity,Policy Rollback
2036,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2036,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2037,7.415658706089365,LIB demand,Increase LIB Capacity,Policy Rollback
2037,4.222317007606567,LIB demand,Decrease LIB Capacity,Policy Rollback
2037,7.241360235008122,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2037,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2037,4.571473234633754,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2037,2.6343258550692057,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2037,0.7845754219269226,EoL batteries,Increase LIB Capacity,Policy Rollback
2037,0.6709141016465038,EoL batteries,Decrease LIB Capacity,Policy Rollback
2037,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2037,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2038,7.7371106740779245,LIB demand,Increase LIB Capacity,Policy Rollback
2038,4.354411859392259,LIB demand,Decrease LIB Capacity,Policy Rollback
2038,7.555136640296787,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2038,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2038,4.769560388412138,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2038,2.6783649100165956,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2038,1.0504287439932496,EoL batteries,Increase LIB Capacity,Policy Rollback
2038,0.8919167792310266,EoL batteries,Decrease LIB Capacity,Policy Rollback
2038,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2038,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2039,8.040161417368774,LIB demand,Increase LIB Capacity,Policy Rollback
2039,4.473719557499303,LIB demand,Decrease LIB Capacity,Policy Rollback
2039,7.846028838561796,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2039,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2039,4.953200734338219,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2039,2.75016230463818,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2039,1.2860969283974095,EoL batteries,Increase LIB Capacity,Policy Rollback
2039,1.068950252870806,EoL batteries,Decrease LIB Capacity,Policy Rollback
2039,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2039,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2040,8.30644598771053,LIB demand,Increase LIB Capacity,Policy Rollback
2040,4.570636587652518,LIB demand,Decrease LIB Capacity,Policy Rollback
2040,8.109293314203152,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2040,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2040,5.119399689364103,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2040,2.8110240065226346,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2040,1.5425805544145543,EoL batteries,Increase LIB Capacity,Policy Rollback
2040,1.2487165096932775,EoL batteries,Decrease LIB Capacity,Policy Rollback
2040,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2040,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2041,8.465350413514484,LIB demand,Increase LIB Capacity,Policy Rollback
2041,4.658670857538914,LIB demand,Decrease LIB Capacity,Policy Rollback
2041,8.265681651746734,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2041,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2041,5.218127701241356,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2041,2.865652883070026,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2041,1.8218033564787264,EoL batteries,Increase LIB Capacity,Policy Rollback
2041,1.4296358450393962,EoL batteries,Decrease LIB Capacity,Policy Rollback
2041,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2041,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2042,8.716594076876644,LIB demand,Increase LIB Capacity,Policy Rollback
2042,4.796703146661318,LIB demand,Decrease LIB Capacity,Policy Rollback
2042,8.514703718750148,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2042,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2042,5.375335418741136,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2042,2.951964182637326,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2042,2.131557098167385,EoL batteries,Increase LIB Capacity,Policy Rollback
2042,1.6167263308658772,EoL batteries,Decrease LIB Capacity,Policy Rollback
2042,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2042,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2043,8.97373853056222,LIB demand,Increase LIB Capacity,Policy Rollback
2043,4.9377806465849075,LIB demand,Decrease LIB Capacity,Policy Rollback
2043,8.769456055401827,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2043,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2043,5.536160657462637,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2043,3.040133719595933,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2043,2.483551000188663,EoL batteries,Increase LIB Capacity,Policy Rollback
2043,1.8192807850220312,EoL batteries,Decrease LIB Capacity,Policy Rollback
2043,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2043,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2044,9.23966978920453,LIB demand,Increase LIB Capacity,Policy Rollback
2044,5.08309392744853,LIB demand,Decrease LIB Capacity,Policy Rollback
2044,9.033089279087369,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2044,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2044,5.702592403257051,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2044,3.1310143329637388,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2044,2.885267999274558,EoL batteries,Increase LIB Capacity,Policy Rollback
2044,2.043257499218303,EoL batteries,Decrease LIB Capacity,Policy Rollback
2044,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2044,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2045,9.49792049679086,LIB demand,Increase LIB Capacity,Policy Rollback
2045,5.223570958592809,LIB demand,Decrease LIB Capacity,Policy Rollback
2045,9.2893667067508,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2045,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2045,5.864380432464639,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2045,3.218965513282062,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2045,3.3384785036169844,EoL batteries,Increase LIB Capacity,Policy Rollback
2045,2.289115582513986,EoL batteries,Decrease LIB Capacity,Policy Rollback
2045,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2045,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2046,9.771716003315053,LIB demand,Increase LIB Capacity,Policy Rollback
2046,5.37189213473219,LIB demand,Decrease LIB Capacity,Policy Rollback
2046,9.561237303451938,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2046,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2046,6.03601243470845,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2046,3.3118889093067874,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2046,3.8492142221237735,EoL batteries,Increase LIB Capacity,Policy Rollback
2046,2.558467099010168,EoL batteries,Decrease LIB Capacity,Policy Rollback
2046,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2046,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2047,10.01852854687898,LIB demand,Increase LIB Capacity,Policy Rollback
2047,5.505180023972611,LIB demand,Decrease LIB Capacity,Policy Rollback
2047,9.806048555192326,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2047,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2047,6.19056186306832,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2047,3.3952912975458864,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2047,4.392518127578351,EoL batteries,Increase LIB Capacity,Policy Rollback
2047,2.8336939015984384,EoL batteries,Decrease LIB Capacity,Policy Rollback
2047,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2047,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2048,10.254915282120615,LIB demand,Increase LIB Capacity,Policy Rollback
2048,5.632791659082089,LIB demand,Decrease LIB Capacity,Policy Rollback
2048,10.039666711348238,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2048,5.504223007517451,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2048,6.338045086293164,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2048,3.4748178988078076,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2048,4.9535626597187,EoL batteries,Increase LIB Capacity,Policy Rollback
2048,3.105513925662542,EoL batteries,Decrease LIB Capacity,Policy Rollback
2048,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2048,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2049,10.465496230122264,LIB demand,Increase LIB Capacity,Policy Rollback
2049,5.746039863556021,LIB demand,Decrease LIB Capacity,Policy Rollback
2049,10.247890566231904,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2049,5.616077782413632,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2049,6.469496878293663,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2049,3.5454318570986563,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2049,5.508083500253681,EoL batteries,Increase LIB Capacity,Policy Rollback
2049,3.3676363305803103,EoL batteries,Decrease LIB Capacity,Policy Rollback
2049,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2049,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2050,10.648824812302609,LIB demand,Increase LIB Capacity,Policy Rollback
2050,5.844789285259726,LIB demand,Decrease LIB Capacity,Policy Rollback
2050,10.428081070822737,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2050,5.712959922675694,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2050,6.583251206505342,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2050,3.6065935859380662,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2050,6.0418800661784795,EoL batteries,Increase LIB Capacity,Policy Rollback
2050,3.6155773738177968,EoL batteries,Decrease LIB Capacity,Policy Rollback
2050,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Rollback
2050,1.402880881403,Materials recovery (refining),Installed,Policy Rollback
2025,0.0834534527641302,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2026,0.0835394886937873,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2027,0.1795810187035586,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2028,0.1726247176787186,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2029,0.2829989659411876,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2030,0.2648502282348922,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2031,0.2498207334219099,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2032,0.2508792130193633,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2033,0.2767462837615704,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2034,0.284990528180824,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2035,0.2999761334083178,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2036,0.307669328975154,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2037,0.3137704097327508,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2038,0.3190447783884332,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2039,0.3235576452886607,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2040,0.3273627974282057,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2041,0.3295084300020194,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2042,0.3327623156995096,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2043,0.3358998512398829,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2044,0.3389604320864001,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2045,0.3417691014738944,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2046,0.3445840775640187,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2047,0.3469853194621583,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2048,0.3491675766443434,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2049,0.3510287609522886,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2050,0.3525793820838918,Mfg. Scrap,Increase LIB Capacity,Policy Rollback
2025,0.0806327599670037,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2026,0.0766183972954726,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2027,0.1795810187035586,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2028,0.1726247176787186,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2029,0.2829989659411876,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2030,0.2648502282348922,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2031,0.2498207334219099,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2032,0.2353825982474498,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2033,0.227748682913802,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2034,0.220383567415846,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2035,0.220383567415846,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2036,0.220383567415846,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2037,0.220383567415846,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2038,0.2240072275073562,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2039,0.2296660922871026,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2040,0.2342366575647503,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2041,0.2381738154852177,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2042,0.2440973604859652,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2043,0.2498011500351043,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2044,0.2553441159832266,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2045,0.2604103937356968,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2046,0.2654707569717631,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2047,0.2697767605755625,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2048,0.2736901407034131,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2049,0.2770177939683075,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
2050,0.2797947059060892,Mfg. Scrap,Decrease LIB Capacity,Policy Rollback
