Year,Tonnes,Display metric,Capacity scenario,Policy scenario
2032,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2032,3.6797320090951406,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2032,2.619326824237602,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2032,0.1935103049529375,EoL batteries,Increase LIB Capacity,Policy Baseline
2032,0.1750948051911594,EoL batteries,Decrease LIB Capacity,Policy Baseline
2032,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2032,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2033,7.018621920087188,LIB demand,Increase LIB Capacity,Policy Baseline
2033,4.476358261273396,LIB demand,Decrease LIB Capacity,Policy Baseline
2033,6.815858032945934,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2033,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2033,4.302853546498211,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2033,2.738426690569612,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2033,0.2722983512358803,EoL batteries,Increase LIB Capacity,Policy Baseline
2033,0.2424649704895658,EoL batteries,Decrease LIB Capacity,Policy Baseline
2033,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2033,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2034,7.919574726360763,LIB demand,Increase LIB Capacity,Policy Baseline
2034,4.834827622609036,LIB demand,Decrease LIB Capacity,Policy Baseline
2034,7.693214392920564,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2034,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2034,4.856728921661783,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2034,2.9578869995380765,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2034,0.3771131150114546,EoL batteries,Increase LIB Capacity,Policy Baseline
2034,0.3307565431599546,EoL batteries,Decrease LIB Capacity,Policy Baseline
2034,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2034,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2035,8.867992909254859,LIB demand,Increase LIB Capacity,Policy Baseline
2035,5.187020968369822,LIB demand,Decrease LIB Capacity,Policy Baseline
2035,8.615293115352285,Pack Mfg.,Increase LIB Capacity,Policy Baseline
