Geography,Scope,Mineral,Scenario effect,Year,Reference maximum RCS (%),Change (percentage points),Resulting maximum RCS (%)
California,California-origin / US network,Graphite,ΔPolicy,2035,4.980126569154077,2.5571412120805963,7.537267781234673
California,California-origin / US network,Graphite,ΔPolicy,2040,17.05582331071645,4.879473690277891,21.93529700099434
California,California-origin / US network,Graphite,ΔPolicy,2045,31.434078290621354,-2.1284573735658796,29.305620917055474
California,California-origin / US network,Graphite,ΔPolicy,2050,49.93179981444138,-5.009483816723993,44.92231599771739
California,California-origin / US network,Graphite,ΔCapacity,2030,1.5743936916398749,0.5106935451289627,2.0850872367688376
California,California-origin / US network,Graphite,ΔCapacity,2035,4.980126569154077,2.8969588632431105,7.8770854323971875
California,California-origin / US network,Graphite,ΔCapacity,2040,17.05582331071645,9.925150548558861,26.98097385927531
California,California-origin / US network,Graphite,ΔCapacity,2045,31.434078290621354,9.967424441443452,41.401502732064806
California,California-origin / US network,Graphite,ΔCapacity,2050,49.93179981444138,5.903803561110095,55.83560337555148
California,California-origin / US network,Graphite,ΔChemistry,2030,1.5743936916398749,-0.011795451949297986,1.5625982396905769
California,California-origin / US network,Graphite,ΔChemistry,2035,4.980126569154077,-0.05616061987490717,4.92396594927917
California,California-origin / US network,Graphite,ΔChemistry,2040,17.05582331071645,-0.2117720405805521,16.844051270135896
California,California-origin / US network,Graphite,ΔChemistry,2045,31.434078290621354,-0.24520700288072206,31.188871287740632
California,California-origin / US network,Graphite,ΔChemistry,2050,49.93179981444138,-0.17845083159188135,49.7533489828495
California,California-origin / US network,Copper,ΔPolicy,2030,1.621883879793803,1.237512044530333,2.859395924324136
California,California-origin / US network,Copper,ΔPolicy,2035,5.211437455726815,2.5945753265289575,7.806012782255772
California,California-origin / US network,Copper,ΔPolicy,2040,17.828818154905857,5.081781594348282,22.91059974925414
California,California-origin / US network,Copper,ΔPolicy,2045,33.28751061611756,-2.0100844489864578,31.2774261671311
California,California-origin / US network,Copper,ΔPolicy,2050,52.57708541014131,-4.978863728896798,47.59822168124451
California,California-origin / US network,Copper,ΔCapacity,2030,1.621883879793803,0.5144342598496867,2.13631813964349
California,California-origin / US network,Copper,ΔCapacity,2035,5.211437455726815,2.9385391075766876,8.149976563303502
California,California-origin / US network,Copper,ΔCapacity,2040,17.828818154905857,10.048189414649492,27.87700756955535
California,California-origin / US network,Copper,ΔCapacity,2045,33.28751061611756,10.279620890092758,43.567131506210316
California,California-origin / US network,Copper,ΔCapacity,2050,52.57708541014131,6.118959769588599,58.69604517972991
California,California-origin / US network,Copper,ΔChemistry,2030,1.621883879793803,-0.07297468497063253,1.5489091948231706
California,California-origin / US network,Copper,ΔChemistry,2035,5.211437455726815,-0.35134014846799655,4.860097307258818
California,California-origin / US network,Copper,ΔChemistry,2040,17.828818154905857,-1.3170131449519928,16.511805009953864
California,California-origin / US network,Copper,ΔChemistry,2045,33.28751061611756,-1.5782405351954232,31.709270080922135
California,California-origin / US network,Copper,ΔChemistry,2050,52.57708541014131,-1.1537436854544083,51.4233417246869
United States,US-origin / US network,Nickel,ΔPolicy,2030,1.1011864351769571,0.3157928323927912,1.4169792675697483
United States,US-origin / US network,Nickel,ΔPolicy,2035,3.4513112042782152,0.5110496497208121,3.9623608539990274
United States,US-origin / US network,Nickel,ΔPolicy,2040,12.52472543029449,0.28012170947447856,12.804847139768968
