Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand,Capacity key,Chemistry key,Percent
2044,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0354306629923018,Increasing Batt Cap,Benchmark Chemistry,3.54306629923018
2044,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.2966497847204211,Increasing Batt Cap,Benchmark Chemistry,29.664978472042108
2045,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0341539660273677,Increasing Batt Cap,Benchmark Chemistry,3.41539660273677
2045,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.3370358787712655,Increasing Batt Cap,Benchmark Chemistry,33.70358787712655
2046,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0330686572556842,Increasing Batt Cap,Benchmark Chemistry,3.3068657255684197
2046,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.3800810970537656,Increasing Batt Cap,Benchmark Chemistry,38.008109705376555
2047,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0321696086695251,Increasing Batt Cap,Benchmark Chemistry,3.2169608669525096
2047,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.426145525159982,Increasing Batt Cap,Benchmark Chemistry,42.6145525159982
2048,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.031398841678913,Increasing Batt Cap,Benchmark Chemistry,3.1398841678913
2048,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.4734305997329596,Increasing Batt Cap,Benchmark Chemistry,47.34305997329596
2049,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0307437554694901,Increasing Batt Cap,Benchmark Chemistry,3.07437554694901
2049,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5214206790480269,Increasing Batt Cap,Benchmark Chemistry,52.142067904802694
2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0301575682138536,Increasing Batt Cap,Benchmark Chemistry,3.0157568213853603
2050,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5667165282802686,Increasing Batt Cap,Benchmark Chemistry,56.671652828026865
2026,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0046982713254629,Increasing Batt Cap,High LFP Chemistry,0.46982713254629
2026,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0046982713254629,Increasing Batt Cap,High LFP Chemistry,0.46982713254629
2027,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0060842567150809,Increasing Batt Cap,High LFP Chemistry,0.6084256715080899
2027,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0060842567150809,Increasing Batt Cap,High LFP Chemistry,0.6084256715080899
2028,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0086523744688127,Increasing Batt Cap,High LFP Chemistry,0.8652374468812699
2028,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0086523744688127,Increasing Batt Cap,High LFP Chemistry,0.8652374468812699
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0119270204824825,Increasing Batt Cap,High LFP Chemistry,1.19270204824825
2029,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0119270204824825,Increasing Batt Cap,High LFP Chemistry,1.19270204824825
2030,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0156633197002109,Increasing Batt Cap,High LFP Chemistry,1.5663319700210903
2030,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0156633197002109,Increasing Batt Cap,High LFP Chemistry,1.5663319700210903
