Year,Scenario,Recycling Step,Tonne,Scenario_Recycling,Policy scenario,Capacity scenario,Recycling step,Plot value
2042,Increasing Batt Cap - Benchmark Chemistry,Refining,3.123949952134,Increasing Batt Cap - Benchmark Chemistry - Refining,Policy Rollback,Increase LIB Capacity,Materials recovery (refining),1.1987752336821103
2043,Increasing Batt Cap - Benchmark Chemistry,Refining,4.679151537978181,Increasing Batt Cap - Benchmark Chemistry - Refining,Policy Rollback,Increase LIB Capacity,Materials recovery (refining),1.555201585844181
2044,Increasing Batt Cap - Benchmark Chemistry,Refining,6.640393857836358,Increasing Batt Cap - Benchmark Chemistry - Refining,Policy Rollback,Increase LIB Capacity,Materials recovery (refining),1.9612423198581768
2045,Increasing Batt Cap - Benchmark Chemistry,Refining,9.05881453733672,Increasing Batt Cap - Benchmark Chemistry - Refining,Policy Rollback,Increase LIB Capacity,Materials recovery (refining),2.418420679500363
2046,Increasing Batt Cap - Benchmark Chemistry,Refining,11.991947700230336,Increasing Batt Cap - Benchmark Chemistry - Refining,Policy Rollback,Increase LIB Capacity,Materials recovery (refining),2.933133162893615
2047,Increasing Batt Cap - Benchmark Chemistry,Refining,15.471777044093038,Increasing Batt Cap - Benchmark Chemistry - Refining,Policy Rollback,Increase LIB Capacity,Materials recovery (refining),3.4798293438627024
2048,Increasing Batt Cap - Benchmark Chemistry,Refining,19.51573383215556,Increasing Batt Cap - Benchmark Chemistry - Refining,Policy Rollback,Increase LIB Capacity,Materials recovery (refining),4.043956788062523
2049,Increasing Batt Cap - Benchmark Chemistry,Refining,24.116840787669567,Increasing Batt Cap - Benchmark Chemistry - Refining,Policy Rollback,Increase LIB Capacity,Materials recovery (refining),4.601106955514005
2050,Increasing Batt Cap - Benchmark Chemistry,Refining,29.25393489811195,Increasing Batt Cap - Benchmark Chemistry - Refining,Policy Rollback,Increase LIB Capacity,Materials recovery (refining),5.1370941104423835
2025,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2026,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2027,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2028,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2029,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2030,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2031,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2032,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2033,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2034,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2035,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.0,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.0
2036,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.1204371547219401,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.1204371547219401
2037,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.4298940412077882,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.30945688648584807
2038,Increasing Batt Cap - Benchmark Chemistry,Black Mass,1.0126554406037502,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.582761399395962
2039,Increasing Batt Cap - Benchmark Chemistry,Black Mass,1.837460428688514,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),0.8248049880847637
2040,Increasing Batt Cap - Benchmark Chemistry,Black Mass,2.92412464632372,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),1.086664217635206
2041,Increasing Batt Cap - Benchmark Chemistry,Black Mass,4.2930428378716785,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),1.3689181915479587
2042,Increasing Batt Cap - Benchmark Chemistry,Black Mass,5.976311591106788,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),1.6832687532351098
2043,Increasing Batt Cap - Benchmark Chemistry,Black Mass,8.01600669650397,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),2.0396951053971817
2044,Increasing Batt Cap - Benchmark Chemistry,Black Mass,10.461742535915146,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),2.445735839411176
2045,Increasing Batt Cap - Benchmark Chemistry,Black Mass,13.364656734968507,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),2.9029141990533613
2046,Increasing Batt Cap - Benchmark Chemistry,Black Mass,16.782283417415126,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),3.4176266824466186
2047,Increasing Batt Cap - Benchmark Chemistry,Black Mass,20.746606280830825,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),3.964322863415699
2048,Increasing Batt Cap - Benchmark Chemistry,Black Mass,25.27505658844635,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),4.528450307615525
2049,Increasing Batt Cap - Benchmark Chemistry,Black Mass,30.36065706351335,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),5.085600475067
2050,Increasing Batt Cap - Benchmark Chemistry,Black Mass,35.98224469350875,Increasing Batt Cap - Benchmark Chemistry - Black Mass,Policy Rollback,Increase LIB Capacity,Preprocessing (black mass prod.),5.621587629995396
