State,Year,Powertrain,Value,Scenario,Country,Value_thousands,code,Group
Alabama,2039,ICE,76194.4163082463,ACCII,US,76.1944163082463,AL,ICE.ACCII
Alabama,2040,BEV,111091.069584067,ACCII,US,111.091069584067,AL,BEV.ACCII
Alabama,2040,PHEV,17400.786938833,ACCII,US,17.400786938833,AL,PHEV.ACCII
Alabama,2040,ICE,75195.7521823777,ACCII,US,75.1957521823777,AL,ICE.ACCII
Alabama,2041,BEV,113230.447608988,ACCII,US,113.230447608988,AL,BEV.ACCII
Alabama,2041,PHEV,17030.5102393993,ACCII,US,17.0305102393993,AL,PHEV.ACCII
Alabama,2041,ICE,73002.1799605058,ACCII,US,73.0021799605058,AL,ICE.ACCII
Alabama,2042,BEV,117996.132381273,ACCII,US,117.996132381273,AL,BEV.ACCII
Alabama,2042,PHEV,17089.0213749543,ACCII,US,17.0890213749543,AL,PHEV.ACCII
Alabama,2042,ICE,72784.9902061595,ACCII,US,72.7849902061595,AL,ICE.ACCII
Alabama,2043,BEV,122405.500266363,ACCII,US,122.405500266363,AL,BEV.ACCII
Alabama,2043,PHEV,17131.1745635634,ACCII,US,17.1311745635634,AL,PHEV.ACCII
Alabama,2043,ICE,72744.7684396516,ACCII,US,72.7447684396516,AL,ICE.ACCII
Alabama,2044,BEV,126653.003262016,ACCII,US,126.653003262016,AL,BEV.ACCII
Alabama,2044,PHEV,17152.6398666551,ACCII,US,17.1526398666551,AL,PHEV.ACCII
Alabama,2044,ICE,72585.0184539316,ACCII,US,72.5850184539316,AL,ICE.ACCII
Alabama,2045,BEV,130634.20233665,ACCII,US,130.63420233665002,AL,BEV.ACCII
Alabama,2045,PHEV,17167.7800835985,ACCII,US,17.1677800835985,AL,PHEV.ACCII
Alabama,2045,ICE,72522.4754923506,ACCII,US,72.5224754923506,AL,ICE.ACCII
Alabama,2046,BEV,134193.312377108,ACCII,US,134.193312377108,AL,BEV.ACCII
Alabama,2046,PHEV,17124.8976232158,ACCII,US,17.124897623215798,AL,PHEV.ACCII
Alabama,2046,ICE,72371.3549197127,ACCII,US,72.3713549197127,AL,ICE.ACCII
Alabama,2047,BEV,137282.022639845,ACCII,US,137.282022639845,AL,BEV.ACCII
Alabama,2047,PHEV,17050.6375986398,ACCII,US,17.050637598639803,AL,PHEV.ACCII
Alabama,2047,ICE,72077.0182743111,ACCII,US,72.0770182743111,AL,ICE.ACCII
Alabama,2048,BEV,140019.856752387,ACCII,US,140.019856752387,AL,BEV.ACCII
Alabama,2048,PHEV,16932.3656413329,ACCII,US,16.9323656413329,AL,PHEV.ACCII
Alabama,2048,ICE,71442.1948316287,ACCII,US,71.4421948316287,AL,ICE.ACCII
Alabama,2049,BEV,142313.797250057,ACCII,US,142.31379725005698,AL,BEV.ACCII
Alabama,2049,PHEV,16785.9388683147,ACCII,US,16.7859388683147,AL,PHEV.ACCII
Alabama,2049,ICE,70512.4252439412,ACCII,US,70.5124252439412,AL,ICE.ACCII
Alabama,2050,BEV,144074.278643452,ACCII,US,144.074278643452,AL,BEV.ACCII
Alabama,2050,PHEV,16568.1563963753,ACCII,US,16.5681563963753,AL,PHEV.ACCII
Alabama,2050,ICE,69449.6274216493,ACCII,US,69.44962742164931,AL,ICE.ACCII
Alaska,2020,BEV,252.811152291105,ACCII,US,0.252811152291105,AK,BEV.ACCII
Alaska,2020,PHEV,54.7911219215567,ACCII,US,0.054791121921556704,AK,PHEV.ACCII
Alaska,2020,ICE,21077,ACCII,US,21.077,AK,ICE.ACCII
Alaska,2021,BEV,471.738247503646,ACCII,US,0.471738247503646,AK,BEV.ACCII
Alaska,2021,PHEV,133.337221633086,ACCII,US,0.13333722163308598,AK,PHEV.ACCII
Alaska,2021,ICE,21218,ACCII,US,21.218,AK,ICE.ACCII
Alaska,2022,BEV,686.705660622604,ACCII,US,0.686705660622604,AK,BEV.ACCII
Alaska,2022,PHEV,157.007216336558,ACCII,US,0.157007216336558,AK,PHEV.ACCII
Alaska,2022,ICE,19840,ACCII,US,19.84,AK,ICE.ACCII
Alaska,2023,BEV,921.150567564041,ACCII,US,0.921150567564041,AK,BEV.ACCII
Alaska,2023,PHEV,226.068153931958,ACCII,US,0.226068153931958,AK,PHEV.ACCII
Alaska,2023,ICE,20925,ACCII,US,20.925,AK,ICE.ACCII
Alaska,2024,BEV,1039.45948767016,ACCII,US,1.03945948767016,AK,BEV.ACCII
Alaska,2024,PHEV,260.247071946459,ACCII,US,0.260247071946459,AK,PHEV.ACCII
Alaska,2024,ICE,20547,ACCII,US,20.547,AK,ICE.ACCII
Alaska,2025,BEV,2395.51952918728,ACCII,US,2.39551952918728,AK,BEV.ACCII
Alaska,2025,PHEV,508.439186050601,ACCII,US,0.508439186050601,AK,PHEV.ACCII
Alaska,2025,ICE,22861.3096164385,ACCII,US,22.861309616438497,AK,ICE.ACCII
Alaska,2026,BEV,3178.9580218455,ACCII,US,3.1789580218455,AK,BEV.ACCII
Alaska,2026,PHEV,673.549719713424,ACCII,US,0.673549719713424,AK,PHEV.ACCII
Alaska,2026,ICE,21891.8905203792,ACCII,US,21.8918905203792,AK,ICE.ACCII
Alaska,2027,BEV,4122.74202262959,ACCII,US,4.1227420226295894,AK,BEV.ACCII
Alaska,2027,PHEV,962.285077551333,ACCII,US,0.962285077551333,AK,PHEV.ACCII
Alaska,2027,ICE,20649.3282618421,ACCII,US,20.6493282618421,AK,ICE.ACCII
Alaska,2028,BEV,5166.12029487694,ACCII,US,5.16612029487694,AK,BEV.ACCII
Alaska,2028,PHEV,1011.94131221564,ACCII,US,1.01194131221564,AK,PHEV.ACCII
Alaska,2028,ICE,19550.2473347539,ACCII,US,19.5502473347539,AK,ICE.ACCII
Alaska,2029,BEV,6179.79531565706,ACCII,US,6.17979531565706,AK,BEV.ACCII
Alaska,2029,PHEV,1309.95241955196,ACCII,US,1.30995241955196,AK,PHEV.ACCII
Alaska,2029,ICE,18238.1368358558,ACCII,US,18.238136835855798,AK,ICE.ACCII
Alaska,2030,BEV,7234.39247165678,ACCII,US,7.23439247165678,AK,BEV.ACCII
Alaska,2030,PHEV,1474.19343547024,ACCII,US,1.47419343547024,AK,PHEV.ACCII
Alaska,2030,ICE,17008.3429720343,ACCII,US,17.008342972034303,AK,ICE.ACCII
Alaska,2031,BEV,7906.54359339582,ACCII,US,7.90654359339582,AK,BEV.ACCII
Alaska,2031,PHEV,1726.39565910211,ACCII,US,1.72639565910211,AK,PHEV.ACCII
Alaska,2031,ICE,14576.262292325,ACCII,US,14.576262292325,AK,ICE.ACCII
Alaska,2032,BEV,8897.97298277868,ACCII,US,8.897972982778679,AK,BEV.ACCII
Alaska,2032,PHEV,2038.31361751108,ACCII,US,2.03831361751108,AK,PHEV.ACCII
Alaska,2032,ICE,13212.2969522431,ACCII,US,13.212296952243099,AK,ICE.ACCII
Alaska,2033,BEV,10465.0118048072,ACCII,US,10.4650118048072,AK,BEV.ACCII
Alaska,2033,PHEV,2249.99975604971,ACCII,US,2.24999975604971,AK,PHEV.ACCII
Alaska,2033,ICE,11360.3160116051,ACCII,US,11.3603160116051,AK,ICE.ACCII
Alaska,2034,BEV,11288.1020126243,ACCII,US,11.2881020126243,AK,BEV.ACCII
Alaska,2034,PHEV,2312.12517572202,ACCII,US,2.3121251757220196,AK,PHEV.ACCII
Alaska,2034,ICE,10393.6926891144,ACCII,US,10.393692689114399,AK,ICE.ACCII
Alaska,2035,BEV,12006.0807434322,ACCII,US,12.0060807434322,AK,BEV.ACCII
Alaska,2035,PHEV,2325.58039060506,ACCII,US,2.3255803906050603,AK,PHEV.ACCII
Alaska,2035,ICE,9582.34320312345,ACCII,US,9.58234320312345,AK,ICE.ACCII
Alaska,2036,BEV,12618.9737582755,ACCII,US,12.6189737582755,AK,BEV.ACCII
Alaska,2036,PHEV,2315.0974298176,ACCII,US,2.3150974298176004,AK,PHEV.ACCII
Alaska,2036,ICE,8894.21143184929,ACCII,US,8.894211431849289,AK,ICE.ACCII
Alaska,2037,BEV,13183.2211054906,ACCII,US,13.1832211054906,AK,BEV.ACCII
Alaska,2037,PHEV,2293.25747230019,ACCII,US,2.2932574723001897,AK,PHEV.ACCII
Alaska,2037,ICE,8360.68251185745,ACCII,US,8.360682511857451,AK,ICE.ACCII
Alaska,2038,BEV,13716.9626990977,ACCII,US,13.7169626990977,AK,BEV.ACCII
Alaska,2038,PHEV,2266.00194642979,ACCII,US,2.2660019464297902,AK,PHEV.ACCII
Alaska,2038,ICE,7942.38160719902,ACCII,US,7.94238160719902,AK,ICE.ACCII
Alaska,2039,BEV,14247.5522522386,ACCII,US,14.2475522522386,AK,BEV.ACCII
Alaska,2039,PHEV,2242.81547587789,ACCII,US,2.24281547587789,AK,PHEV.ACCII
Alaska,2039,ICE,7622.69426054124,ACCII,US,7.622694260541239,AK,ICE.ACCII
