"Year","Mineral","Total_Minerals_Exported","Scenario"
2037,"Lithium",6344.20408555644,"Increasing Batt Cap - High LFP Chemistry"
2037,"Manganese",2504.27196579905,"Increasing Batt Cap - High LFP Chemistry"
2037,"Nickel",27993.4189649831,"Increasing Batt Cap - High LFP Chemistry"
2038,"Cobalt",7012.0188822451,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Copper",44678.4144775717,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Graphite",89039.428743103,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Lithium",8273.07203706708,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Manganese",3375.65966370797,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Nickel",37145.5074417507,"Decreasing Batt Cap - Benchmark Chemistry"
2038,"Cobalt",6821.60875578692,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Copper",45160.3798211792,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Graphite",89491.6245493232,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Lithium",8285.60922071802,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Manganese",3264.34247319738,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Nickel",36146.4886006211,"Decreasing Batt Cap - High LFP Chemistry"
2038,"Cobalt",8990.14825992578,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Copper",55936.8447131431,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Graphite",111868.883120168,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Lithium",10417.325175455,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Manganese",4384.316312395,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Nickel",47571.809228139,"Increasing Batt Cap - Benchmark Chemistry"
2038,"Cobalt",8661.53297203287,"Increasing Batt Cap - High LFP Chemistry"
2038,"Copper",56641.9899161281,"Increasing Batt Cap - High LFP Chemistry"
2038,"Graphite",112429.22702849,"Increasing Batt Cap - High LFP Chemistry"
2038,"Lithium",10420.7113089142,"Increasing Batt Cap - High LFP Chemistry"
2038,"Manganese",4192.50193316467,"Increasing Batt Cap - High LFP Chemistry"
2038,"Nickel",45832.845103678,"Increasing Batt Cap - High LFP Chemistry"
2039,"Cobalt",9671.94349194576,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Copper",63543.0775215294,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Graphite",126116.040196186,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Lithium",11683.4281124444,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Manganese",4835.15052440348,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Nickel",51308.0938741825,"Decreasing Batt Cap - Benchmark Chemistry"
2039,"Cobalt",9298.25755707276,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Copper",64345.337466187,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Graphite",126761.122231674,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Lithium",11688.0049353729,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Manganese",4619.49202955467,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Nickel",49348.1617748748,"Decreasing Batt Cap - High LFP Chemistry"
2039,"Cobalt",12211.0952637803,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Copper",77596.3425770135,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Graphite",154749.800136976,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Lithium",14380.1078763833,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Manganese",6182.85761914461,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Nickel",64678.8159939998,"Increasing Batt Cap - Benchmark Chemistry"
2039,"Cobalt",11604.1205626516,"Increasing Batt Cap - High LFP Chemistry"
2039,"Copper",78760.960448344,"Increasing Batt Cap - High LFP Chemistry"
2039,"Graphite",155551.683583611,"Increasing Batt Cap - High LFP Chemistry"
2039,"Lithium",14367.093325683,"Increasing Batt Cap - High LFP Chemistry"
2039,"Manganese",5831.25308124184,"Increasing Batt Cap - High LFP Chemistry"
2039,"Nickel",61466.1847460001,"Increasing Batt Cap - High LFP Chemistry"
2040,"Cobalt",12375.7304454036,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Copper",83515.7155646608,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Graphite",165175.641864043,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Lithium",15262.6411070296,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Manganese",6430.26035093364,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Nickel",65713.9977988233,"Decreasing Batt Cap - Benchmark Chemistry"
2040,"Cobalt",11696.5128980382,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Copper",84836.3994233551,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Graphite",166116.998055549,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Lithium",15251.8690094665,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Manganese",6041.02360470916,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Nickel",62154.5943379214,"Decreasing Batt Cap - High LFP Chemistry"
2040,"Cobalt",15781.3350994757,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Copper",101735.245895957,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Graphite",202522.503534373,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Lithium",18791.8246829863,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Manganese",8294.52124119027,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Nickel",83642.2547106133,"Increasing Batt Cap - Benchmark Chemistry"
2040,"Cobalt",14714.0926618451,"Increasing Batt Cap - High LFP Chemistry"
2040,"Copper",103641.295250606,"Increasing Batt Cap - High LFP Chemistry"
2040,"Graphite",203694.307292771,"Increasing Batt Cap - High LFP Chemistry"
2040,"Lithium",18749.2731533703,"Increasing Batt Cap - High LFP Chemistry"
2040,"Manganese",7679.16588970266,"Increasing Batt Cap - High LFP Chemistry"
2040,"Nickel",77996.6411167,"Increasing Batt Cap - High LFP Chemistry"
2041,"Cobalt",15143.4200155533,"Decreasing Batt Cap - Benchmark Chemistry"
2041,"Copper",104371.193897889,"Decreasing Batt Cap - Benchmark Chemistry"
2041,"Graphite",205930.199758203,"Decreasing Batt Cap - Benchmark Chemistry"
2041,"Lithium",18990.3163440933,"Decreasing Batt Cap - Benchmark Chemistry"
2041,"Manganese",8168.6111400321,"Decreasing Batt Cap - Benchmark Chemistry"
2041,"Nickel",80611.6182383036,"Decreasing Batt Cap - Benchmark Chemistry"
2041,"Cobalt",14003.3912676206,"Decreasing Batt Cap - High LFP Chemistry"
2041,"Copper",106454.912276912,"Decreasing Batt Cap - High LFP Chemistry"
2041,"Graphite",207280.121899088,"Decreasing Batt Cap - High LFP Chemistry"
2041,"Lithium",18953.1602633989,"Decreasing Batt Cap - High LFP Chemistry"
2041,"Manganese",7516.31106553751,"Decreasing Batt Cap - High LFP Chemistry"
2041,"Nickel",74623.9741189844,"Decreasing Batt Cap - High LFP Chemistry"
2041,"Cobalt",19786.9863790414,"Increasing Batt Cap - Benchmark Chemistry"
2041,"Copper",128384.806490432,"Increasing Batt Cap - Benchmark Chemistry"
2041,"Graphite",255482.441570987,"Increasing Batt Cap - Benchmark Chemistry"
2041,"Lithium",23689.1670985059,"Increasing Batt Cap - Benchmark Chemistry"
2041,"Manganese",10768.9300493954,"Increasing Batt Cap - Benchmark Chemistry"
2041,"Nickel",105116.135099601,"Increasing Batt Cap - Benchmark Chemistry"
2041,"Cobalt",18020.589927069,"Increasing Batt Cap - High LFP Chemistry"
2041,"Copper",131398.451095795,"Increasing Batt Cap - High LFP Chemistry"
