"Year","State_Province","Batt_Mass_MT","Scenario"
2026,"BC",189.994883472508,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"CA",2592.29494877856,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"CO",182.177623951858,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"CT",77.0464790263004,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"DC",24.6269701425146,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"DE",25.3122981226756,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"FL",478.945024030437,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"GA",307.531680585445,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"HI",83.554923782939,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"IA",40.434208038174,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"ID",33.8294192158037,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"IL",232.680953640558,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"IN",86.8717273323336,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"KS",42.560407130453,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"KY",52.6755651738295,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"LA",47.6917371382134,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"MA",157.227605113182,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"MB",12.2686742743184,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"MD",141.060614499087,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"ME",27.862090614443,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"MI",135.677384610429,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"MN",89.5121427366912,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"MO",81.8433345813154,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"MS",27.3765365026784,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"MT",18.7483700429514,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"MX",48.1120747222548,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NB",4.17406177336954,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NC",158.390136323183,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"ND",6.89117473701822,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NE",31.0432473974684,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NH",30.9894977807922,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NJ",217.48148174089,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NL",1.15249737557181,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NM",35.3329386529366,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NS",9.1271009895606,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NT",0,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NU",0,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NV",81.3026737905037,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"NY",319.389851864607,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"OH",155.572139413465,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"OK",60.4934805620856,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"ON",235.96100112103,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"OR",177.818971469273,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"PA",185.508334593532,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"PE",0,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"QC",284.468865642644,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"RI",23.9181624080141,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"SC",60.288450950554,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"SD",10.214977387116,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"SK",8.87422010231769,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"TN",100.934218153154,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"TX",510.063083033848,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"UT",86.7879252665807,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"VA",164.510425621695,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"VT",23.7185880479792,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"WA",358.576714146247,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"WI",89.6266184246288,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"WV",18.5773967592295,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"WY",6.01718218893058,"Decreasing Batt Cap - Benchmark Chemistry"
2026,"YT",0,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"AB",74.9930976764533,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"AK",31.1114391790425,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"AL",136.011000786141,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"AR",79.3721952062234,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"AZ",376.952643111669,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"BC",318.533362284443,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"CA",4742.25635575904,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"CO",361.0336654821,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"CT",158.67529555819,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"DC",45.1389240688655,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"DE",44.0818122281972,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"FL",1001.113785876,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"GA",628.51671117638,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"HI",147.619578309518,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"IA",94.7596169061664,"Decreasing Batt Cap - Benchmark Chemistry"
2027,"ID",67.2213290824248,"Decreasing Batt Cap - Benchmark Chemistry"
