"Year","Scenario","Mineral","Recycling Scenario","Recycle_v_Demand"
2028,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0125731765805629
2029,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0168775334919526
2029,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0168775334919526
2030,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0219929531427044
2030,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0219929531427044
2031,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0281260843533801
2031,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0281260843533801
2032,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0359817823642085
2032,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0359817823642085
2033,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0425434599140528
2033,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0425434599140528
2034,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0526691779500286
2034,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0526691779500286
2035,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0663917137215371
2035,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.0663917137215371
2036,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0795235330646062
2036,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.087408954916082
2037,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0762636987425324
2037,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.115022109862388
2038,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0739368522090381
2038,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.148407276448535
2039,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0730961681122111
2039,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.195891042009484
2040,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0690554182704907
2040,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.232259479972969
2041,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0645641049471928
2041,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.267406079329046
2042,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0600404292373527
2042,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.300603365820076
2043,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0558426320529794
2043,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.335255468390218
2044,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0522116987915132
2044,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.372436614616783
2045,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0491375279030304
2045,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.412914332573708
2046,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0464043007430844
2046,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.455183950484479
2047,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0440911155339107
2047,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.501444288151068
2048,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.042016207963717
2048,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.546958721522485
2049,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0401272941456208
2049,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.589992685186946
2050,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0384117394295077
2050,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.627772237825973
2026,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00780963710304579
2026,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00780963710304579
2027,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00980933164079937
2027,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00980933164079937
2028,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0137876993002694
2028,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0137876993002694
2029,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0188160615704877
2029,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0188160615704877
2030,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0249859784371179
2030,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0249859784371179
2031,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0326448924302697
2031,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0326448924302697
2032,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.042553749348519
2032,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.042553749348519
2033,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0510962024571899
2033,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0510962024571899
2034,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.064135036999329
2034,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.064135036999329
2035,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0819023635417728
