"Year","Scenario","Mineral","Recycling Scenario","Tonne"
2026,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",649.316686554049
2026,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",1390.0672042903
2026,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",139.791116504333
2026,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",88.8201510901437
2026,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",825.694641129142
2026,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",825.694641129142
2026,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",198.207781072257
2026,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",198.207781072257
2026,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",615.133112410212
2026,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",649.307174210779
2026,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",1390.0639807813
2026,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",139.791817027482
2026,"Decreasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2026,"Decreasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",88.8238304322511
2026,"Decreasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",825.730604591529
2026,"Decreasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",825.730604591529
2026,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",198.571327039058
2026,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",198.571327039058
2026,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",616.57846407543
2026,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",650.832823190732
2026,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",1392.91751473495
2026,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",140.103617438031
2026,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",89.0275333276252
2026,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",827.426979456664
2026,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",827.426979456664
2026,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",198.579319812562
2026,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",198.579319812562
2026,"Increasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",616.568899194557
2026,"Increasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",650.822726927588
2026,"Increasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",1392.91409334925
2026,"Increasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",140.104360963139
2026,"Increasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2026,"Increasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",89.0314385279589
2026,"Increasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",827.465150553891
2026,"Increasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",827.465150553891
2027,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",347.02578053827
2027,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",347.02578053827
2027,"Decreasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",1260.85048132964
2027,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",1330.8977302924
2027,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",2754.20261811902
2027,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",271.174299078309
2027,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",165.575600073864
2027,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",1423.05845818931
2027,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",1423.05845818931
2027,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",346.792421970689
2027,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",346.792421970689
2027,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",1261.1329047825
2027,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",1331.19584393708
2027,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",2754.30388180206
2027,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",271.152680375713
2027,"Decreasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",165.456166681447
2027,"Decreasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",1421.93573073057
2027,"Decreasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",1421.93573073057
2027,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",348.277631259713
2027,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",348.277631259713
2027,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",1266.00859004247
2027,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",1336.34240060039
2027,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",2765.57347542203
2027,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",272.274203746537
2027,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",166.204580413161
2027,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",1429.06341512536
2027,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",1429.06341512536
2027,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",348.015177208998
2027,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",348.015177208998
2027,"Increasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",1266.32621718485
2027,"Increasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",1336.67767369512
2027,"Increasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",2765.68736078664
