"Year","State_Province","Add_LIB_proj_tonnes","Add_LIB_15_tonnes","Add_LIB_proj_LFP_tonnes","Add_LIB_15_LFP_tonnes","Country","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid","Cumulative_black_mass_cap","Cumulative_refining_cap","Recycle_Batt_15","Recycle_Batt_15_LFP","Recycle_Batt_Proj","Recycle_Batt_Proj_LFP"
2050,"AB",168393.086417282,92528.9577846537,179737.090366891,98529.8873447728,"CA",0,0,0,0,0,0,0,0,0,0,48769.7388508065,51324.2138951616,82737.1513822538,87264.0521141839
2050,"AK",19116.9069442996,12313.5956241815,20159.793023766,12877.327732813,"US",0,0,0,0,0,0,0,0,0,0,8181.5278102211,8444.57188174852,11504.149027821,11959.1524164714
2050,"AL",144629.080432142,92396.8134480703,152632.081335964,96721.1207050032,"US",10602.9807777023,8505.66051320682,272377.941009361,169177.651595756,0,0,0,0,18000,0,59629.3112017588,61578.6122615585,84277.3538178688,87651.2641791952
2050,"AR",78284.3210396681,50117.3925147245,82550.9605000815,52400.2486358338,"US",0,0,0,0,0,0,0,0,0,0,33172.6658210611,34220.8214751011,46738.707624249,48570.7459797371
2050,"AZ",256717.536676404,163299.173489015,271114.127098845,171116.35315632,"US",6450.1466397689,5174.27681220082,165696.580780695,102916.404720752,19211.7031996401,16510.4136062355,377129.673779076,234240.380555725,14100,0,99656.2434490869,103063.382098484,142267.696641192,148141.709874374
2050,"BC",144916.301775207,81027.6072273788,154599.561583837,86211.216756368,"CA",0,0,0,0,0,0,0,0,250000,250000,45930.1632879657,48313.0750137532,76668.3632195293,80836.5563075329
2050,"CA",1282463.08207455,815704.332928848,1355148.56008689,855516.21490073,"US",36380.4466857406,29184.2204862307,934570.322158995,580474.36502398,1636.36524621496,1406.28172032058,32122.1853718844,19951.5271508429,45823.36185,45823.36185,536324.448327817,555255.861833783,768772.079396242,801145.386395629
2050,"CO",236742.739139419,147583.511204695,250226.322063168,154787.65223738,"US",0,0,0,0,252.785568416317,217.242284292572,4962.23254972468,3082.11027047007,0,0,86848.5186590026,89889.5546487259,126434.723359038,131769.731378568
2050,"CT",90092.240663443,57945.8157490887,95037.2027952815,60626.72050929,"US",0,0,0,0,0,0,0,0,0,0,40389.9431465897,41718.9775411842,57110.2019499126,59405.5190375238
2050,"DC",17256.8301906953,11984.5323720983,18093.1120099931,12449.488771121,"US",0,0,0,0,0,0,0,0,0,0,7509.8777856129,7713.89155943462,9936.6532140151,10281.1949098247
2050,"DE",36539.6620048666,22978.979195186,38623.2154085647,24107.4601775653,"US",0,0,0,0,0,0,0,0,0,0,14260.6648655978,14766.8334070792,20644.6813991619,21520.0546271968
2050,"FL",810237.327306628,518182.523951753,855471.096176199,542847.01234241,"US",0,0,0,0,505.571136832634,434.484568585144,9924.46509944936,6164.22054094014,15,0,310567.658737204,321174.175994066,442165.647251552,460397.674390551
2050,"GA",359029.599652792,229440.843090673,378971.90516854,240256.27430057,"US",40656.9691408756,32614.8263642474,1044429.08786189,648709.141746176,46175.4971640472,39682.9239307765,906434.479083042,562998.809405867,32000,129143,140961.83922056,145653.780071312,199823.696437488,207921.172833785
2050,"HI",45948.6564125048,29175.5595760991,48521.3071055277,30566.889060346,"US",0,0,0,0,0,0,0,0,0,0,18669.6490637191,19305.060992002,26699.5901839552,27799.7273618558
2050,"IA",92464.7692666862,58514.5847487174,97604.7210744496,61263.4412564236,"US",0,0,0,0,0,0,0,0,0,0,37921.4393753732,39169.3368733519,54113.9631287055,56297.6303714672
2050,"ID",84644.6701513297,52281.5616830061,89528.4042881324,54885.9775288317,"US",0,0,0,0,0,0,0,0,0,0,29126.873006802,30158.2552933174,42598.7737100409,44410.8615008633
2050,"IL",303343.248305466,195790.075184184,319871.140443682,204743.048646467,"US",3213.02447809161,2577.47288278995,82538.7700028367,51265.955029017,30334.268209958,26069.0741151086,595467.905966962,369853.232456409,24000,0,138459.1630382,142944.07244317,194888.852012142,202632.87607816
2050,"IN",190238.840143692,121590.923614255,200724.191786377,127241.435243467,"US",12035.9896949312,9655.21341893114,309190.232430626,192042.267538698,35073.1549992026,30141.6428046467,688493.225499134,427632.526326821,5,5,79187.3824833099,81758.942343993,111948.880303234,116413.681747985
2050,"KS",77217.9395741665,49423.9400441117,81449.8796291686,51698.3619710183,"US",0,0,0,0,10111.4227366527,8689.69137170287,198489.301988987,123284.410818803,0,0,33043.1016333633,34104.746742069,46643.911515733,48490.3590474746
2050,"KY",120161.364271873,77192.6758783804,126730.961495305,80736.0088759757,"US",18314.2395251222,14691.5954319027,470470.989016169,292215.943665397,8763.23303843232,7531.06585547582,172024.061723789,106846.489376296,270,270,50588.517584173,52199.9386970802,71060.7646483664,73854.7254092893
2050,"LA",114180.451698595,73842.2028200572,120320.894705894,77141.6422017362,"US",0,0,0,0,0,0,0,0,0,0,49788.6769615634,51334.483243191,69602.5567239928,72293.2003917395
2050,"MA",218836.164985322,139342.289629602,231012.054792815,145919.463717427,"US",3535.2908332442,2835.99341293378,90817.4086341212,56407.9303184274,0,0,0,0,30000,0,90816.4445253932,93906.5609742641,130085.777933293,135451.765254014
2050,"MB",36353.1197729836,20155.6797423034,38780.3812502907,21442.1632450514,"CA",0,0,0,0,0,0,0,0,0,0,11120.9757928047,11696.3565890464,18728.5940722432,19745.5925899245
