"Year","Scenario","Recycling Step","Tonne","Scenario_Recycling"
2048,"Decreasing Batt Cap - Benchmark Chemistry","Refining",17.6788697380122,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2049,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",27.5450614138741,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2049,"Decreasing Batt Cap - Benchmark Chemistry","Refining",21.2783179774351,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2050,"Decreasing Batt Cap - Benchmark Chemistry","Black Mass",31.9241076911194,"Decreasing Batt Cap - Benchmark Chemistry - Black Mass"
2050,"Decreasing Batt Cap - Benchmark Chemistry","Refining",25.1728707351274,"Decreasing Batt Cap - Benchmark Chemistry - Refining"
2025,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2025,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2026,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2026,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2027,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2027,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2028,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2028,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2029,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2029,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2030,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2030,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2031,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
