"Year","State_Province","Mineral","Available Recycled Minerals (w Scrap) (Tonne)","Available Recycled Minerals No R Restraint (Tonne)","Minerals Recoverable in Exported Scrap/Batts (Tonne)","Minerals Recoverable in Exported BM (Tonne)","Minerals Lost to Pyrometalurgy (Tonne)","Scrap_min","Batt_min","Battery_Scenario","Chemistry_Scenario","Scenario","Country"
2025,"AZ","Graphite",0,14.2100470689792,0,0,14.2100470689792,0,14.2100470689792,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"AZ","Lithium",0,1.48364980628852,0,0,1.48364980628852,0.00788720543984354,1.47576260084868,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"AZ","Manganese",0,0.988589413351973,0,0,0.988589413351973,0.0117272262546779,0.976862187097295,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"AZ","Nickel",10.3302810799972,10.3302810799972,0,0,0,0.0519698816087803,10.2783111983884,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"BC","Cobalt",2.81706461199002,2.81706461199002,0,0,0,0.0126545413959713,2.80441007059405,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"BC","Copper",7.76807869981679,8.19963862758438,0,0,0.431559927767599,0.0312612890637457,8.16837733852064,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"BC","Graphite",0,18.2383493158642,0,0,18.2383493158642,0,18.2383493158642,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"BC","Lithium",0,1.86775162658432,0,0,1.86775162658432,0.00788720543984354,1.85986442114448,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"BC","Manganese",0,1.005742515145,0,0,1.005742515145,0.0117272262546779,0.994015288890326,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
2025,"BC","Nickel",12.5162114717039,12.5162114717039,0,0,0,0.0519698816087803,12.4642415900951,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","CA"
