State,Sale Year,Propulsion,Global Segment,Sales
Nevada,2014,PHEV,Car,254.95984251968503
Nevada,2014,PHEV,SUV,50.62047244094488
New Hampshire,2014,BEV,Car,78.6186229040314
New Hampshire,2014,BEV,SUV,12.577952194077774
New Hampshire,2014,PHEV,Car,182.11417322834646
New Hampshire,2014,PHEV,SUV,36.15748031496063
New Jersey,2014,BEV,Car,825.4955404923296
New Jersey,2014,BEV,SUV,132.06849803781662
New Jersey,2014,PHEV,Car,1001.6279527559055
New Jersey,2014,PHEV,SUV,198.86614173228347
New Mexico,2014,BEV,Car,98.27327863003924
New Mexico,2014,BEV,SUV,15.722440242597218
New Mexico,2014,PHEV,Car,109.26850393700788
New Mexico,2014,PHEV,SUV,21.69448818897638
New York,2014,BEV,Car,1198.9339992864786
New York,2014,BEV,SUV,191.81377095968602
New York,2014,PHEV,Car,2203.5814960629923
New York,2014,PHEV,SUV,437.50551181102367
North Carolina,2014,BEV,Car,569.9850160542277
North Carolina,2014,BEV,SUV,91.19015340706386
North Carolina,2014,PHEV,Car,655.6110236220472
North Carolina,2014,PHEV,SUV,130.16692913385828
North Dakota,2014,BEV,Car,0
North Dakota,2014,BEV,SUV,0
North Dakota,2014,PHEV,Car,18.211417322834645
North Dakota,2014,PHEV,SUV,3.615748031496063
Ohio,2014,BEV,Car,511.021048876204
Ohio,2014,BEV,SUV,81.75668926150553
Ohio,2014,PHEV,Car,801.3023622047244
Ohio,2014,PHEV,SUV,159.09291338582676
Oklahoma,2014,BEV,Car,117.92793435604709
Oklahoma,2014,BEV,SUV,18.86692829111666
Oklahoma,2014,PHEV,Car,127.47992125984251
Oklahoma,2014,PHEV,SUV,25.31023622047244
Oregon,2014,BEV,Car,1513.4084909026042
Oregon,2014,BEV,SUV,242.12557973599712
Oregon,2014,PHEV,Car,783.0909448818898
Oregon,2014,PHEV,SUV,155.4771653543307
Pennsylvania,2014,BEV,Car,628.9489832322512
Pennsylvania,2014,BEV,SUV,100.62361755262219
Pennsylvania,2014,PHEV,Car,983.4165354330709
Pennsylvania,2014,PHEV,SUV,195.2503937007874
Rhode Island,2014,BEV,Car,58.963967178023545
Rhode Island,2014,BEV,SUV,9.43346414555833
Rhode Island,2014,PHEV,Car,109.26850393700788
Rhode Island,2014,PHEV,SUV,21.69448818897638
South Carolina,2014,BEV,Car,157.2372458080628
South Carolina,2014,BEV,SUV,25.155904388155548
South Carolina,2014,PHEV,Car,218.53700787401576
South Carolina,2014,PHEV,SUV,43.38897637795276
South Dakota,2014,BEV,Car,19.65465572600785
South Dakota,2014,BEV,SUV,3.1444880485194435
South Dakota,2014,PHEV,Car,36.42283464566929
South Dakota,2014,PHEV,SUV,7.231496062992126
Tennessee,2014,BEV,Car,511.021048876204
Tennessee,2014,BEV,SUV,81.75668926150553
Tennessee,2014,PHEV,Car,309.594094488189
Tennessee,2014,PHEV,SUV,61.46771653543307
Texas,2014,BEV,Car,2338.904031394934
Texas,2014,BEV,SUV,374.1940777738138
Texas,2014,PHEV,Car,1456.9133858267717
Texas,2014,PHEV,SUV,289.25984251968504
Utah,2014,BEV,Car,491.3663931501962
Utah,2014,BEV,SUV,78.61220121298608
Utah,2014,PHEV,Car,309.594094488189
Utah,2014,PHEV,SUV,61.46771653543307
Vermont,2014,BEV,Car,58.963967178023545
Vermont,2014,BEV,SUV,9.43346414555833
Vermont,2014,PHEV,Car,218.53700787401576
Vermont,2014,PHEV,SUV,43.38897637795276
Virginia,2014,BEV,Car,609.2943275062433
Virginia,2014,BEV,SUV,97.47912950410274
Virginia,2014,PHEV,Car,764.8795275590551
Virginia,2014,PHEV,SUV,151.86141732283465
Washington,2014,BEV,Car,2928.5437031751694
Washington,2014,BEV,SUV,468.5287192293971
Washington,2014,PHEV,Car,1165.5307086614173
Washington,2014,PHEV,SUV,231.40787401574804
West Virginia,2014,BEV,Car,19.65465572600785
West Virginia,2014,BEV,SUV,3.1444880485194435
West Virginia,2014,PHEV,Car,54.63425196850394
West Virginia,2014,PHEV,SUV,10.84724409448819
Wisconsin,2014,BEV,Car,511.021048876204
Wisconsin,2014,BEV,SUV,81.75668926150553
Wisconsin,2014,PHEV,Car,473.49685039370075
Wisconsin,2014,PHEV,SUV,94.00944881889764
Wyoming,2014,BEV,Car,19.65465572600785
Wyoming,2014,BEV,SUV,3.1444880485194435
Wyoming,2014,PHEV,Car,18.211417322834645
Wyoming,2014,PHEV,SUV,3.615748031496063
Alabama,2015,BEV,Car,102.60970388869069
Alabama,2015,BEV,SUV,25.290759900107027
Alabama,2015,PHEV,Car,110.39527559055118
Alabama,2015,PHEV,SUV,45.68031496062992
Alaska,2015,BEV,Car,41.043881555476275
Alaska,2015,BEV,SUV,10.116303960042812
Alaska,2015,PHEV,Car,24.53228346456693
Alaska,2015,PHEV,SUV,10.151181102362205
Arizona,2015,BEV,Car,964.5312165536926
Arizona,2015,BEV,SUV,237.73314306100607
Arizona,2015,PHEV,Car,539.7102362204724
Arizona,2015,PHEV,SUV,223.3259842519685
Arkansas,2015,BEV,Car,41.043881555476275
Arkansas,2015,BEV,SUV,10.116303960042812
Arkansas,2015,PHEV,Car,61.33070866141732
Arkansas,2015,PHEV,SUV,25.37795275590551
California,2015,BEV,Car,29038.546200499462
California,2015,BEV,SUV,7157.285051730289
California,2015,PHEV,Car,14314.587401574803
