Policy,Battery Capacity,Chemistry,Scenario,Scope,Year,Mineral,Maximum RCS (%)
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2035,Copper,4.111280052897484
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2040,Nickel,12.52472543029449
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2040,Manganese,11.133982957306712
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2040,Cobalt,14.916905591670815
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2040,Lithium,11.099604524407699
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2040,Graphite,12.336997335799664
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2040,Copper,13.189109044526589
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2045,Nickel,26.90313620860595
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2045,Manganese,27.093344503114057
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2045,Cobalt,31.024442595642054
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2045,Lithium,23.80372709881015
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2045,Graphite,26.552226402251826
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2045,Copper,28.3491895473567
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2050,Nickel,47.1029407719777
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2050,Manganese,47.25789062939012
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2050,Cobalt,51.10717880441926
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2050,Lithium,39.901179275272796
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2050,Graphite,44.54201875659744
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,US-origin / US network,2050,Copper,47.07971986765946
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2030,Nickel,1.076652122357384
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2030,Manganese,1.0265464501395765
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2030,Cobalt,1.3159097155278527
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2030,Lithium,0.9856087322663003
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2030,Graphite,1.0941171518102084
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2030,Copper,1.1785604861829408
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2035,Nickel,3.5348991207763976
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2035,Manganese,2.9349833082488517
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2035,Cobalt,4.079076900334414
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2035,Lithium,3.362622694972137
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2035,Graphite,3.783589912058523
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2035,Copper,4.113489316854729
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2040,Nickel,13.277809250762473
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2040,Manganese,11.931778858800778
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2040,Cobalt,15.865112886110397
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2040,Lithium,11.602588811762137
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2040,Graphite,12.867626088450706
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2040,Copper,13.71184277023911
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2045,Nickel,29.21600260998039
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2045,Manganese,29.432699504103127
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2045,Cobalt,33.703587877126566
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2045,Lithium,25.393416483220086
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2045,Graphite,28.257086003056763
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2045,Copper,30.045666302211625
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2050,Nickel,52.21724440087957
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2050,Manganese,52.36284729030647
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2050,Cobalt,56.671652828026865
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2050,Lithium,43.4336011016753
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2050,Graphite,48.3666470877455
Baseline Policy,Increasing Batt Cap,Benchmark Chemistry,Increasing Batt Cap - Benchmark Chemistry,North America-origin / NA network,2050,Copper,50.89507215113726
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2030,Nickel,2.2246540321199526
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2030,Manganese,2.2434492037492997
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2030,Cobalt,2.9074125030228726
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2030,Lithium,1.4927239720658483
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2030,Graphite,1.5625982396905769
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2030,Copper,1.5489091948231706
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2035,Nickel,7.516313819427832
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2035,Manganese,5.884158553914316
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2035,Cobalt,8.991174358954021
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2035,Lithium,4.657949865111
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2035,Graphite,4.92396594927917
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2035,Copper,4.860097307258818
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2040,Nickel,27.81811780610172
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2040,Manganese,23.020397984157263
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2040,Cobalt,33.50707824308419
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2040,Lithium,15.94342094599881
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2040,Graphite,16.844051270135896
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2040,Copper,16.511805009953864
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2045,Nickel,42.41155519597272
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,California-origin / US network,2045,Manganese,41.920803716993326
