Year,Policy scenario,Capacity scenario,Recycling step,Annual capacity deficit (million metric tonnes/year)
2028,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2029,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2030,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2031,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2032,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2033,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2034,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2035,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),0.172648358587309
2036,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),0.399271940520854
2037,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),0.677958052643527
2038,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),1.06710019247392
2039,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),1.48923475394269
2040,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),1.97806968500575
2041,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),2.53136743060754
2042,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),3.14819103298471
2043,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),3.8255087620996
2044,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),4.5540424392038
2045,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),5.3268858182213
2046,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),6.1415032557539
2047,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),6.9781295819247
2048,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),7.8217515948543
2049,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),8.6303458777281
2050,Baseline Policy,Increase LIB Capacity,Preprocessing (black mass production),9.3849218278779
2025,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2026,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2027,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2028,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2029,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2030,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2031,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2032,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2033,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2034,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2035,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2036,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2037,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0
2038,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0.11923398219854
2039,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0.373997366105748
2040,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0.644017647406652
2041,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),0.92653991554981
2042,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),1.22430168261994
2043,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),1.53753572005548
2044,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),1.86710432252525
2045,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),2.21079173693985
2046,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),2.57086995654833
2047,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),2.929137584666
2048,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),3.2753398233966
2049,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),3.5994482394229
2050,Rollback Policy,Decrease LIB Capacity,Materials recovery (refining),3.8945527576923
2025,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2026,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2027,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2028,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2029,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2030,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2031,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2032,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2033,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2034,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2035,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0
2036,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0.121313028058848
2037,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0.331508173744123
2038,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0.603727501751539
2039,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),0.85849088565875
2040,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),1.12851116695965
2041,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),1.41103343510281
2042,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),1.70879520217295
2043,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),2.02202923960847
2044,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),2.35159784207826
2045,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),2.6952852564928
2046,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),3.0553634761014
2047,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),3.413631104219
2048,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),3.7598333429496
2049,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),4.0839417589759
2050,Rollback Policy,Decrease LIB Capacity,Preprocessing (black mass production),4.3790462772453
2025,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2026,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2027,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2028,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2029,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2030,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2031,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2032,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2033,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2034,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2035,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2036,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2037,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0
2038,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0.2728812869334
2039,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0.566570919768311
2040,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),0.894747558458429
2041,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),1.25834152015288
2042,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),1.66442816000373
2043,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),2.11634643038279
2044,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),2.61609102761404
2045,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),3.16231301062592
2046,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),3.7602388649764
2047,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),4.3828866127369
2048,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),5.0121452590195
2049,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),5.6181700342793
2050,Rollback Policy,Increase LIB Capacity,Materials recovery (refining),6.182319171696
2025,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2026,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2027,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2028,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2029,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2030,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2031,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2032,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0
