State,Segment,Propulsion,Year,LIB_recycling,LIB_available,LIB_reuse_EV,LIB_repurpose,LIB_new_add,EV_stock,LIB_recycling_vector,LIB_available_vector,LIB_reuse_vector,LIB_repurpose_vector,LIB_newadd_vector,EV_stock_vector
Yukon,SUV,BEV,2043,295,56,28,56,15,6243,0|1|1|1|2|1|3|0|6|0|15|1|28|3|94|2|81|0|41|0|12|0|3|0|0|0|0|0|0|0|0,0|0|0|0|1|0|3|1|8|1|14|1|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|2|2|3|2|6|2|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|3|1|8|1|14|1|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|1|0|2|0|5|0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,841|0|836|0|856|0|810|0|789|0|745|0|630|0|431|0|204|0|73|0|21|0|5|0|1|0|0|0|0|0|0
Yukon,SUV,PHEV,2043,57,8,3,8,4,939,0|0|0|0|0|1|2|1|2|1|3|0|5|0|17|0|14|0|8|0|3|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|0|2|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|0|2|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,110|0|113|0|119|0|117|0|119|0|119|0|106|0|77|0|38|0|15|0|5|0|1|0|0|0|0|0|0|0|0
Alberta,Car,BEV,2044,14521,2776,1362,2776,712,303837,0|10|25|17|61|32|146|48|336|57|724|62|1378|152|4465|100|3986|46|2054|15|638|3|139|0|23|0|4|0|0|0|0,0|8|26|19|61|32|145|46|331|53|706|53|1296|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16|0|45|27|59|61|81|134|85|274|69|495|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16,0|8|26|19|61|32|145|46|331|53|706|53|1296|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|41|0|100|0|238|0|333|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,41477|0|41150|0|40559|0|39634|0|38305|0|36380|0|30792|0|20465|0|10122|0|3620|0|1018|0|249|0|52|0|10|0|2|0|0
Alberta,Car,PHEV,2044,2531,435,219,435,91,44061,0|2|3|2|8|7|21|8|50|11|111|13|222|31|755|20|710|10|385|3|126|0|28|0|5|0|0|0|0|0|0,0|1|3|3|9|5|20|9|48|10|108|10|209|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2|0|8|4|10|9|14|19|16|42|13|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2,0|1|3|3|9|5|20|9|48|10|108|10|209|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|5|0|14|0|34|0|38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5284|0|5404|0|5507|0|5581|0|5609|0|5561|0|4933|0|3446|0|1794|0|676|0|201|0|52|0|12|0|2|0|0|0|0
Alberta,SUV,BEV,2044,30854,5934,2901,5934,1524,648094,0|19|55|38|131|71|311|102|716|122|1551|128|2939|317|9528|203|8476|93|4340|28|1335|6|289|0|48|0|8|0|0|0|0,0|19|53|39|130|68|311|100|708|113|1510|112|2771|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,34|0|95|55|125|131|173|287|179|585|145|1058|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|34,0|19|53|39|130|68|311|100|708|113|1510|112|2771|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|88|0|213|0|507|0|716|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,88635|0|87715|0|86352|0|84412|0|81674|0|77841|0|65791|0|43689|0|21544|0|7659|0|2135|0|517|0|106|0|21|0|4|0|1
Alberta,SUV,PHEV,2044,5371,931,470,931,190,93978,0|2|7|7|18|11|43|19|105|23|238|25|473|66|1611|43|1507|19|812|6|263|1|60|0|10|0|2|0|0|0|0,0|3|8|6|17|11|44|17|104|21|232|22|446|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6|0|14|8|21|19|30|42|34|91|28|171|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6,0|3|8|6|17|11|44|17|104|21|232|22|446|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|12|0|29|0|71|0|78|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,11291|0|11520|0|11721|0|11881|0|11958|0|11902|0|10544|0|7357|0|3816|0|1429|0|421|0|108|0|24|0|4|0|1|0|0
British Columbia,Car,BEV,2044,16596,3140,1539,3140,788,339698,0|10|28|20|69|38|162|55|378|66|819|70|1561|177|5092|113|4568|52|2366|16|739|4|161|0|27|0|5|0|0|0|0,0|10|28|21|67|37|162|53|371|62|796|62|1471|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,18|0|50|28|66|68|93|150|97|309|80|562|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18,0|10|28|21|67|37|162|53|371|62|796|62|1471|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|45|0|111|0|266|0|366|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,45526|0|45405|0|45006|0|44206|0|42964|0|41035|0|34916|0|23330|0|11600|0|4170|0|1179|0|288|0|60|0|12|0|2|0|0
British Columbia,Car,PHEV,2044,2888,494,251,494,97,49323,0|1|3|5|9|6|23|10|55|12|126|15|250|36|862|23|812|10|443|4|145|0|33|0|5|0|0|0|0|0|0,0|2|4|3|10|6|23|9|55|11|123|11|237|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3|0|8|4|11|10|16|23|19|48|15|91|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3,0|2|4|3|10|6|23|9|55|11|123|11|237|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|6|0|15|0|37|0|39|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5799|0|5963|0|6109|0|6221|0|6290|0|6274|0|5595|0|3928|0|2056|0|779|0|232|0|60|0|13|0|2|0|0|0|0
British Columbia,SUV,BEV,2044,23913,4560,2237,4560,1146,492367,0|14|41|30|99|55|237|80|546|94|1190|100|2266|248|7373|158|6586|72|3386|22|1046|5|224|0|36|0|5|0|0|0|0,0|14|41|29|99|53|235|77|541|89|1159|88|2135|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,27|0|72|42|97|99|135|219|140|450|114|815|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27,0|14|41|29|99|53|235|77|541|89|1159|88|2135|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|66|0|161|0|385|0|534|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,66112|0|65786|0|65148|0|64008|0|62276|0|59679|0|50669|0|33798|0|16737|0|5975|0|1673|0|404|0|83|0|16|0|3|0|0
British Columbia,SUV,PHEV,2044,4165,714,361,714,144,71488,0|2|7|6|13|10|33|14|81|16|182|20|364|52|1247|33|1172|14|634|5|206|0|46|0|8|0|0|0|0|0|0,0|2|5|4|13|9|33|13|79|17|178|17|344|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4|0|10|6|16|13|24|32|27|70|23|132|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4,0|2|5|4|13|9|33|13|79|17|178|17|344|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|9|0|22|0|54|0|59|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8422|0|8641|0|8844|0|9009|0|9118|0|9127|0|8120|0|5690|0|2965|0|1115|0|330|0|85|0|19|0|3|0|1|0|0
