State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total
Alberta,Car,PHEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,PHEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,PHEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,PHEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,PHEV,2027,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,Car,PHEV,2028,0|0|0|0|0|0|0|0|0|0|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4
Alberta,Car,PHEV,2029,0|0|0|0|0|0|0|0|0|0|1|2|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8
Alberta,Car,PHEV,2030,0|0|0|0|0|0|0|0|0|0|0|1|3|3|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0,11
Alberta,Car,PHEV,2031,0|0|0|0|0|0|0|0|0|0|1|1|2|4|3|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0,15
Alberta,Car,PHEV,2032,0|0|0|0|0|0|0|0|0|0|1|1|1|3|5|4|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0,18
Alberta,Car,PHEV,2033,0|0|0|0|0|0|0|0|0|0|1|1|3|2|4|6|4|2|0|0|0|0|0|0|0|0|0|0|0|0|0,23
Alberta,Car,PHEV,2034,0|0|0|0|0|0|0|0|0|1|1|2|3|4|2|4|6|3|1|0|0|0|0|0|0|0|0|0|0|0|0,27
Alberta,Car,PHEV,2035,0|0|0|0|0|0|0|0|1|1|2|2|4|3|5|2|4|5|3|1|0|0|0|0|0|0|0|0|0|0|0,33
Alberta,Car,PHEV,2036,0|0|0|0|0|0|0|0|1|2|3|4|5|5|4|5|2|4|4|2|1|0|0|0|0|0|0|0|0|0|0,42
Alberta,Car,PHEV,2037,0|0|0|0|0|0|0|0|1|2|4|6|8|6|6|5|5|2|3|3|1|1|0|0|0|0|0|0|0|0|0,53
Alberta,Car,PHEV,2038,0|0|0|0|0|0|0|1|1|3|5|9|12|10|8|7|5|5|2|2|2|1|0|0|0|0|0|0|0|0|0,73
Alberta,Car,PHEV,2039,0|0|0|0|0|0|0|1|1|3|6|10|18|16|13|8|7|4|4|1|2|2|1|0|0|0|0|0|0|0|0,97
Alberta,Car,PHEV,2040,0|0|0|0|0|0|0|1|2|3|6|12|20|24|19|14|8|6|3|3|1|1|1|0|0|0|0|0|0|0|0,124
Alberta,Car,PHEV,2041,0|0|0|0|0|0|0|1|2|4|8|14|25|26|29|21|14|8|5|3|2|1|1|1|0|0|0|0|0|0|0,165
Alberta,Car,PHEV,2042,0|0|0|0|0|0|0|1|2|4|9|16|28|33|31|32|21|13|6|4|2|1|0|1|0|0|0|0|0|0|0,204
Alberta,Car,PHEV,2043,0|0|0|0|0|0|0|1|2|4|10|19|34|36|40|35|32|19|10|5|3|1|1|0|0|0|0|0|0|0|0,252
Alberta,Car,PHEV,2044,0|0|0|0|0|0|0|1|2|4|10|21|39|44|44|44|35|29|16|8|3|2|1|1|0|0|0|0|0|0|0,304
Alberta,Car,PHEV,2045,0|0|0|0|0|0|0|1|2|4|10|21|43|51|53|49|44|31|24|12|6|2|1|1|0|0|0|0|0|0|0,355
Alberta,Car,PHEV,2046,0|0|0|0|0|0|0|1|2|5|10|21|43|55|62|59|49|40|26|18|9|4|2|1|0|0|0|0|0|0|0,407
Alberta,Car,PHEV,2047,0|0|0|0|0|0|0|1|2|5|10|22|43|56|67|69|59|44|33|20|13|6|3|1|1|0|0|0|0|0|0,455
Alberta,Car,PHEV,2048,0|0|0|0|0|0|0|1|2|5|10|22|44|57|68|74|69|53|36|25|14|9|4|2|1|0|0|0|0|0|0,496
Alberta,Car,PHEV,2049,0|0|0|0|0|0|0|1|2|5|10|22|44|57|68|75|74|62|44|28|18|10|6|3|1|0|0|0|0|0|0,530
Alberta,Car,PHEV,2050,0|0|0|0|0|0|0|1|2|5|11|22|44|58|69|76|75|67|51|34|20|13|7|4|2|1|0|0|0|0|0,562
